KRNr,VorlageNr,Titel,Geschaeftsart,AblaufschrittTyp,DokumentTitel,eDocumentFileName,eDocumentID,Version,Sitzungsdatum,url
240/2012,,Unabhängige Rekurskommission für das Universitätsspital Zürich (USZ),Parlamentarische Initiative,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,7f4a281fb246479790974146f9079eba-332,1,2012-03-02T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/7f4a281fb246479790974146f9079eba-332/1/pdf
30/2013,,Kompensation der Zürcher Bevölkerung für die seit 1996 systematisch überhöhten Krankenkassenprämien,Parlamentarische Initiative,Vorläufig unterstützt,Abstimmungsresultat,Abstimmungsresultat,501f667408cd442982f68443e650e215-332,1,2013-04-22T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/501f667408cd442982f68443e650e215-332/1/pdf
348/2010,,Verlängerung Glattalbahn von Dübendorf über Volketswil nach Uster,Postulat,Überweisung an Regierungsrat,Abstimmungsresultat,Abstimmungsresultat,f88d48d0c64347fa9dc4ca38a641aace-332,1,2013-05-13T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/f88d48d0c64347fa9dc4ca38a641aace-332/1/pdf
56/2010,,Meldepflicht von Sexetablissements,Motion,Ablehnung,Abstimmungsresultat,Abstimmungsresultat,4266a27393644bd48c311bd9692ead59-332,1,2013-05-13T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/4266a27393644bd48c311bd9692ead59-332/1/pdf
154/2011,,Wahlfreiheit beim Sonntagsverkauf,Postulat,Ablehnung,Abstimmungsresultat,Abstimmungsresultat,48a721fe4e8a4796af96d44cf57c4b05-332,1,2013-05-13T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/48a721fe4e8a4796af96d44cf57c4b05-332/1/pdf
370/2010,,Wahlfreiheit beim Sonntagsverkauf,Postulat,Überweisung an Regierungsrat,Abstimmungsresultat,Abstimmungsresultat,f037cf1b2c164a9d8b3c81c3fbccbcef-332,1,2013-05-13T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/f037cf1b2c164a9d8b3c81c3fbccbcef-332/1/pdf
302/2010,,Kreditvorlage für die Verlegung der Strassen aus dem Neeracherried,Postulat,Überweisung als Postulat,Abstimmungsresultat,Abstimmungsresultat,9b967b11bad14ce6886eb537816eca3b-332,1,2013-05-13T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/9b967b11bad14ce6886eb537816eca3b-332/1/pdf
214/2010,,Pendelschiff im unteren Zürichseebecken,Postulat,Ablehnung,Abstimmungsresultat,Abstimmungsresultat,995562e9dd6d4ddeb7b15f6074f9e479-332,1,2013-05-13T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/995562e9dd6d4ddeb7b15f6074f9e479-332/1/pdf
101/2010,,Wiedereinführung des Nachtzugs von Zürich nach Florenz und Rom,Postulat,Ablehnung,Abstimmungsresultat,Abstimmungsresultat,62a719592ca84a29b1aefab191e040eb-332,1,2013-05-13T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/62a719592ca84a29b1aefab191e040eb-332/1/pdf
4949,4949,SKOS-Richtlinien,Vorlage,Zustimmung,Abstimmungsresultat,Abstimmungsresultat,a5e0975d59144589b60d3a922c619705-332,1,2013-05-27T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/a5e0975d59144589b60d3a922c619705-332/1/pdf
301/2012,,Keine masslose Erhöhung der Ordnungsbussen im Strassenverkehr,Motion,Ablehnung,Abstimmungsresultat,Abstimmungsresultat,e4968d61f002468b8e2ebd56a317053e-332,1,2013-05-27T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/e4968d61f002468b8e2ebd56a317053e-332/1/pdf
75/2013,,"Standesinitiative für die Änderung des Steuer-Harmonisierungsgesetzes, Definition des geschäftsmässig begründeten Aufwandes",Parlamentarische Initiative,Ablehnung - Nicht vorläufig unterstützt,Resultat Schlussabstimmung,Resultat_Schlussabstimmung,7a7475a0f7764c2c8897949be4078e1c-332,1,2013-05-27T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/7a7475a0f7764c2c8897949be4078e1c-332/1/pdf
276/2012,,Analyse zur Situation der Familien im Kanton Zürich,Postulat,Ablehnung,Abstimmungsresultat,Abstimmungsresultat,829f9743ada54f8a92c9d92c5a1b74a4-332,1,2013-05-27T00:00:00.000,https://parlzhcdws.cmicloud.ch/parlzh5/cdws/Files/829f9743ada54f8a92c9d92c5a1b74a4-332/1/pdf
