platz,nachname,vorname,partei,stimme
30,Ackermann,Pia,SP,NEIN
103,Ackermann,Ruth,CVP,--
71,Aeschbacher,Nathalie,GLP,--
42,Agosti,Theres,SP,NEIN
31,Akanji,Sarah,SP,NEIN
177,Albanese,Franco,SVP,--
54,Alder,Ronald,GLP,--
126,Amrein,Hans-Peter,SVP,JA
162,Balmer,Bettina,FDP,JA
140,Bamert,Ueli,SVP,JA
81,Barmettler,Franziska,GLP,--
57,Bartal,Isabel,SP,--
9,Bärtschiger,Markus,SP,NEIN
168,Bender,André,SVP,JA
11,Berner,Melanie,AL,--
128,Biber,Michael,FDP,JA
20,Bischoff,Markus,AL,--
22,Bloch,Beat,CSP,--
173,Bonato,Diego,SVP,JA
124,Bossert,Sandra,SVP,JA
129,Bourgeois,Marc,FDP,JA
17,Brandenberger,Harry,SP,NEIN
159,Brunner,Hans-Peter,FDP,JA
101,Bürgin,Yvonne,CVP,--
155,Burtscher,Rochus,SVP,JA
49,Büsser,Jeanette,Grüne,--
50,Bussmann,Nora,Grüne,NEIN
13,Bütikofer,Kaspar,AL,--
115,Camenisch,Linda,FDP,JA
44,Columberg,Leandra,SP,--
83,Cometta-Müller,Katrin,GLP,--
4,Dalcher,Pierre,SVP,JA
41,Daurù,Andreas,SP,NEIN
51,Dietschi,Urs,Grüne,--
29,Dünki,Michèle,SP,NEIN
70,Dürr,Renate,Grüne,NEIN
134,Egli,Hans,EDU,JA
181,Erni,Jonas,SP,--
147,Etter-Gick,Carola,FDP,JA
100,Farner-Brandenberger,Martin,FDP,JA
110,Fehr Düsel,Nina,SVP,JA
36,Fehr,Karin,Grüne,--
148,Fehr,Raffaela,FDP,JA
62,Feldmann,Stefan,SP,--
111,Finsler,Hans,SVP,JA
150,Fischer,Benjamin,SVP,JA
65,Forrer,Thomas,Grüne,--
130,Franzen,Barbara,FDP,JA
158,Frey-Eigenmann,Beatrix,FDP,JA
143,Furrer,Astrid,FDP,JA
67,Galeuchet,David,Grüne,--
106,Gantner,Alex,FDP,JA
26,Gehrig,Sonja,GLP,--
160,Geistlich,Andreas,FDP,JA
75,Gisler,Andrea,GLP,--
14,Göldi,Hanspeter,SP,--
136,Grüter,Barbara,SVP,JA
93,Günthard,Barbara,EVP,--
21,Guyer,Esther,Grüne,--
161,Habegger,Beat,FDP,--
152,Habicher,Lorenz,SVP,--
69,Hans,Urs,Grüne,ENTHALTEN
55,Hasler,Andreas,GLP,--
91,Häuptli,Daniel,GLP,--
127,Hauser,Matthias,SVP,JA
35,Häusler,Edith,Grüne,NEIN
52,Heierli,Daniel,Grüne,--
72,Hodel,Daniel,GLP,--
15,Hoesch,Felix,SP,--
178,Hofer,Jacqueline,SVP,JA
180,Hoffmann,Benedikt,SVP,JA
86,Hollenstein,Claudia,GLP,NEIN
25,Honegger,Thomas,Grüne,NEIN
123,Honegger,Walter,SVP,JA
166,Hoss-Blatter,Corinne,FDP,JA
89,Huber,Stefanie,GLP,--
156,Huber,Beat,SVP,JA
165,Huber,Martin,FDP,JA
151,Hübscher,Martin,SVP,JA
78,Hugentobler,Hanspeter,EVP,--
12,Huonker,Laura,AL,--
121,Isler,René,SVP,JA
145,Jäger,Alexander,FDP,JA
39,Joss,Karin,GLP,--
46,Joss,Rosmarie,SP,NEIN
37,Kampus,Manuel,Grüne,--
32,Katumba,Andrew,SP,NEIN
1,Kläy,Dieter,FDP,JA
142,Kündig,Jörg,FDP,JA
34,L'Orange Seigo,Selma,Grüne,--
63,Lais,Ruedi,SP,--
133,Lamprecht,Thomas,EDU,JA
112,Landmann,Valentin,SVP,--
33,Langenegger,Tobias,SP,--
105,Langhart,Konrad,parteilos,--
167,Ledergerber,Domenik,SVP,JA
27,Loss,Davide,SP,--
135,Lucek,Christian,SVP,JA
40,Mäder,Gabriel,GLP,ENTHALTEN
76,Mani,Tobias,EVP,--
183,Marthaler,Thomas,SP,--
7,Marti,Sibylle,SP,--
184,Marty Fässler,Carmen,SP,--
176,Marty,Maria Rita,SVP,JA
185,Matter,Sylvie,SP,NEIN
174,Mayer,Paul,SVP,JA
132,Meier,Doris,FDP,JA
59,Meier,Esther,SP,--
66,Meier,Florian,Grüne,--
95,Meier,Walter,EVP,--
153,Mettler,Christian,SVP,JA
94,Monhart,Beat,EVP,--
163,Moser-Schäfer,Arianne,FDP,JA
146,Müller,André,FDP,JA
117,Müller,Christian,FDP,JA
131,Müller,Fabian,FDP,--
80,Näf,Melissa,GLP,--
53,Petri,Gabi,Grüne,--
64,Pfalzgraf,Hannah,SP,--
179,Pfister,Ulrich,SVP,JA
169,Pflugshaupt,Elisabeth,SVP,JA
96,Pinto,Jean-Philippe,CVP,--
23,Pokerschnig,Jasmine,Grüne,NEIN
48,Rigoni,Silvia,Grüne,--
