platz,nachname,vorname,partei,stimme
184,Agosti Monn,Theres,SP,NEIN
103,Albanese,Franco,CVP,--
50,Altwegg,Jürg,Grüne,NEIN
125,Amacker,Bruno,SVP,NEIN
126,Amrein,Hans-Peter,SVP,NEIN
110,Arnold,Martin,SVP,NEIN
140,Bachmann,Ernst,SVP,NEIN
171,Bär,Hansruedi,SVP,NEIN
10,Barrile,Angelo,SP,NEIN
44,Bartal,Isabel,SP,NEIN
75,Bellaiche,Judith,GLP,JA
163,Berger,Antoine,FDP,NEIN
13,Bischoff,Markus,AL,NEIN
20,Bloch,Beat,CSP,NEIN
123,Bollinger,Erich,SVP,NEIN
111,Borer,Anita,SVP,NEIN
79,Brazerol,Rico,BDP,NEIN
34,Brunner,Robert,Grüne,NEIN
58,Büchi-Wild,Renate,SP,NEIN
97,Bürgin,Yvonne,CVP,NEIN
154,Burtscher,Rochus,SVP,NEIN
5,Bussmann,Barbara,SP,NEIN
12,Bütikofer,Kaspar,AL,NEIN
116,Camenisch,Linda,FDP,NEIN
180,Dalcher,Pierre,SVP,NEIN
43,Daurù,Andreas,SP,NEIN
35,Dietschi,Urs,Grüne,NEIN
99,Egli,Hans,EDU,NEIN
4,Egli,Karin,SVP,NEIN
42,Egli,Ursina,SP,NEIN
071,Erdin,Andreas,GLP,JA
181,Erni,Jonas,SP,NEIN
130,Farner,Martin,FDP,NEIN
62,Feldmann,Stefan,SP,NEIN
81,Fenner,Bruno,BDP,NEIN
66,Ferro,Ornella,Grüne,NEIN
82,Fischer,Gerhard,EVP,JA
152,Frei-Baumann,Ruth,SVP,NEIN
16,Frei,Daniel,SP,NEIN
178,Frei,Hans,SVP,NEIN
161,Frey,Beatrix,FDP,NEIN
147,Furrer,Astrid,FDP,NEIN
138,Fürst,Reinhard,SVP,NEIN
106,Gantner,Alex,FDP,NEIN
144,Geistlich,Andreas,FDP,NEIN
14,Göldi,Hanspeter,SP,NEIN
33,Gschwind,Benedikt,SP,NEIN
88,Gugger,Nik,EVP,JA
78,Gut,Astrid,BDP,NEIN
54,Gutknecht,René,GLP,JA
86,Gutmann,Eva,GLP,JA
21,Guyer,Esther,Grüne,NEIN
109,Haab,Martin,SVP,NEIN
134,Habicher,Lorenz,SVP,NEIN
169,Haderer,Willy,SVP,NEIN
149,Haller,Margrit,SVP,NEIN
146,Hänni,Cäcilia,FDP,NEIN
48,Hans,Urs,Grüne,NEIN
100,Häring,Hans Peter,EDU,NEIN
25,Hasler,Andreas,GLP,--
176,Haug,Hanspeter,SVP,NEIN
74,Hauri,Andreas,GLP,JA
127,Hauser,Matthias,SVP,NEIN
23,Häusler,Edith,Grüne,NEIN
51,Heierli,Daniel,Grüne,NEIN
151,Heusser,Hans-Heinrich,SVP,NEIN
72,Hodel,Daniel,GLP,JA
15,Hoesch,Felix,SP,NEIN
175,Hofer,Jacqueline,SVP,NEIN
131,Hofmann,Olivier,FDP,NEIN
67,Homberger,Max,Grüne,NEIN
155,Huber,Beat,SVP,NEIN
87,Huber,Stefanie,GLP,JA
76,Hunger,Stefan,BDP,NEIN
121,Isler,René,SVP,NEIN
167,Isliker,Walter,SVP,NEIN
1,Johner,Brigitta,FDP,--
46,Joss,Rosmarie,SP,NEIN
49,Kaeser,Regula,Grüne,NEIN
32,Katumba,Andrew,SP,NEIN
77,Keller,Cornelia,BDP,NEIN
124,Keller,Rolando,SVP,NEIN
128,Kläy,Dieter,FDP,NEIN
129,Kull-Benz,Katharina,FDP,NEIN
160,Kündig,Jörg,FDP,NEIN
101,Kutter,Philipp,CVP,NEIN
095,Kyburz,Heinz,EDU,NEIN
063,Lais,Ruedi,SP,NEIN
007,Lalli,Emy,SP,NEIN
139,Langhard,Walter,SVP,NEIN
174,Langhart,Konrad,SVP,NEIN
065,Läubli,Hans,Grüne,NEIN
080,Lenggenhager,Marcel,BDP,NEIN
069,Ljuboje,Patricia,Grüne,NEIN
057,Loss,Davide,SP,NEIN
137,Lucek,Christian,SVP,NEIN
026,Mäder,Jörg,GLP,JA
022,Margreiter,Ralf,Grüne,NEIN
027,Marthaler,Thomas,SP,NEIN
036,Marti,Res,Grüne,NEIN
017,Matter,Sylvie,SP,NEIN
170,Menzi,Ruedi,SVP,NEIN
153,Mettler,Christian,SVP,NEIN
029,Meyer,Mattea,SP,NEIN
168,Moor-Schwarz,Ursula,SVP,NEIN
031,Munz,Roland,SP,NEIN
024,Neukom,Martin,Grüne,NEIN
182,Peter,Jacqueline,SP,NEIN
037,Petri,Gabi,Grüne,JA
093,Pinto,Jean-Philippe,CVP,NEIN
133,Preisig,Peter,SVP,NEIN
053,Rappazzo,Pierre,GLP,JA
157,Raths,Hans Heinrich,SVP,NEIN
091,Reinhard,Peter,EVP,JA
156,Rinderknecht,Margreth,SVP,NEIN
090,Ritschard,Peter,EVP,JA
068,Rohweder-Lischer,Maria,Grüne,NEIN
117,Rueff,Sonja,FDP,NEIN
107,Sauter,Regine,FDP,NEIN
083,Schaaf,Markus,EVP,JA
055,Schaffner,Barbara,GLP,JA
173,Scheck,Roland,SVP,NEIN
085,Scherrer,Benno,GLP,JA
115,Scherrer,Werner,FDP,NEIN
120,Schmid,Claudio,SVP,NEIN
105,Schmid,Lorenz,CVP,NEIN
3a,Schmid,Roman,SVP,NEIN
112,Schneebeli,Jakob,SVP,NEIN
089,Schoch,Walter,EVP,JA
145,Schwab,Daniel,FDP,NEIN
052,Schwarzenbach,Beni,GLP,JA
009,Seiler Graf,Priska,SP,NEIN
061,Seiz-Gut,Silvia,SP,NEIN
059,Sieber,Sabine,SP,NEIN
047,Späth,Markus,SP,NEIN
183,Spillmann,Moritz,SP,NEIN
060,Stampfli,Michael,SP,NEIN
136,Steinemann,Barbara,SVP,--
019,Steiner,Kathy,Grüne,NEIN
028,Steiner,Rafael,SP,NEIN
003,Steiner,Rolf,SP,NEIN
092,Steiner,Silvia,CVP,NEIN
172,Steinmann,Armin,SVP,NEIN
011,Stofer,Judith,AL,NEIN
148,Stucker,Rolf,SVP,NEIN
008,Stutz,Peter,SP,NEIN
166,Sulser,Jürg,SVP,NEIN
114,Suter,Arnold,SVP,--
102,Thomet-Bürki,Corinne,CVP,NEIN
108,Trachsel,Jürg,SVP,NEIN
150,Uhlmann,Peter,SVP,NEIN
158,Vogel,Thomas,FDP,NEIN
118,Vogt,Hans-Ueli,SVP,NEIN
162,Vollenweider,Peter,FDP,NEIN
070,von Planta,Cyrill,GLP,JA
094,Vontobel,Erich,EDU,NEIN
056,Wahlen,Denise,GLP,JA
