platz,nachname,vorname,partei,stimme
030,Ackermann,Pia,SP,JA
103,Ackermann,Ruth,CVP,JA
042,Agosti,Theres,SP,JA
031,Akanji,Sarah,SP,--
177,Albanese,Franco,SVP,JA
054,Alder,Ronald,GLP,JA
126,Amrein,Hans-Peter,SVP,JA
162,Balmer,Bettina,FDP,JA
140,Bamert,Ueli,SVP,JA
081,Barmettler,Franziska,GLP,JA
057,Barthal,Isabel,SP,JA
009,Bärtschiger,Markus,SP,JA
086,Bellaiche,Judith,GLP,JA
168,Bender,André,SVP,JA
011,Berner,Melanie,AL,--
128,Biber,Michael,FDP,JA
020,Bischoff,Markus,AL,JA
022,Bloch,Beat,Grüne,JA
173,Bonato,Diego,SVP,JA
124,Bossert,Sandra,SVP,JA
129,Bourgeois,Marc,FDP,JA
017,Brandenberger,Harry,SP,JA
159,Brunner,Hans-Peter,FDP,JA
034,Brunner,Robert,Grüne,JA
101,Bürgin,Yvonne,CVP,JA
155,Burtscher,Rochus,SVP,JA
049,Büsser,Jeanette,Grüne,JA
013,Bütikofer,Kaspar,AL,JA
115,Camenisch,Linda,FDP,JA
044,Columberg,Leandra,SP,JA
83,Cometta-Müller,Katrin,GLP,JA
4,Dalcher,Pierre,SVP,JA
41,Daurù,Andreas,SP,JA
51,Dietschi,Urs,Grüne,JA
29,Dünki,Michèle,SP,JA
70,Dürr,Renate,Grüne,JA
134,Egli,Hans,EDU,JA
181,Erni,Jonas,SP,JA
147,Etter-Gick,Carola,FDP,JA
100,Farner,Martin,FDP,JA
110,Fehr Düsel,Nina,SVP,JA
37,Fehr,Karin,Grüne,JA
148,Fehr,Raffaela,FDP,JA
62,Feldmann,Stefan,SP,JA
150,Fischer,Benjamin,SVP,JA
65,Forrer,Thomas,Grüne,JA
130,Franzen,Barbara,FDP,JA
158,Frey-Eigenmann,Beatrix,FDP,JA
143,Furrer,Astrid,FDP,JA
67,Galeuchet,David,Grüne,--
105,Gantner,Alex,FDP,JA
26,Gehrig,Sonja,GLP,JA
160,Geistlich,Andreas,FDP,JA
75,Gisler,Andrea,GLP,JA
14,Göldi,Hanspeter,SP,JA
71,Gredig,Corina,GLP,JA
136,Grüter,Barbara,SVP,JA
93,Günthard,Barbara,EVP,JA
21,Guyer,Esther,Grüne,JA
111,Haab,Martin,SVP,JA
161,Habegger,Beat,FDP,JA
152,Habicher,Lorenz,SVP,JA
69,Hans,Urs,Grüne,--
55,Hasler,Andreas,GLP,JA
91,Häuptli,Daniel,GLP,--
127,Hauser,Matthias,SVP,JA
36,Häusler,Edith,Grüne,JA
52,Heierli,Daniel,Grüne,JA
72,Hodel,Daniel,GLP,--
15,Hoesch,Felix,SP,JA
176,Hofer,Jacqueline,SVP,JA
180,Hoffmann,Benedikt,SVP,JA
39,Hollenstein,Claudia,GLP,JA
123,Honegger,Walter,SVP,JA
89,Huber,Stefanie,GLP,JA
156,Huber,Beat,SVP,JA
165,Huber,Martin,FDP,JA
151,Hübscher,Martin,SVP,JA
78,Hugentobler,Hanspeter,EVP,JA
12,Huonker,Laura,AL,JA
121,Isler,René,SVP,JA
145,Jäger,Alexander,FDP,JA
46,Joss,Rosmarie,SP,JA
38,Kampus,Manuel,Grüne,JA
32,Katumba,Andrew,SP,JA
1,Kläy,Dieter,FDP,--
142,Kündig,Jörg,FDP,JA
63,Lais,Ruedi,SP,JA
119,Lamprecht,Thomas,EDU,JA
112,Landmann,Valentin,SVP,JA
33,Langenegger,Tobias,SP,JA
178,Langhart,Konrad,SVP,JA
167,Ledergerber,Domenik,SVP,JA
27,Loss,Davide,SP,JA
135,Lucek,Christian,SVP,JA
40,Mäder,Jörg,GLP,JA
76,Mani,Tobias,EVP,JA
183,Marthaler,Thomas,SP,JA
7,Marti,Sybille,SP,JA
184,Marty Fässler,Carmen,SP,JA
133,Marty,Maria Rita,SVP,JA
185,Matter,Sylvie,SP,JA
174,Mayer,Paul,SVP,JA
132,Meier,Doris,FDP,JA
59,Meier,Esther,SP,JA
66,Meier,Florian,Grüne,JA
95,Meier,Walter,EVP,JA
153,Mettler,Christian,SVP,JA
94,Monhart,Beat,EVP,JA
163,Moser-Schäfer,Arianne,FDP,JA
146,Müller,André,FDP,JA
117,Müller,Christian,FDP,JA
131,Müller,Fabian,FDP,JA
53,Petri,Gabi,Grüne,JA
64,Pfalzgraf,Hannah,SP,JA
24,Pfändler,Stefanie,Grüne,JA
179,Pfister,Ulrich,SVP,JA
169,Pflugshaupt,Elisabeth,SVP,JA
96,Pinto,Jean-Philippe,CVP,JA
23,Pokerschnig,Jasmine,Grüne,JA
50,Rigoni,Silvia,Grüne,JA
137,Rinderknecht,Daniela,SVP,JA
172,Rogenmoser,Romaine,SVP,JA
118,Romero,Angie,FDP,JA
61,Röösli,Brigitte,SP,JA
116,Rueff,Sonja,FDP,JA
10,Sadriu,Qëndresa,SP,JA
18,Sahli,Manuel,AL,JA
82,Sanesi-Muri,Monica,GLP,JA
79,Schaaf,Markus,EVP,JA
80,Schaffner,Barbara,GLP,JA
157,Scheck,Roland,SVP,JA
