platz,nachname,vorname,partei,stimme
89,Albanese,Franco,CVP,JA
30,Ackermann,Pia,SP,JA
42,Agosti Monn,Theres,SP,ENTHALTEN
82,Ackermann,Ruth,CVP,--
114,Amacker,Bruno,SVP,JA
126,Amrein,Hans-Peter,SVP,JA
110,Arnold,Martin,SVP,JA
140,Bachmann,Ernst,SVP,JA
163,Balmer,Bettina,FDP,JA
171,Bär,Hansruedi,SVP,JA
57,Bartal,Isabel,SP,JA
86,Bellaiche,Judith,GLP,NEIN
165,Bender,André,SVP,JA
161,Berger,Antoine,FDP,JA
130,Biber,Michael,FDP,NEIN
20,Bischoff,Markus,AL,NEIN
49,Bloch,Beat,CSP,NEIN
159,Boesch,Hans-Jakob,FDP,JA
135,Bollinger,Erich,SVP,NEIN
173,Bonato,Diego,SVP,JA
111,Borer,Anita,SVP,JA
131,Bourgeois,Marc,FDP,JA
80,Brazerol,Rico,BDP,JA
146,Brunner,Hans-Peter,FDP,JA
34,Brunner,Robert,Grüne,NEIN
58,Büchi,Renate,SP,JA
3,Bürgin,Yvonne,CVP,JA
154,Burtscher,Rochus,SVP,JA
7,Bussmann,Barbara,SP,JA
13,Bütikofer,Kaspar,AL,NEIN
115,Camenisch,Linda,FDP,JA
180,Dalcher,Pierre,SVP,JA
43,Daurù,Andreas,SP,JA
29,Dünki,Michèle,SP,JA
95,Egli,Hans,EDU,NEIN
2,Egli,Karin,SVP,JA
71,Erdin,Andreas,GLP,NEIN
181,Erni,Jonas,SP,JA
101,Farner,Martin,FDP,JA
118,Fehr Düsel,Nina,SVP,--
68,Fehr Thoma,Karin,Grüne,NEIN
62,Feldmann,Stefan,SP,JA
87,Fenner,Bruno,BDP,JA
149,Fischer,Benjamin,SVP,JA
39,Fischer,Gerhard,EVP,NEIN
103,Franzen,Barbara,FDP,--
41,Frei,Daniel,SP,JA
151,Frei,Ruth,SVP,JA
160,Frey,Beatrix,FDP,JA
143,Furrer,Astrid,FDP,JA
112,Fürst,Reinhard,SVP,JA
162,Galliker,Nadja,FDP,--
106,Gantner,Alex,FDP,JA
70,Gehrig,Sonja,GLP,NEIN
105,Geistlich,Andreas,FDP,JA
14,Göldi,Hanspeter,SP,JA
33,Gschwind,Benedikt,SP,JA
24,Gugger,Nik,EVP,NEIN
88,Gut,Astrid,BDP,JA
21,Guyer,Esther,Grüne,NEIN
109,Haab,Martin,SVP,JA
102,Habegger,Beat,FDP,JA
93,Häni,Peter,EDU,JA
144,Hänni,Cäcilia,FDP,JA
96,Häring,Hans Peter,EDU,JA
53,Häuptli,Daniel,GLP,NEIN
74,Hauri,Andreas,GLP,NEIN
127,Hauser,Matthias,SVP,NEIN
36,Häusler,Edith,Grüne,NEIN
65,Heierli,Daniel,Grüne,NEIN
72,Hodel,Daniel,GLP,NEIN
15,Hoesch,Felix,SP,JA
176,Hofer,Jacqueline,SVP,JA
138,Hoffmann,Benedikt,SVP,JA
129,Hofmann,Olivier,FDP,JA
67,Homberger,Max Robert,Grüne,NEIN
155,Huber,Beat,SVP,JA
167,Hübscher,Martin,SVP,JA
38,Hugentobler,Hanspeter,EVP,JA
12,Huonker,Laura,AL,NEIN
124,Hurter,Christian,SVP,JA
121,Isler,René,SVP,JA
099,Jäger,Alexander,FDP,JA
046,Joss,Rosmarie,SP,JA
048,Kaeser,Regula,Grüne,NEIN
032,Katumba,Andrew,SP,JA
081,Keller,Cornelia,BDP,JA
123,Keller,Rolando,SVP,--
3a,Kläy,Dieter,FDP,JA
097,Koller,Prisca,FDP,JA
128,Kull,Katharina,FDP,JA
142,Kündig,Jörg,FDP,JA
