platz,nachname,vorname,partei,stimme
30,Ackermann,Pia,SP,--
82,Ackermann,Ruth,CVP,--
42,Agosti Monn,Theres,SP,--
177,Albanese,Franco,SVP,JA
114,Amacker,Bruno,SVP,JA
126,Amrein,Hans-Peter,SVP,JA
140,Bachmann,Ernst,SVP,JA
163,Balmer,Bettina,FDP,JA
171,Bär,Hansruedi,SVP,JA
57,Bartal,Isabel,SP,NEIN
17,Bärtschiger,Markus,SP,--
86,Bellaiche,Judith,GLP,--
165,Bender,André,SVP,JA
161,Berger,Antoine,FDP,JA
130,Biber,Michael,FDP,JA
20,Bischoff,Markus,AL,--
22,Bloch,Beat,CSP,JA
159,Boesch,Hans-Jakob,FDP,JA
135,Bollinger,Erich,SVP,JA
173,Bonato,Diego,SVP,JA
111,Borer,Anita,SVP,JA
131,Bourgeois,Marc,FDP,JA
80,Brazerol,Rico,BDP,JA
146,Brunner,Hans-Peter,FDP,--
34,Brunner,Robert,Grüne,JA
58,Büchi,Renate,SP,--
2,Bürgin,Yvonne,CVP,--
154,Burtscher,Rochus,SVP,JA
7,Bussmann,Barbara,SP,JA
13,Bütikofer,Kaspar,AL,--
115,Camenisch,Linda,FDP,JA
180,Dalcher,Pierre,SVP,JA
43,Daurù,Andreas,SP,--
29,Dünki,Michèle,SP,--
95,Egli,Hans,EDU,JA
1,Egli,Karin,SVP,JA
71,Erdin,Andreas,GLP,--
181,Erni,Jonas,SP,--
101,Farner,Martin,FDP,JA
118,Fehr Düsel,Nina,SVP,JA
66,Fehr Thoma,Karin,Grüne,JA
62,Feldmann,Stefan,SP,JA
87,Fenner,Bruno,BDP,--
149,Fischer,Benjamin,SVP,JA
68,Forrer,Thomas,Grüne,--
103,Franzen,Barbara,FDP,JA
41,Frei,Daniel,SP,--
151,Frei,Ruth,SVP,JA
160,Frey,Beatrix,FDP,--
143,Furrer,Astrid,FDP,JA
112,Fürst,Reinhard,SVP,JA
162,Galliker,Nadja,FDP,JA
106,Gantner,Alex,FDP,JA
70,Gehrig,Sonja,GLP,--
105,Geistlich,Andreas,FDP,JA
14,Göldi,Hanspeter,SP,ENTHALTEN
33,Gschwind,Benedikt,SP,--
24,Gugger,Nik,EVP,JA
88,Gut,Astrid,BDP,JA
21,Guyer,Esther,Grüne,JA
109,Haab,Martin,SVP,JA
102,Habegger,Beat,FDP,JA
93,Häni,Peter,EDU,JA
144,Hänni,Cäcilia,FDP,JA
53,Häuptli,Daniel,GLP,--
74,Hauri,Andreas,GLP,--
127,Hauser,Matthias,SVP,JA
36,Häusler,Edith,Grüne,JA
65,Heierli,Daniel,Grüne,JA
72,Hodel,Daniel,GLP,--
15,Hoesch,Felix,SP,--
176,Hofer,Jacqueline,SVP,JA
138,Hoffmann,Benedikt,SVP,JA
129,Hofmann,Olivier,FDP,JA
67,Homberger,Max Robert,Grüne,JA
155,Huber,Beat,SVP,JA
167,Hübscher,Martin,SVP,JA
39,Hugentobler,Hanspeter,EVP,JA
12,Huonker,Laura,AL,--
124,Hurter,Christian,SVP,JA
121,Isler,René,SVP,JA
099,Jäger,Alexander,FDP,JA
046,Joss,Rosmarie,SP,ENTHALTEN
048,Kaeser,Regula,Grüne,JA
032,Katumba,Andrew,SP,--
081,Keller,Cornelia,BDP,--
123,Keller,Rolando,SVP,JA
003,Kläy,Dieter,FDP,JA
097,Koller,Prisca,FDP,JA
128,Kull,Katharina,FDP,JA
142,Kündig,Jörg,FDP,JA
091,Kutter,Philipp,CVP,--
063,Lais,Ruedi,SP,NEIN
010,Langenegger,Tobias,SP,--
139,Langhard,Walter,SVP,JA
178,Langhart,Konrad,SVP,JA
076,Lenggenhager,Marcel,BDP,JA
119,Leuenberger,Susanne,SVP,JA
152,Liebi,Roger,SVP,JA
027,Loss,Davide,SP,--
136,Lucek,Christian,SVP,JA
075,Mäder,Jörg,GLP,--
026,Mani,Tobias,EVP,JA
064,Marthaler,Thomas,SP,JA
3a,Marti,Sibylle,SP,--
094,Marty,Maria Rita,EDU,JA
008,Matter,Sylvie,SP,--
061,Meier,Esther,SP,--
023,Meier,Walter,EVP,JA
153,Mettler,Christian,SVP,JA
122,Mischol,Tumasch,SVP,JA
037,Monhart,Beat,EVP,JA
168,Moor,Ursula,SVP,JA
098,Müller,André,FDP,JA
104,Müller,Christian,FDP,JA
031,Munz,Roland,SP,--
035,Neukom,Martin,Grüne,JA
182,Peter,Jacqueline,SP,--
051,Petri,Gabi,Grüne,JA
179,Pfister,Ulrich,SVP,JA
166,Pflugshaupt,Elisabeth,SVP,JA
084,Pinto,Jean-Philippe,CVP,--
133,Preisig,Peter,SVP,JA
157,Raths,Hans Heinrich,SVP,--
050,Rigoni,Silvia,Grüne,--
156,Rinderknecht,Margreth,SVP,JA
147,Romer,Martin,FDP,JA
116,Rueff,Sonja,FDP,JA
019,Sahli,Manuel,AL,--
040,Schaaf,Markus,EVP,JA
055,Schaffner,Barbara,GLP,--
134,Scheck,Roland,SVP,JA
085,Scherrer,Benno,GLP,--
