platz,nachname,vorname,partei,stimme
114,Amacker,Bruno,SVP,--
082,Ackermann,Ruth,CVP,--
030,Ackermann,Pia,SP,JA
089,Albanese,Franco,CVP,--
042,Agosti Monn,Theres,SP,JA
126,Amrein,Hans-Peter,SVP,--
110,Arnold,Martin,SVP,--
140,Bachmann,Ernst,SVP,--
163,Balmer,Bettina,FDP,--
171,Bär,Hansruedi,SVP,--
057,Bartal,Isabel,SP,JA
086,Bellaiche,Judith,GLP,--
165,Bender,André,SVP,--
161,Berger,Antoine,FDP,--
130,Biber,Michael,FDP,--
020,Bischoff,Markus,AL,JA
049,Bloch,Beat,CSP,--
159,Boesch,Hans-Jakob,FDP,--
135,Bollinger,Erich,SVP,--
173,Bonato,Diego,SVP,--
111,Borer,Anita,SVP,--
131,Bourgeois,Marc,FDP,--
080,Brazerol,Rico,BDP,--
146,Brunner,Hans-Peter,FDP,--
034,Brunner,Robert,Grüne,--
058,Büchi,Renate,SP,--
003,Bürgin,Yvonne,CVP,--
154,Burtscher,Rochus,SVP,--
007,Bussmann,Barbara,SP,JA
013,Bütikofer,Kaspar,AL,JA
115,Camenisch,Linda,FDP,--
180,Dalcher,Pierre,SVP,--
43,Daurù,Andreas,SP,JA
29,Dünki,Michèle,SP,JA
95,Egli,Hans,EDU,--
2,Egli,Karin,SVP,--
71,Erdin,Andreas,GLP,--
181,Erni,Jonas,SP,JA
101,Farner,Martin,FDP,--
118,Fehr Düsel,Nina,SVP,--
68,Fehr Thoma,Karin,Grüne,--
62,Feldmann,Stefan,SP,JA
87,Fenner,Bruno,BDP,--
149,Fischer,Benjamin,SVP,--
39,Fischer,Gerhard,EVP,--
103,Franzen,Barbara,FDP,--
41,Frei,Daniel,SP,JA
151,Frei,Ruth,SVP,--
160,Frey,Beatrix,FDP,--
143,Furrer,Astrid,FDP,--
112,Fürst,Reinhard,SVP,--
162,Galliker,Nadja,FDP,--
106,Gantner,Alex,FDP,--
70,Gehrig,Sonja,GLP,--
105,Geistlich,Andreas,FDP,--
14,Göldi,Hanspeter,SP,JA
33,Gschwind,Benedikt,SP,JA
24,Gugger,Nik,EVP,--
88,Gut,Astrid,BDP,--
21,Guyer,Esther,Grüne,--
109,Haab,Martin,SVP,--
102,Habegger,Beat,FDP,--
93,Häni,Peter,EDU,--
144,Hänni,Cäcilia,FDP,--
96,Häring,Hans Peter,EDU,--
53,Häuptli,Daniel,GLP,--
74,Hauri,Andreas,GLP,--
127,Hauser,Matthias,SVP,--
36,Häusler,Edith,Grüne,--
65,Heierli,Daniel,Grüne,JA
72,Hodel,Daniel,GLP,--
15,Hoesch,Felix,SP,JA
176,Hofer,Jacqueline,SVP,--
138,Hoffmann,Benedikt,SVP,--
129,Hofmann,Olivier,FDP,--
67,Homberger,Max Robert,Grüne,--
155,Huber,Beat,SVP,--
167,Hübscher,Martin,SVP,--
38,Hugentobler,Hanspeter,EVP,--
12,Huonker,Laura,AL,JA
124,Hurter,Christian,SVP,--
121,Isler,René,SVP,--
099,Jäger,Alexander,FDP,--
046,Joss,Rosmarie,SP,JA
048,Kaeser,Regula,Grüne,--
032,Katumba,Andrew,SP,JA
081,Keller,Cornelia,BDP,--
123,Keller,Rolando,SVP,--
3a,Kläy,Dieter,FDP,--
097,Koller,Prisca,FDP,--
128,Kull,Katharina,FDP,--
142,Kündig,Jörg,FDP,--
091,Kutter,Philipp,CVP,--
063,Lais,Ruedi,SP,JA
010,Langenegger,Tobias,SP,JA
139,Langhard,Walter,SVP,--
178,Langhart,Konrad,SVP,--
076,Lenggenhager,Marcel,BDP,--
119,Leuenberger,Susanne,SVP,--
152,Liebi,Roger,SVP,--
066,Lischer,Maria,Grüne,--
027,Loss,Davide,SP,JA
136,Lucek,Christian,SVP,--
075,Mäder,Jörg,GLP,--
022,Margreiter,Ralf,Grüne,--
064,Marthaler,Thomas,SP,JA
017,Marti,Sibylle,SP,JA
008,Matter,Sylvie,SP,JA
061,Meier,Esther,SP,JA
023,Meier,Walter,EVP,--
153,Mettler,Christian,SVP,--
122,Mischol,Tumasch,SVP,--
168,Moor,Ursula,SVP,--
098,Müller,André,FDP,--
104,Müller,Christian,FDP,--
031,Munz,Roland,SP,JA
035,Neukom,Martin,Grüne,--
182,Peter,Jacqueline,SP,JA
051,Petri,Gabi,Grüne,JA
179,Pfister,Ulrich,SVP,--
166,Pflugshaupt,Elisabeth,SVP,--
084,Pinto,Jean-Philippe,CVP,--
133,Preisig,Peter,SVP,--
157,Raths,Hans Heinrich,SVP,--
026,Reinhard,Peter,EVP,--
156,Rinderknecht,Margreth,SVP,--
147,Romer,Martin,FDP,--
116,Rueff,Sonja,FDP,--
019,Sahli,Manuel,AL,JA
044,Sarbach,Martin,SP,JA
040,Schaaf,Markus,EVP,--
055,Schaffner,Barbara,GLP,--
134,Scheck,Roland,SVP,--
085,Scherrer Moser,Benno,GLP,--
120,Schmid,Claudio,SVP,--
078,Schmid,Lorenz,CVP,--
004,Schmid,Roman,SVP,--
137,Schmid,Stefan,SVP,--
145,Schucan,Christian,FDP,--
100,Schwab,Daniel,FDP,--
059,Sieber Hirschi,Sabine,SP,JA
037,Sommer,Daniel,EVP,--
047,Späth,Markus,SP,JA
183,Spillmann,Moritz,SP,JA
050,Steiner,Kathy,Grüne,--
028,Steiner,Rafael,SP,--
001,Steiner,Rolf,SP,JA
172,Steinmann,Armin,SVP,--
011,Stofer,Judith Anna,AL,JA
184,Straub,Esther,SP,JA
170,Sulser,Jürg,SVP,--
090,Thomet,Corinne,CVP,--
016,Tognella,Birgit,SP,JA
108,Trachsel,Jürg,SVP,--
009,Trost Vetter,Susanne,SP,JA
125,Truninger,René,SVP,--
150,Uhlmann,Peter,SVP,--
158,Vogel,Thomas,FDP,--
107,Vollenweider,Peter,FDP,--
069,von Planta,Cyrill,GLP,--
092,Vontobel,Erich,EDU,--
175,Wäfler,Daniel,SVP,--
148,Waser,Urs,SVP,--
169,Weber-Gachnang,Theresia,SVP,--
094,Welz,Michael,EDU,--
117,Wettstein,Sabine,FDP,--
018,Wicki,Monika,SP,JA
077,Widler,Josef,CVP,--
045,Widmer,Céline,SP,JA
079,Wiederkehr,Josef,CVP,--
052,Wiesner,Hans W.,GLP,--
073,Wirth,Thomas,GLP,--
141,Wyss,Orlando,SVP,--
060,Wyssen,Claudia,SP,JA
174,Zahler,Erika,SVP,--
056,Zeugin,Michael,GLP,--
054,Ziegler,Christoph,GLP,--
025,Zollinger,Johannes,EVP,--
132,Zuber,Martin,SVP,--
113,Züllig,Hansueli,SVP,--
