platz,nachname,vorname,partei,stimme
44,Agosti Monn,Theres,SP,NEIN
103,Albanese,Franco,CVP,JA
78,Albrecht,Verena,BDP,JA
125,Amacker,Bruno,SVP,JA
126,Amrein,Hans-Peter,SVP,JA
110,Arnold,Martin,SVP,JA
140,Bachmann,Ernst,SVP,JA
171,Bär,Hansruedi,SVP,--
10,Barrile,Angelo,SP,--
124,Bartholdi,Roger,SVP,JA
75,Bellaiche,Judith,GLP,JA
13,Bischoff,Markus,AL,--
20,Bloch,Beat,CSP,--
123,Bollinger,Erich,SVP,JA
111,Borer,Anita,SVP,JA
79,Brazerol,Rico,BDP,JA
34,Brunner,Robert,Grüne,--
58,Büchi-Wild,Renate,SP,--
97,Bürgin,Yvonne,CVP,JA
184,Burlet,Marcel,SP,--
154,Burtscher,Rochus,SVP,JA
5,Bussmann,Barbara,SP,--
12,Bütikofer,Kaspar,AL,--
116,Camenisch,Linda,FDP,JA
160,Clerici,Max F.,FDP,JA
179,Dalcher,Pierre,SVP,--
43,Daurù,Andreas,SP,--
99,Egli,Hans,EDU,--
149,Egli,Karin,SVP,--
42,Egli,Ursina,SP,--
71,Erdin,Andreas,GLP,--
130,Farner,Martin,FDP,JA
145,Feit,Leila,FDP,--
62,Feldmann,Stefan,SP,--
81,Fenner,Bruno,BDP,JA
66,Ferro,Ornella,Grüne,--
82,Fischer,Gerhard,EVP,--
152,Frei-Baumann,Ruth,SVP,JA
178,Frei,Hans,SVP,--
162,Frey,Beatrix,FDP,JA
138,Fürst,Reinhard,SVP,JA
117,Gantner,Alex,FDP,JA
24,Geilinger,Martin,Grüne,--
147,Geistlich,Andreas,FDP,JA
27,Gerber Rüegg,Julia,SP,--
30,Göldi,Hanspeter,SP,--
47,Golta,Raphael,SP,--
17,Gschwind,Benedikt,SP,NEIN
54,Gutknecht,René,GLP,--
86,Gutmann,Eva,GLP,--
21,Guyer,Esther,Grüne,--
109,Haab,Martin,SVP,--
134,Habicher,Lorenz,SVP,JA
169,Haderer,Willy,SVP,--
48,Hans,Urs,Grüne,--
100,Häring,Hans Peter,EDU,JA
25,Hasler,Andreas,GLP,JA
176,Haug,Hanspeter,SVP,JA
74,Hauri,Andreas,GLP,JA
127,Hauser,Matthias,SVP,ENTHALTEN
69,Häusler,Edith,Grüne,--
18,Heuberger,Catherine,SP,--
151,Heusser,Hans-Heinrich,SVP,JA
23,Hildebrand,Esther,Grüne,--
72,Hodel,Daniel,GLP,JA
175,Hofer,Jacqueline,SVP,--
131,Hofmann,Olivier,FDP,JA
104,Holenstein,Christoph,CVP,JA
67,Homberger,Max,Grüne,--
155,Huber,Beat,SVP,JA
87,Huber,Stefanie,GLP,JA
