platz,nachname,vorname,partei,stimme
44,Agosti Monn,Theres,SP,NEIN
103,Albanese,Franco,CVP,--
125,Amacker,Bruno,SVP,JA
126,Amrein,Hans-Peter,SVP,JA
110,Arnold,Martin,SVP,JA
140,Bachmann,Ernst,SVP,JA
171,Bär,Hansruedi,SVP,JA
10,Barrile,Angelo,SP,NEIN
75,Bellaiche,Judith,GLP,JA
163,Berger,Antoine,FDP,JA
13,Bischoff,Markus,AL,JA
20,Bloch,Beat,CSP,--
123,Bollinger,Erich,SVP,JA
111,Borer,Anita,SVP,JA
79,Brazerol,Rico,BDP,JA
34,Brunner,Robert,Grüne,JA
58,Büchi-Wild,Renate,SP,NEIN
97,Bürgin,Yvonne,CVP,JA
184,Burlet,Marcel,SP,NEIN
154,Burtscher,Rochus,SVP,JA
5,Bussmann,Barbara,SP,NEIN
12,Bütikofer,Kaspar,AL,JA
116,Camenisch,Linda,FDP,JA
180,Dalcher,Pierre,SVP,--
43,Daurù,Andreas,SP,NEIN
99,Egli,Hans,EDU,JA
4,Egli,Karin,SVP,JA
42,Egli,Ursina,SP,NEIN
71,Erdin,Andreas,GLP,JA
181,Erni,Jonas,SP,NEIN
130,Farner,Martin,FDP,JA
62,Feldmann,Stefan,SP,NEIN
81,Fenner,Bruno,BDP,JA
66,Ferro,Ornella,Grüne,JA
82,Fischer,Gerhard,EVP,NEIN
152,Frei-Baumann,Ruth,SVP,JA
178,Frei,Hans,SVP,JA
161,Frey,Beatrix,FDP,JA
147,Furrer,Astrid,FDP,JA
138,Fürst,Reinhard,SVP,JA
106,Gantner,Alex,FDP,JA
144,Geistlich,Andreas,FDP,JA
30,Göldi,Hanspeter,SP,NEIN
17,Gschwind,Benedikt,SP,NEIN
78,Gut,Astrid,BDP,JA
54,Gutknecht,René,GLP,JA
86,Gutmann,Eva,GLP,--
21,Guyer,Esther,Grüne,JA
109,Haab,Martin,SVP,--
134,Habicher,Lorenz,SVP,JA
169,Haderer,Willy,SVP,--
149,Haller,Margrit,SVP,JA
146,Hänni,Cäcilia,FDP,JA
48,Hans,Urs,Grüne,JA
100,Häring,Hans Peter,EDU,JA
25,Hasler,Andreas,GLP,JA
176,Haug,Hanspeter,SVP,JA
74,Hauri,Andreas,GLP,JA
127,Hauser,Matthias,SVP,JA
69,Häusler,Edith,Grüne,JA
51,Heierli,Daniel,Grüne,JA
18,Heuberger,Catherine,SP,NEIN
151,Heusser,Hans-Heinrich,SVP,JA
23,Hildebrand,Esther,Grüne,JA
72,Hodel,Daniel,GLP,--
175,Hofer,Jacqueline,SVP,JA
131,Hofmann,Olivier,FDP,JA
104,Holenstein,Christoph,CVP,JA
67,Homberger,Max,Grüne,JA
155,Huber,Beat,SVP,JA
87,Huber,Stefanie,GLP,--
49,Hübscher,Lilith Claudia,Grüne,JA
76,Hunger,Stefan,BDP,JA
121,Isler,René,SVP,JA
167,Isliker,Walter,SVP,JA
1,Johner,Brigitta,FDP,--
46,Joss,Rosmarie,SP,NEIN
50,Kaeser,Regula,Grüne,JA
77,Keller,Cornelia,BDP,JA
124,Keller,Rolando,SVP,--
128,Kläy,Dieter,FDP,--
88,Kleiber-Schenkel,Ruth,EVP,NEIN
129,Kull-Benz,Katharina,FDP,JA
160,Kündig,Jörg,FDP,JA
101,Kutter,Philipp,CVP,JA
95,Kyburz,Heinz,EDU,JA
63,Lais,Ruedi,SP,NEIN
7,Lalli,Emy,SP,--
139,Langhard,Walter,SVP,JA
174,Langhart,Konrad,SVP,JA
65,Läubli,Hans,Grüne,JA
80,Lenggenhager,Marcel,BDP,JA
57,Loss,Davide,SP,NEIN
137,Lucek,Christian,SVP,JA
26,Mäder,Jörg,GLP,JA
15,Maeder-Zuberbühler,Karin,SP,--
22,Margreiter,Ralf,Grüne,JA
27,Marthaler,Thomas,SP,NEIN
36,Marti,Res,Grüne,JA
170,Menzi,Ruedi,SVP,JA
153,Mettler,Christian,SVP,--
29,Meyer,Mattea,SP,NEIN
168,Moor-Schwarz,Ursula,SVP,JA
31,Munz,Roland,SP,NEIN
24,Neukom,Martin,Grüne,JA
182,Peter,Jacqueline,SP,--
37,Petri,Gabi,Grüne,NEIN
93,Pinto,Jean-Philippe,CVP,JA
133,Preisig,Peter,SVP,JA
53,Rappazzo,Pierre,GLP,JA
157,Raths,Hans Heinrich,SVP,JA
91,Reinhard,Peter,EVP,NEIN
156,Rinderknecht,Margreth,SVP,JA
90,Ritschard,Peter,EVP,NEIN
68,Rohweder-Lischer,Maria,Grüne,JA
117,Rueff,Sonja,FDP,JA
14,Rusca Speck,Susanna,SP,--
107,Sauter,Regine,FDP,--
83,Schaaf,Markus,EVP,NEIN
55,Schaffner,Barbara,GLP,JA
173,Scheck,Roland,SVP,JA
85,Scherrer,Benno,GLP,JA
115,Scherrer,Werner,FDP,JA
120,Schmid,Claudio,SVP,JA
105,Schmid,Lorenz,CVP,JA
3a,Schmid,Roman,SVP,JA
112,Schneebeli,Jakob,SVP,--
89,Schoch,Walter,EVP,NEIN
145,Schwab,Daniel,FDP,JA
52,Schwarzenbach,Benjamin,GLP,--
9,Seiler Graf,Priska,SP,--
61,Seiz-Gut,Silvia,SP,NEIN
59,Sieber,Sabine,SP,NEIN
47,Späth,Markus,SP,NEIN
183,Spillmann,Moritz,SP,--
32,Spring,Monika,SP,--
60,Stampfli,Michael,SP,NEIN
136,Steinemann,Barbara,SVP,JA
19,Steiner,Kathy,Grüne,JA
28,Steiner,Rafael,SP,NEIN
3,Steiner,Rolf,SP,NEIN
92,Steiner,Silvia,CVP,JA
172,Steinmann,Armin,SVP,JA
11,Stofer,Judith,AL,JA
148,Stucker,Rolf,SVP,JA
8,Stutz,Peter,SP,NEIN
166,Sulser,Jürg,SVP,JA
114,Suter,Arnold,SVP,JA
102,Thomet-Bürki,Corinne,CVP,JA
108,Trachsel,Jürg,SVP,--
150,Uhlmann,Peter,SVP,JA
158,Vogel,Thomas,FDP,JA
118,Vogt,Hans-Ueli,SVP,--
162,Vollenweider,Peter,FDP,JA
70,von Planta,Cyrill,GLP,--
94,Vontobel,Erich,EDU,JA
56,Wahlen,Denise,GLP,JA
159,Walker Späh,Carmen,FDP,JA
179,Walliser,Bruno,SVP,JA
2,Weber-Gachnang,Theresia,SVP,JA
142,Weibel,Katharina,FDP,JA
98,Welz,Michael,EDU,JA
164,Wettstein,Sabine,FDP,JA
45,Widmer,Céline,SP,NEIN
96,Wiederkehr,Josef,CVP,JA
38,Wiesner,Hans,GLP,JA
143,Winkler,Gabriela,FDP,JA
73,Wirth,Thomas,GLP,JA
35,Wolf,Andreas,Grüne,JA
119,Wuhrmann,Heinrich,SVP,JA
141,Wyss,Orlando,SVP,JA
135,Zanetti,Claudio,SVP,JA
40,Zeugin,Michael,GLP,--
39,Ziegler,Christoph,GLP,--
33,Ziegler,Sabine,SP,NEIN
41,Ziltener,Erika,SP,NEIN
122,Zimmermann,Rolf,SVP,JA
84,Zollinger,Johannes,EVP,NEIN
132,Zuber,Martin,SVP,JA
113,Züllig,Hansueli,SVP,--
