platz,nachname,vorname,partei,stimme
44,Agosti Monn,Theres,SP,NEIN
103,Albanese,Franco,CVP,NEIN
78,Albrecht,Verena,BDP,NEIN
125,Amacker,Bruno,SVP,NEIN
126,Amrein,Hans-Peter,SVP,NEIN
110,Arnold,Martin,SVP,NEIN
140,Bachmann,Ernst,SVP,NEIN
171,Bär,Hansruedi,SVP,NEIN
10,Barrile,Angelo,SP,NEIN
124,Bartholdi,Roger,SVP,--
75,Bellaiche,Judith,GLP,JA
13,Bischoff,Markus,AL,NEIN
20,Bloch,Beat,CSP,NEIN
123,Bollinger,Erich,SVP,NEIN
111,Borer,Anita,SVP,NEIN
79,Brazerol,Rico,BDP,NEIN
34,Brunner,Robert,Grüne,NEIN
48,Bucher-Steinegger,Heidi,Grüne,NEIN
58,Büchi-Wild,Renate,SP,NEIN
97,Bürgin,Yvonne,CVP,NEIN
184,Burlet,Marcel,SP,NEIN
154,Burtscher,Rochus,SVP,NEIN
5,Bussmann,Barbara,SP,NEIN
12,Bütikofer,Kaspar,AL,NEIN
116,Camenisch,Linda,FDP,NEIN
161,Clerici,Max F.,FDP,NEIN
179,Dalcher,Pierrre,SVP,NEIN
43,Daurù,Andreas,SP,NEIN
99,Egli,Hans,EDU,JA
149,Egli,Karin,SVP,NEIN
042,Egli,Ursina,SP,NEIN
71,Erdin,Andreas,GLP,JA
130,Farner,Martin,FDP,NEIN
145,Feit,Leila,FDP,NEIN
62,Feldmann,Stefan,SP,NEIN
81,Fenner,Bruno,BDP,NEIN
66,Ferro,Ornella,Grüne,NEIN
82,Fischer,Gerhard,EVP,NEIN
152,Frei-Baumann,Ruth,SVP,--
178,Frei,Hans,SVP,NEIN
164,Frey,Beatrix,FDP,NEIN
138,Fürst,Reinhard,SVP,NEIN
117,Gantner,Alex,FDP,NEIN
24,Geilinger,Martin,Grüne,NEIN
147,Geistlich,Andreas,FDP,NEIN
27,Gerber Rüegg,Julia,SP,NEIN
30,Göldi,Hanspeter,SP,NEIN
47,Golta,Raphael,SP,NEIN
17,Gschwind,Benedikt,SP,NEIN
54,Gutknecht,René,GLP,JA
86,Gutmann,Eva,GLP,JA
21,Guyer,Esther,Grüne,NEIN
109,Haab,Martin,SVP,NEIN
134,Habicher,Lorenz,SVP,NEIN
169,Haderer,Willy,SVP,NEIN
50,Hans,Urs,Grüne,NEIN
100,Häring,Hans Peter,EDU,JA
25,Hasler,Andreas,GLP,--
176,Haug,Hanspeter,SVP,NEIN
74,Hauri,Andreas,GLP,JA
127,Hauser,Matthias,SVP,NEIN
69,Häusler,Edith,Grüne,NEIN
