platz,nachname,vorname,partei,stimme
30,Ackermann,Pia,SP,NEIN
82,Ackermann,Ruth,CVP,JA
42,Agosti Monn,Theres,SP,NEIN
177,Albanese,Franco,SVP,JA
52,Alder,Ronald,GLP,NEIN
114,Amacker,Bruno,SVP,JA
126,Amrein,Hans-Peter,SVP,JA
140,Bachmann,Ernst,SVP,JA
163,Balmer,Bettina,FDP,JA
171,Bär,Hansruedi,SVP,JA
57,Bartal,Isabel,SP,NEIN
17,Bärtschiger,Markus,SP,NEIN
86,Bellaiche,Judith,GLP,NEIN
165,Bender,André,SVP,JA
161,Berger,Antoine,FDP,--
130,Biber,Michael,FDP,JA
20,Bischoff,Markus,AL,JA
22,Bloch,Beat,CSP,NEIN
159,Boesch,Hans-Jakob,FDP,JA
135,Bollinger,Erich,SVP,JA
173,Bonato,Diego,SVP,JA
111,Borer,Anita,SVP,JA
131,Bourgeois,Marc,FDP,JA
80,Brazerol,Rico,BDP,--
146,Brunner,Hans-Peter,FDP,JA
34,Brunner,Robert,Grüne,NEIN
2,Bürgin,Yvonne,CVP,JA
154,Burtscher,Rochus,SVP,JA
7,Bussmann,Barbara,SP,NEIN
13,Bütikofer,Kaspar,AL,JA
115,Camenisch,Linda,FDP,JA
180,Dalcher,Pierre,SVP,--
43,Daurù,Andreas,SP,NEIN
29,Dünki,Michèle,SP,NEIN
95,Egli,Hans,EDU,JA
1,Egli,Karin,SVP,--
71,Erdin,Andreas,GLP,NEIN
181,Erni,Jonas,SP,NEIN
101,Farner,Martin,FDP,JA
118,Fehr Düsel,Nina,SVP,JA
66,Fehr Thoma,Karin,Grüne,--
62,Feldmann,Stefan,SP,NEIN
149,Fischer,Benjamin,SVP,JA
68,Forrer,Thomas,Grüne,NEIN
103,Franzen,Barbara,FDP,JA
41,Frei,Daniel,SP,NEIN
151,Frei,Ruth,SVP,JA
160,Frey,Beatrix,FDP,JA
143,Furrer,Astrid,FDP,JA
112,Fürst,Reinhard,SVP,JA
162,Galliker,Nadja,FDP,JA
106,Gantner,Alex,FDP,JA
70,Gehrig,Sonja,GLP,NEIN
105,Geistlich,Andreas,FDP,--
14,Göldi,Hanspeter,SP,NEIN
138,Grüter,Barbara,SVP,JA
33,Gschwind,Benedikt,SP,NEIN
24,Gugger,Nik,EVP,NEIN
88,Gut,Astrid,BDP,JA
21,Guyer,Esther,Grüne,NEIN
109,Haab,Martin,SVP,JA
102,Habegger,Beat,FDP,--
