platz,nachname,vorname,partei,stimme
184,Agosti Monn,Theres,SP,JA
103,Albanese,Franco,CVP,JA
125,Amacker,Bruno,SVP,NEIN
126,Amrein,Hans-Peter,SVP,NEIN
110,Arnold,Martin,SVP,NEIN
140,Bachmann,Ernst,SVP,--
171,Bär,Hansruedi,SVP,NEIN
10,Barrile,Angelo,SP,JA
44,Bartal,Isabel,SP,JA
75,Bellaiche,Judith,GLP,JA
163,Berger,Antoine,FDP,JA
13,Bischoff,Markus,AL,JA
20,Bloch,Beat,CSP,JA
123,Bollinger,Erich,SVP,NEIN
111,Borer,Anita,SVP,NEIN
79,Brazerol,Rico,BDP,JA
34,Brunner,Robert,Grüne,JA
58,Büchi-Wild,Renate,SP,JA
97,Bürgin,Yvonne,CVP,JA
154,Burtscher,Rochus,SVP,NEIN
5,Bussmann,Barbara,SP,JA
12,Bütikofer,Kaspar,AL,JA
116,Camenisch,Linda,FDP,--
180,Dalcher,Pierre,SVP,NEIN
43,Daurù,Andreas,SP,JA
69,Dietschi,Urs,Grüne,--
99,Egli,Hans,EDU,--
4,Egli,Karin,SVP,--
42,Egli,Ursina,SP,JA
71,Erdin,Andreas,GLP,JA
181,Erni,Jonas,SP,JA
130,Farner,Martin,FDP,JA
62,Feldmann,Stefan,SP,JA
81,Fenner,Bruno,BDP,JA
66,Ferro,Ornella,Grüne,JA
82,Fischer,Gerhard,EVP,JA
152,Frei-Baumann,Ruth,SVP,NEIN
16,Frei,Daniel,SP,JA
178,Frei,Hans,SVP,NEIN
161,Frey,Beatrix,FDP,JA
147,Furrer,Astrid,FDP,JA
138,Fürst,Reinhard,SVP,NEIN
106,Gantner,Alex,FDP,--
144,Geistlich,Andreas,FDP,JA
30,Göldi,Hanspeter,SP,JA
14,Gschwind,Benedikt,SP,JA
88,Gugger,Nik,EVP,JA
78,Gut,Astrid,BDP,JA
54,Gutknecht,René,GLP,--
86,Gutmann,Eva,GLP,JA
21,Guyer,Esther,Grüne,--
109,Haab,Martin,SVP,NEIN
134,Habicher,Lorenz,SVP,--
169,Haderer,Willy,SVP,--
149,Haller,Margrit,SVP,NEIN
146,Hänni,Cäcilia,FDP,JA
48,Hans,Urs,Grüne,JA
100,Häring,Hans Peter,EDU,JA
25,Hasler,Andreas,GLP,JA
176,Haug,Hanspeter,SVP,NEIN
74,Hauri,Andreas,GLP,--
127,Hauser,Matthias,SVP,NEIN
23,Häusler,Edith,Grüne,--
51,Heierli,Daniel,Grüne,JA
151,Heusser,Hans-Heinrich,SVP,NEIN
72,Hodel,Daniel,GLP,--
15,Hoesch,Felix,SP,JA
175,Hofer,Jacqueline,SVP,--
131,Hofmann,Olivier,FDP,JA
67,Homberger,Max,Grüne,JA
155,Huber,Beat,SVP,NEIN
87,Huber,Stefanie,GLP,JA
49,Hübscher,Lilith Claudia,Grüne,JA
76,Hunger,Stefan,BDP,JA
121,Isler,René,SVP,NEIN
