platz,nachname,vorname,partei,stimme
30,Ackermann,Pia,SP,--
83,Ackermann,Ruth,CVP,--
42,Agosti Monn,Theres,SP,--
177,Albanese,Franco,SVP,JA
52,Alder,Ronald,GLP,--
114,Amacker,Bruno,SVP,JA
126,Amrein,Hans-Peter,SVP,JA
162,Balmer,Bettina,FDP,--
140,Bamert,Ueli,SVP,JA
171,Bär,Hansruedi,SVP,JA
57,Bartal,Isabel,SP,ENTHALTEN
17,Bärtschiger,Markus,SP,--
86,Bellaiche,Judith,GLP,--
165,Bender,André,SVP,JA
130,Biber,Michael,FDP,--
20,Bischoff,Markus,AL,--
22,Bloch,Beat,CSP,--
159,Boesch,Hans-Jakob,FDP,--
135,Bollinger,Erich,SVP,JA
173,Bonato,Diego,SVP,JA
111,Borer,Anita,SVP,JA
131,Bourgeois,Marc,FDP,--
133,Brändli,Roland,SVP,JA
80,Brazerol,Rico,BDP,--
146,Brunner,Hans-Peter,FDP,--
34,Brunner,Robert,Grüne,--
1,Bürgin,Yvonne,CVP,--
154,Burtscher,Rochus,SVP,JA
7,Bussmann,Barbara,SP,--
13,Bütikofer,Kaspar,AL,--
115,Camenisch,Linda,FDP,--
3a,Dalcher,Pierre,SVP,JA
041,Daurù,Andreas,SP,--
029,Dünki,Michèle,SP,--
095,Egli,Hans,EDU,--
180,Egli,Karin,SVP,JA
071,Erdin,Andreas,GLP,--
181,Erni,Jonas,SP,--
101,Farner,Martin,FDP,--
119,Fehr Düsel,Nina,SVP,JA
066,Fehr Thoma,Karin,Grüne,--
062,Feldmann,Stefan,SP,--
118,Finsler,Hans,SVP,JA
149,Fischer,Benjamin,SVP,JA
068,Forrer,Thomas,Grüne,--
103,Franzen,Barbara,FDP,--
108,Frei,Ruth,SVP,JA
160,Frey,Beatrix,FDP,--
143,Furrer,Astrid,FDP,--
112,Fürst,Reinhard,SVP,JA
050,Galeuchet,David,Grüne,--
161,Galliker,Nadja,FDP,--
106,Gantner,Alex,FDP,--
070,Gehrig,Sonja,GLP,--
105,Geistlich,Andreas,FDP,--
014,Göldi,Hanspeter,SP,--
137,Grüter,Barbara,SVP,JA
033,Gschwind,Benedikt,SP,--
024,Günthard Fitze,Barbara,EVP,--
088,Gut,Astrid,BDP,--
021,Guyer,Esther,Grüne,--
109,Haab,Martin,SVP,JA
102,Habegger,Beat,FDP,--
152,Habicher,Lorenz,SVP,JA
096,Häni,Peter,EDU,--
144,Hänni,Cäcilia,FDP,--
054,Häuptli,Daniel,GLP,--
127,Hauser,Matthias,SVP,JA
036,Häusler,Edith,Grüne,--
065,Heierli,Daniel,Grüne,--
072,Hodel,Daniel,GLP,--
015,Hoesch,Felix,SP,--
176,Hofer,Jacqueline,SVP,JA
156,Hoffmann,Benedikt,SVP,JA
129,Hofmann,Olivier,FDP,--
067,Homberger,Max Robert,Grüne,--
155,Huber,Beat,SVP,JA
151,Hübscher,Martin,SVP,JA
039,Hugentobler,Hanspeter,EVP,--
012,Huonker,Laura,AL,--
124,Hurter,Christian,SVP,JA
121,Isler,René,SVP,JA
99,Jäger,Alexander,FDP,--
46,Joss,Rosmarie,SP,--
32,Katumba,Andrew,SP,--
81,Keller,Cornelia,BDP,--
123,Keller,Rolando,SVP,JA
