platz,nachname,vorname,partei,stimme
o44,Aqosti Monn,Theres,SP,JA
103,Albanese,Franco,CVP,JA
07B,Albrecht,Verena,BDP,JA
L25,Amacker,Bruno,SVP,JA
126,Amrein,Hans-Peter,SVP,JA
110,Arnold,Martin,SVP,JA
L40,Bachmann,Ernst,SVP,JA
\77,Bär,Hansruedi,SVP,JA
010,Barrile,Anqelo,SP,JA
r24,Bartholdi,Roger,SVP,JA
075,Bellaiche,Judith,GLP,NEIN
013,Bischoff,Markus,AL,NEIN
o20,Bloch,Beat,CSP,NEIN
L23,Bollinqer,Erich,SVP,JA
111,Borer,Anita,SVP,JA
079,Brazerol,Rico,BDP,JA
034,Brunner,Robert,Grüne,NEIN
058,Büchi-Wild,Renate,SP,JA
097,Bürqin,Yvonne,CVP,JA
tB4,Burlet,Marcel,SP,NEIN
t54,Burtscher,Rochus,SVP,JA
005,Bussmann,Barbara,SP,JA
ot2,Bütikofer,Kaspar,AL,NEIN
116,Camenisch,Linda,FDP,JA
160,Clerici,Max F.,FDP,JA
179,Dalcher,Pierre,SVP,JA
043,Daurù,Andreas,SP,JA
099,Esli,Hans,EDU,JA
749,Eqli,Karin,SVP,JA
042,Eqli,Ursina,SP,JA
077,Erdin,Andreas,GLP,NEIN
130,Farner,Martin,FDP,JA
062,Feldmann,Stefan,SP,NEIN
081,Fenner,Bruno,BDP,JA
066,Ferro,Ornella,Grüne,NEIN
082,Fischer,Gerhard,EVP,JA
752,Frei-Baumann,Ruth,SVP,JA
L7B,Frei,Hans,SVP,JA
r62,Frev,Beatrix,FDP,JA
138,F[irst,Reinhard,SVP,JA
717,Gantner,Alex,FDP,JA
o24,Geilinqer,Martin,Grüne,NEIN
L47,Geistlich,Andreas,FDP,JA
027,Gerber Rüeqq,Julia,SP,
030,GöIdi,Hanspeter,SP,JA
047,Golta,Raphael,SP,JA
0t7,Gschwind,Benedikt,SP,JA
054,Gutknecht,René,GLP,NEIN
086,Gutmann,Eva,GLP,NEIN
027,Guyer,Esther,Grüne,NEIN
109,Haab,Martin,SVP,JA
734,Habicher,Lorenz,SVP,JA
169,Haderer,Willv,SVP,JA
048,Hans,Urs,Grüne,NEIN
100,Härino,Hans Peter,EDU,JA
025,Hasler,Andreas,GLP,NEIN
776,Haug,Hanspeter,SVP,JA
074,Hauri,Andreas,GLP,NEIN
r27,Hauser,Matthias,SVP,JA
069,Häusler,Edith,Grüne,NEIN
051,Heierli,Daniel,Grüne,NEIN
018,Heuberqer,Catherine,SP,JA
151,Heusser,Hans-Heinrich,SVP,JA
023,Hildebrand,Esther,Grüne,NEIN
