platz,nachname,vorname,partei,stimme
103.0,Albanese,Franco,CVP,NEIN
78.0,Albrecht,Verena,BDP,--
125.0,Amacker,Bruno,SVP,JA
126.0,Amrein,Hans-Peter,SVP,JA
110.0,Arnold,Martin,SVP,JA
140.0,Bachmann,Ernst,SVP,JA
171.0,Bär,Hansruedi,SVP,JA
10.0,Barrile,Angelo,SP,NEIN
124.0,Bartholdi,Roger,SVP,JA
75.0,Bellaiche,Judith,GLP,NEIN
13.0,Bischoff,Markus,AL,NEIN
20.0,Bloch,Beat,CSP,NEIN
123.0,Bollinger,Erich,SVP,JA
111.0,Borer,Anita,SVP,JA
79.0,Brazerol,Rico,BDP,JA
34.0,Brunner,Robert,Grüne,NEIN
48.0,Bucher-Steinegger,Heidi,Grüne,NEIN
58.0,Büchi-Wild,Renate,SP,NEIN
184.0,Burlet,Marcel,SP,NEIN
154.0,Burtscher,Rochus,SVP,JA
5.0,Bussmann,Barbara,SP,NEIN
12.0,Bütikofer,Kaspar,AL,NEIN
116.0,Camenisch,Linda,FDP,NEIN
161.0,Clerici,Max F.,FDP,--
179.0,Dalcher,Pierrre,SVP,JA
43.0,Daurù,Andreas,SP,NEIN
4.0,Egg,Bernhard,SP,NEIN
99.0,Egli,Hans,EDU,NEIN
149.0,Egli,Karin,SVP,JA
42.0,Egli,Ursina,SP,NEIN
71,Erdin,Andreas,GLP,NEIN
130,Farner,Martin,FDP,NEIN
145,Feit,Leila,FDP,NEIN
62,Feldmann,Stefan,SP,NEIN
81,Fenner,Bruno,BDP,JA
66,Ferro,Ornella,Grüne,NEIN
82,Fischer,Gerhard,EVP,NEIN
152,Frei-Baumann,Ruth,SVP,JA
178,Frei,Hans,SVP,JA
164,Frey,Beatrix,FDP,NEIN
138,Fürst,Reinhard,SVP,JA
117,Gantner,Alex,FDP,NEIN
24,Geilinger,Martin,Grüne,NEIN
147,Geistlich,Andreas,FDP,NEIN
27,Gerber Rüegg,Julia,SP,NEIN
30,Göldi,Hanspeter,SP,NEIN
47,Golta,Raphael,SP,NEIN
17,Gschwind,Benedikt,SP,NEIN
54,Gutknecht,René,GLP,--
86,Gutmann,Eva,GLP,NEIN
21,Guyer,Esther,Grüne,NEIN
109,Haab,Martin,SVP,JA
134,Habicher,Lorenz,SVP,JA
96,Hächler,Patrick,CVP,NEIN
169,Haderer,Willy,SVP,JA
50,Hans,Urs,Grüne,NEIN
100,Häring,Hans Peter,EDU,NEIN
25,Hasler,Andreas,GLP,NEIN
176,Haug,Hanspeter,SVP,JA
74,Hauri,Andreas,GLP,--
127,Hauser,Matthias,SVP,JA
69,Häusler,Edith,Grüne,NEIN
18,Heuberger,Catherine,SP,NEIN
151,Heusser,Hans-Heinrich,SVP,JA
23,Hildebrand,Esther,Grüne,--
72,Hodel,Daniel,GLP,NEIN
175,Hofer,Jacqueline,SVP,JA
104,Holenstein,Christoph,CVP,NEIN
67,Homberger,Max,Grüne,NEIN
155,Huber,Beat,SVP,JA
87,Huber,Stefanie,GLP,NEIN
49,Hübscher,Lilith Claudia,Grüne,NEIN
76,Hunger,Stefan,BDP,JA
121,Isler,René,SVP,--
167,Isliker,Walter,SVP,JA
2,Johner,Brigitta,FDP,NEIN
16,Joss,Rosmarie,SP,NEIN
51,Kaeser,Regula,Grüne,NEIN
77,Keller,Cornelia,BDP,JA
128,Kläy,Dieter,FDP,NEIN
88,Kleiber-Schenkel,Ruth,EVP,--
129,Kull-Benz,Katharina,FDP,NEIN
162,Kündig,Jörg,FDP,NEIN
101,Kutter,Philipp,CVP,NEIN
