platz,nachname,vorname,partei,stimme
30,Ackermann,Pia,SP,--
82,Ackermann,Ruth,CVP,JA
42,Agosti Monn,Theres,SP,JA
89,Albanese,Franco,CVP,JA
114,Amacker,Bruno,SVP,--
180,Amrein,Hans-Peter,SVP,JA
110,Arnold,Martin,SVP,--
140,Bachmann,Ernst,SVP,JA
163,Balmer,Bettina,FDP,--
171,Bär,Hansruedi,SVP,JA
57,Bartal,Isabel,SP,JA
86,Bellaiche,Judith,GLP,JA
165,Bender,André,SVP,JA
161,Berger,Antoine,FDP,JA
129,Biber,Michael,FDP,JA
20,Bischoff,Markus,AL,JA
49,Bloch,Beat,CSP,JA
147,Boesch,Hans-Jakob,FDP,JA
135,Bollinger,Erich,SVP,JA
173,Bonato,Diego,SVP,--
111,Borer,Anita,SVP,JA
130,Bourgeois,Marc,FDP,--
80,Brazerol,Rico,BDP,--
146,Brunner,Hans-Peter,FDP,JA
34,Brunner,Robert,Grüne,JA
58,Büchi,Renate,SP,--
83,Bürgin,Yvonne,CVP,JA
154,Burtscher,Rochus,SVP,JA
7,Bussmann,Barbara,SP,JA
13,Bütikofer,Kaspar,AL,JA
115,Camenisch,Linda,FDP,JA
179,Dalcher,Pierre,SVP,--
43,Daurù,Andreas,SP,--
29,Dünki,Michèle,SP,JA
95,Egli,Hans,EDU,JA
3,Egli,Karin,SVP,JA
71,Erdin,Andreas,GLP,JA
181,Erni,Jonas,SP,JA
101,Farner,Martin,FDP,JA
118,Fehr Düsel,Nina,SVP,JA
68,Fehr Thoma,Karin,Grüne,--
62,Feldmann,Stefan,SP,JA
149,Fischer,Benjamin,SVP,JA
39,Fischer,Gerhard,EVP,JA
103,Franzen,Barbara,FDP,JA
41,Frei,Daniel,SP,JA
151,Frei,Ruth,SVP,JA
160,Frey,Beatrix,FDP,--
142,Furrer,Astrid,FDP,--
112,Fürst,Reinhard,SVP,JA
162,Galliker,Nadja,FDP,JA
106,Gantner,Alex,FDP,JA
70,Gehrig,Sonja,GLP,JA
105,Geistlich,Andreas,FDP,--
14,Göldi,Hanspeter,SP,JA
33,Gschwind,Benedikt,SP,--
24,Gugger,Nik,EVP,JA
88,Gut,Astrid,BDP,--
21,Guyer,Esther,Grüne,JA
109,Haab,Martin,SVP,JA
102,Habegger,Beat,FDP,JA
93,Häni,Peter,EDU,JA
143,Hänni,Cäcilia,FDP,JA
96,Häring,Hans Peter,EDU,JA
53,Häuptli,Daniel,GLP,JA
74,Hauri,Andreas,GLP,JA
127,Hauser,Matthias,SVP,JA
36,Häusler,Edith,Grüne,JA
65,Heierli,Daniel,Grüne,JA
72,Hodel,Daniel,GLP,--
15,Hoesch,Felix,SP,JA
176,Hofer,Jacqueline,SVP,--
138,Hoffmann,Benedikt,SVP,JA
144,Hofmann,Olivier,FDP,JA
67,Homberger,Max Robert,Grüne,JA
155,Huber,Beat,SVP,JA
167,Hübscher,Martin,SVP,JA
38,Hugentobler,Hanspeter,EVP,JA
87,Hunger,Stefan,BDP,JA
12,Huonker,Laura,AL,JA
124,Hurter,Christian,SVP,JA
121,Isler,René,SVP,JA
99,Jäger,Alexander,FDP,JA
46,Joss,Rosmarie,SP,JA
48,Kaeser,Regula,Grüne,JA
32,Katumba,Andrew,SP,JA
81,Keller,Cornelia,BDP,--
123,Keller,Rolando,SVP,JA
3a,Kläy,Dieter,FDP,JA
97,Koller,Prisca,FDP,JA
128,Kull,Katharina,FDP,JA
159,Kündig,Jörg,FDP,--
91,Kutter,Philipp,CVP,JA
63,Lais,Ruedi,SP,JA
10,Langenegger,Tobias,SP,JA
139,Langhard,Walter,SVP,--
178,Langhart,Konrad,SVP,JA
76,Lenggenhager,Marcel,BDP,--
119,Leuenberger,Susanne,SVP,JA
152,Liebi,Roger,SVP,JA
27,Loss,Davide,SP,JA
136,Lucek,Christian,SVP,JA
75,Mäder,Jörg,GLP,JA
22,Margreiter,Ralf,Grüne,JA
64,Marthaler,Thomas,SP,JA
17,Marti,Sibylle,SP,JA
8,Matter,Sylvie,SP,JA
61,Meier,Esther,SP,JA
23,Meier,Walter,EVP,JA
153,Mettler,Christian,SVP,JA
122,Mischol,Tumasch,SVP,JA
168,Moor,Ursula,SVP,JA
98,Müller,André,FDP,JA
104,Müller,Christian,FDP,--
31,Munz,Roland,SP,JA
35,Neukom,Martin,Grüne,JA
182,Peter,Jacqueline,SP,JA
51,Petri,Gabi,Grüne,JA
125,Pfister,Ulrich,SVP,JA
