platz,nachname,vorname,partei,stimme
30,Ackermann,Pia,SP,NEIN
82,Ackermann,Ruth,CVP,NEIN
42,Agosti Monn,Theres,SP,NEIN
177,Albanese,Franco,SVP,NEIN
52,Alder,Ronald,GLP,JA
114,Amacker,Bruno,SVP,NEIN
126,Amrein,Hans-Peter,SVP,NEIN
140,Bachmann,Ernst,SVP,--
163,Balmer,Bettina,FDP,NEIN
171,Bär,Hansruedi,SVP,NEIN
57,Bartal,Isabel,SP,NEIN
17,Bärtschiger,Markus,SP,NEIN
86,Bellaiche,Judith,GLP,JA
165,Bender,André,SVP,NEIN
161,Berger,Antoine,FDP,NEIN
130,Biber,Michael,FDP,NEIN
20,Bischoff,Markus,AL,NEIN
22,Bloch,Beat,CSP,NEIN
159,Boesch,Hans-Jakob,FDP,NEIN
135,Bollinger,Erich,SVP,NEIN
173,Bonato,Diego,SVP,NEIN
111,Borer,Anita,SVP,NEIN
131,Bourgeois,Marc,FDP,NEIN
80,Brazerol,Rico,BDP,NEIN
146,Brunner,Hans-Peter,FDP,NEIN
34,Brunner,Robert,Grüne,NEIN
2,Bürgin,Yvonne,CVP,NEIN
154,Burtscher,Rochus,SVP,NEIN
7,Bussmann,Barbara,SP,NEIN
13,Bütikofer,Kaspar,AL,NEIN
115,Camenisch,Linda,FDP,NEIN
180,Dalcher,Pierre,SVP,NEIN
43,Daurù,Andreas,SP,NEIN
29,Dünki,Michèle,SP,NEIN
95,Egli,Hans,EDU,NEIN
1,Egli,Karin,SVP,--
71,Erdin,Andreas,GLP,JA
181,Erni,Jonas,SP,NEIN
101,Farner,Martin,FDP,--
118,Fehr Düsel,Nina,SVP,--
66,Fehr Thoma,Karin,Grüne,NEIN
62,Feldmann,Stefan,SP,NEIN
149,Fischer,Benjamin,SVP,--
68,Forrer,Thomas,Grüne,NEIN
103,Franzen,Barbara,FDP,--
41,Frei,Daniel,SP,NEIN
151,Frei,Ruth,SVP,NEIN
160,Frey,Beatrix,FDP,NEIN
143,Furrer,Astrid,FDP,NEIN
112,Fürst,Reinhard,SVP,NEIN
162,Galliker,Nadja,FDP,NEIN
106,Gantner,Alex,FDP,NEIN
70,Gehrig,Sonja,GLP,JA
105,Geistlich,Andreas,FDP,NEIN
14,Göldi,Hanspeter,SP,NEIN
138,Grüter,Barbara,SVP,NEIN
33,Gschwind,Benedikt,SP,NEIN
24,Günthard Fitze,Barbara,EVP,NEIN
88,Gut,Astrid,BDP,NEIN
21,Guyer,Esther,Grüne,NEIN
109,Haab,Martin,SVP,NEIN
102,Habegger,Beat,FDP,NEIN
93,Häni,Peter,EDU,NEIN
144,Hänni,Cäcilia,FDP,NEIN
53,Häuptli,Daniel,GLP,--
74,Hauri,Andreas,GLP,JA
127,Hauser,Matthias,SVP,NEIN
36,Häusler,Edith,Grüne,NEIN
65,Heierli,Daniel,Grüne,--
72,Hodel,Daniel,GLP,--
15,Hoesch,Felix,SP,NEIN
176,Hofer,Jacqueline,SVP,NEIN
156,Hoffmann,Benedikt,SVP,NEIN
129,Hofmann,Olivier,FDP,NEIN
67,Homberger,Max Robert,Grüne,NEIN
155,Huber,Beat,SVP,NEIN
167,Hübscher,Martin,SVP,NEIN
39,Hugentobler,Hanspeter,EVP,NEIN
12,Huonker,Laura,AL,NEIN
124,Hurter,Christian,SVP,NEIN
121,Isler,René,SVP,NEIN
99,Jäger,Alexander,FDP,NEIN
46,Joss,Rosmarie,SP,NEIN
48,Kaeser,Regula,Grüne,NEIN
32,Katumba,Andrew,SP,NEIN
81,Keller,Cornelia,BDP,NEIN
123,Keller,Rolando,SVP,NEIN
3,Kläy,Dieter,FDP,NEIN
87,Koller,Ivo,BDP,NEIN
97,Koller,Prisca,FDP,NEIN
128,Kull,Katharina,FDP,NEIN
142,Kündig,Jörg,FDP,NEIN
91,Kutter,Philipp,CVP,NEIN
63,Lais,Ruedi,SP,NEIN
10,Langenegger,Tobias,SP,NEIN
139,Langhard,Walter,SVP,--
178,Langhart,Konrad,SVP,NEIN
76,Lenggenhager,Marcel,BDP,--
119,Leuenberger,Susanne,SVP,NEIN
152,Liebi,Roger,SVP,NEIN
27,Loss,Davide,SP,NEIN
136,Lucek,Christian,SVP,--
75,Mäder,Jörg,GLP,JA
26,Mani,Tobias,EVP,NEIN
64,Marthaler,Thomas,SP,NEIN
3a,Marti,Sibylle,SP,NEIN
184,Marty Fässler,Carmen,SP,NEIN
94,Marty,Maria Rita,EDU,NEIN
8,Matter,Sylvie,SP,NEIN
59,Meier,Esther,SP,NEIN
23,Meier,Walter,EVP,NEIN
153,Mettler,Christian,SVP,NEIN
122,Mischol,Tumasch,SVP,NEIN
61,Molina,Fabian,SP,NEIN
37,Monhart,Beat,EVP,NEIN
168,Moor,Ursula,SVP,NEIN
98,Müller,André,FDP,NEIN
104,Müller,Christian,FDP,--
31,Munz,Roland,SP,NEIN
35,Neukom,Martin,Grüne,NEIN
182,Peter,Jacqueline,SP,NEIN
51,Petri,Gabi,Grüne,--
179,Pfister,Ulrich,SVP,NEIN
166,Pflugshaupt,Elisabeth,SVP,NEIN
84,Pinto,Jean-Philippe,CVP,NEIN
133,Preisig,Peter,SVP,NEIN
157,Raths,Hans Heinrich,SVP,--
50,Rigoni,Silvia,Grüne,NEIN
147,Romer,Martin,parteilos,NEIN
116,Rueff,Sonja,FDP,NEIN
19,Sahli,Manuel,AL,NEIN
40,Schaaf,Markus,EVP,NEIN
55,Schaffner,Barbara,GLP,JA
134,Scheck,Roland,SVP,NEIN
85,Scherrer,Benno,GLP,JA
120,Schmid,Claudio,SVP,--
78,Schmid,Lorenz,CVP,NEIN
4,Schmid,Roman,SVP,NEIN
110,Schmid,Stefan,SVP,NEIN
145,Schucan,Christian,FDP,--
100,Schwab,Daniel,FDP,NEIN
38,Sommer,Daniel,EVP,NEIN
47,Späth,Markus,SP,NEIN
183,Spillmann,Moritz,SP,NEIN
49,Steiner,Kathy,Grüne,NEIN
28,Steiner,Rafael,SP,NEIN
172,Steinmann,Armin,SVP,NEIN
11,Stofer,Judith Anna,AL,NEIN
58,Straub,Esther,SP,NEIN
170,Sulser,Jürg,SVP,NEIN
137,Suter,Marcel,SVP,NEIN
90,Thomet,Corinne,CVP,NEIN
16,Tognella,Birgit,SP,NEIN
108,Trachsel,Jürg,SVP,NEIN
9,Trost Vetter,Susanne,SP,NEIN
125,Truninger,René,SVP,NEIN
150,Uhlmann,Peter,SVP,--
158,Vogel,Thomas,FDP,NEIN
107,Vollenweider,Peter,FDP,NEIN
69,von Planta,Cyrill,GLP,JA
92,Vontobel,Erich,EDU,NEIN
175,Wäfler,Daniel,SVP,NEIN
148,Waser,Urs,SVP,NEIN
169,Weber-Gachnang,Theresia,SVP,NEIN
96,Welz,Michael,EDU,NEIN
117,Wettstein,Sabine,FDP,NEIN
18,Wicki,Monika,SP,NEIN
77,Widler,Josef,CVP,NEIN
45,Widmer,Céline,SP,NEIN
79,Wiederkehr,Josef,CVP,NEIN
73,Wirth,Thomas,GLP,JA
25,Wisskirchen,Mark,EVP,NEIN
44,Würth,Eva-Maria,SP,NEIN
141,Wyss,Orlando,SVP,NEIN
60,Wyssen,Claudia,SP,NEIN
174,Zahler,Erika,SVP,NEIN
56,Zeugin,Michael,GLP,JA
54,Ziegler,Christoph,GLP,JA
132,Zuber,Martin,SVP,--
113,Züllig,Hansueli,SVP,NEIN
