platz,nachname,vorname,partei,stimme
30,Ackermann,Pia,SP,JA
89,Albanese,Franco,CVP,--
82,Ackermann,Ruth,CVP,NEIN
42,Agosti Monn,Theres,SP,JA
114,Amacker,Bruno,SVP,NEIN
126,Amrein,Hans-Peter,SVP,NEIN
110,Arnold,Martin,SVP,NEIN
140,Bachmann,Ernst,SVP,NEIN
163,Balmer,Bettina,FDP,NEIN
171,Bär,Hansruedi,SVP,NEIN
57,Bartal,Isabel,SP,JA
86,Bellaiche,Judith,GLP,--
165,Bender,André,SVP,NEIN
161,Berger,Antoine,FDP,NEIN
130,Biber,Michael,FDP,NEIN
20,Bischoff,Markus,AL,--
49,Bloch,Beat,CSP,JA
147,Boesch,Hans-Jakob,FDP,NEIN
135,Bollinger,Erich,SVP,NEIN
173,Bonato,Diego,SVP,NEIN
111,Borer,Anita,SVP,NEIN
131,Bourgeois,Marc,FDP,NEIN
80,Brazerol,Rico,BDP,NEIN
146,Brunner,Hans-Peter,FDP,NEIN
34,Brunner,Robert,Grüne,JA
58,Büchi,Renate,SP,JA
83,Bürgin,Yvonne,CVP,NEIN
154,Burtscher,Rochus,SVP,NEIN
7,Bussmann,Barbara,SP,JA
13,Bütikofer,Kaspar,AL,JA
115,Camenisch,Linda,FDP,NEIN
180,Dalcher,Pierre,SVP,NEIN
43,Daurù,Andreas,SP,JA
29,Dünki,Michèle,SP,JA
95,Egli,Hans,EDU,NEIN
3,Egli,Karin,SVP,NEIN
71,Erdin,Andreas,GLP,JA
181,Erni,Jonas,SP,JA
101,Farner,Martin,FDP,NEIN
118,Fehr Düsel,Nina,SVP,NEIN
68,Fehr Thoma,Karin,Grüne,JA
62,Feldmann,Stefan,SP,JA
149,Fischer,Benjamin,SVP,NEIN
39,Fischer,Gerhard,EVP,JA
103,Franzen,Barbara,FDP,NEIN
41,Frei,Daniel,SP,JA
151,Frei,Ruth,SVP,NEIN
160,Frey,Beatrix,FDP,NEIN
142,Furrer,Astrid,FDP,NEIN
138,Fürst,Reinhard,SVP,NEIN
162,Galliker,Nadja,FDP,NEIN
106,Gantner,Alex,FDP,NEIN
70,Gehrig,Sonja,GLP,JA
105,Geistlich,Andreas,FDP,NEIN
14,Göldi,Hanspeter,SP,JA
33,Gschwind,Benedikt,SP,JA
24,Gugger,Nik,EVP,--
88,Gut,Astrid,BDP,NEIN
53,Gutmann,Eva,GLP,--
21,Guyer,Esther,Grüne,--
109,Haab,Martin,SVP,NEIN
102,Habegger,Beat,FDP,NEIN
143,Hänni,Cäcilia,FDP,NEIN
96,Häring,Hans Peter,EDU,NEIN
74,Hauri,Andreas,GLP,JA
127,Hauser,Matthias,SVP,NEIN
36,Häusler,Edith,Grüne,ENTHALTEN
65,Heierli,Daniel,Grüne,JA
72,Hodel,Daniel,GLP,--
15,Hoesch,Felix,SP,JA
176,Hofer,Jacqueline,SVP,NEIN
112,Hoffmann,Benedikt,SVP,--
144,Hofmann,Olivier,FDP,NEIN
67,Homberger,Max Robert,Grüne,JA
155,Huber,Beat,SVP,NEIN
167,Hübscher,Martin,SVP,NEIN
38,Hugentobler,Hanspeter,EVP,NEIN
87,Hunger,Stefan,BDP,NEIN
12,Huonker,Laura,AL,JA
121,Isler,René,SVP,NEIN
99,Jäger,Alexander,FDP,NEIN
046,Joss,Rosmarie,SP,JA
048,Kaeser,Regula,Grüne,JA
032,Katumba,Andrew,SP,JA
081,Keller,Cornelia,BDP,NEIN
124,Keller,Rolando,SVP,NEIN
3a,Kläy,Dieter,FDP,NEIN
097,Koller,Prisca,FDP,NEIN
128,Krebs,Beatrice,FDP,--
129,Kull,Katharina,FDP,NEIN
159,Kündig,Jörg,FDP,NEIN
091,Kutter,Philipp,CVP,NEIN
063,Lais,Ruedi,SP,JA
010,Langenegger,Tobias,SP,JA
139,Langhard,Walter,SVP,NEIN
178,Langhart,Konrad,SVP,NEIN
076,Lenggenhager,Marcel,BDP,NEIN
119,Leuenberger,Susanne,SVP,--
152,Liebi,Roger,SVP,NEIN
027,Loss,Davide,SP,JA
136,Lucek,Christian,SVP,NEIN
075,Mäder,Jörg,GLP,JA
022,Margreiter,Ralf,Grüne,JA
064,Marthaler,Thomas,SP,JA
017,Marti,Sibylle,SP,JA
008,Matter,Sylvie,SP,JA
061,Meier,Esther,SP,JA
093,Meier,Peter,EDU,NEIN
023,Meier,Walter,EVP,JA
153,Mettler,Christian,SVP,NEIN
123,Mischol,Tumasch,SVP,NEIN
168,Moor,Ursula,SVP,NEIN
098,Müller,André,FDP,NEIN
104,Müller,Christian,FDP,NEIN
031,Munz,Roland,SP,JA
035,Neukom,Martin,Grüne,JA
182,Peter,Jacqueline,SP,JA
051,Petri,Gabi,Grüne,ENTHALTEN
179,Pfister,Ulrich,SVP,NEIN
166,Pflugshaupt,Elisabeth,SVP,NEIN
084,Pinto,Jean-Philippe,CVP,NEIN
133,Preisig,Peter,SVP,NEIN
157,Raths,Hans Heinrich,SVP,NEIN
026,Reinhard,Peter,EVP,NEIN
156,Rinderknecht,Margreth,SVP,NEIN
066,Rohweder,Maria,Grüne,JA
116,Rueff,Sonja,FDP,NEIN
019,Sahli,Manuel,AL,JA
044,Sarbach,Martin,SP,JA
040,Schaaf,Markus,EVP,NEIN
055,Schaffner,Barbara,GLP,JA
134,Scheck,Roland,SVP,NEIN
085,Scherrer Moser,Benno,GLP,JA
120,Schmid,Claudio,SVP,--
078,Schmid,Lorenz,CVP,NEIN
004,Schmid,Roman,SVP,NEIN
137,Schmid,Stefan,SVP,NEIN
145,Schucan,Christian,FDP,NEIN
100,Schwab,Daniel,FDP,NEIN
059,Sieber Hirschi,Sabine,SP,JA
037,Sommer,Daniel,EVP,NEIN
047,Späth,Markus,SP,JA
183,Spillmann,Moritz,SP,JA
050,Steiner,Kathy,Grüne,JA
028,Steiner,Rafael,SP,JA
002,Steiner,Rolf,SP,JA
172,Steinmann,Armin,SVP,NEIN
011,Stofer,Judith Anna,AL,JA
184,Straub,Esther,SP,JA
170,Sulser,Jürg,SVP,NEIN
090,Thomet,Corinne,CVP,--
016,Tognella,Birgit,SP,JA
108,Trachsel,Jürg,SVP,NEIN
009,Trost Vetter,Susanne,SP,JA
125,Truninger,René,SVP,NEIN
150,Uhlmann,Peter,SVP,NEIN
158,Vogel,Thomas,FDP,NEIN
107,Vollenweider,Peter,FDP,NEIN
069,von Planta,Cyrill,GLP,JA
092,Vontobel,Erich,EDU,NEIN
175,Wäfler,Daniel,SVP,NEIN
148,Waser,Urs,SVP,NEIN
001,Weber-Gachnang,Theresia,SVP,--
094,Welz,Michael,EDU,NEIN
117,Wettstein,Sabine,FDP,NEIN
018,Wicki,Monika,SP,JA
077,Widler,Josef,CVP,NEIN
045,Widmer,Céline,SP,JA
