platz,nachname,vorname,partei,stimme
103.0,Albanese,Franco,CVP,--
78.0,Albrecht,Verena,BDP,JA
125.0,Amacker,Bruno,SVP,JA
126.0,Amrein,Hans-Peter,SVP,JA
110.0,Arnold,Martin,SVP,JA
140.0,Bachmann,Ernst,SVP,JA
171.0,Bär,Hansruedi,SVP,--
10.0,Barrile,Angelo,SP,NEIN
124.0,Bartholdi,Roger,SVP,JA
75.0,Bellaiche,Judith,GLP,JA
13.0,Bischoff,Markus,AL,NEIN
20.0,Bloch,Beat,CSP,JA
123.0,Bollinger,Erich,SVP,JA
111.0,Borer,Anita,SVP,JA
79.0,Brazerol,Rico,BDP,JA
34.0,Brunner,Robert,Grüne,NEIN
58.0,Büchi-Wild,Renate,SP,NEIN
97.0,Bürgin,Yvonne,CVP,NEIN
184.0,Burlet,Marcel,SP,NEIN
154.0,Burtscher,Rochus,SVP,JA
5.0,Bussmann,Barbara,SP,NEIN
12.0,Bütikofer,Kaspar,AL,NEIN
116.0,Camenisch,Linda,FDP,JA
161.0,Clerici,Max F.,FDP,JA
179.0,Dalcher,Pierre,SVP,JA
43.0,Daurù,Andreas,SP,NEIN
99.0,Egli,Hans,EDU,JA
149,Egli,Karin,SVP,JA
42,Egli,Ursina,SP,NEIN
071,Erdin,Andreas,GLP,JA
130,Farner,Martin,FDP,JA
145,Feit,Leila,FDP,JA
62,Feldmann,Stefan,SP,NEIN
81,Fenner,Bruno,BDP,JA
66,Ferro,Ornella,Grüne,--
82,Fischer,Gerhard,EVP,JA
152,Frei-Baumann,Ruth,SVP,JA
178,Frei,Hans,SVP,JA
164,Frey,Beatrix,FDP,JA
138,Fürst,Reinhard,SVP,JA
117,Gantner,Alex,FDP,--
24,Geilinger,Martin,Grüne,NEIN
147,Geistlich,Andreas,FDP,JA
27,Gerber Rüegg,Julia,SP,--
30,Göldi,Hanspeter,SP,NEIN
47,Golta,Raphael,SP,NEIN
17,Gschwind,Benedikt,SP,NEIN
54,Gutknecht,René,GLP,JA
86,Gutmann,Eva,GLP,JA
21,Guyer,Esther,Grüne,JA
109,Haab,Martin,SVP,JA
134,Habicher,Lorenz,SVP,JA
169,Haderer,Willy,SVP,JA
48,Hans,Urs,Grüne,JA
100,Häring,Hans Peter,EDU,JA
25,Hasler,Andreas,GLP,JA
176,Haug,Hanspeter,SVP,JA
74,Hauri,Andreas,GLP,JA
127,Hauser,Matthias,SVP,JA
69,Häusler,Edith,Grüne,JA
18,Heuberger,Catherine,SP,NEIN
151,Heusser,Hans-Heinrich,SVP,JA
23,Hildebrand,Esther,Grüne,NEIN
72,Hodel,Daniel,GLP,JA
175,Hofer,Jacqueline,SVP,JA
131,Hofmann,Olivier,FDP,JA
104,Holenstein,Christoph,CVP,NEIN
67,Homberger,Max,Grüne,JA
