platz,nachname,vorname,partei,stimme
114,Amacker,Bruno,SVP,NEIN
82,Ackermann,Ruth,CVP,JA
30,Ackermann,Pia,SP,JA
89,Albanese,Franco,CVP,--
42,Agosti Monn,Theres,SP,JA
126,Amrein,Hans-Peter,SVP,NEIN
110,Arnold,Martin,SVP,NEIN
140,Bachmann,Ernst,SVP,NEIN
163,Balmer,Bettina,FDP,JA
171,Bär,Hansruedi,SVP,NEIN
57,Bartal,Isabel,SP,JA
86,Bellaiche,Judith,GLP,JA
165,Bender,André,SVP,NEIN
161,Berger,Antoine,FDP,JA
130,Biber,Michael,FDP,JA
20,Bischoff,Markus,AL,JA
49,Bloch,Beat,CSP,JA
159,Boesch,Hans-Jakob,FDP,JA
135,Bollinger,Erich,SVP,NEIN
173,Bonato,Diego,SVP,NEIN
111,Borer,Anita,SVP,NEIN
131,Bourgeois,Marc,FDP,JA
80,Brazerol,Rico,BDP,JA
146,Brunner,Hans-Peter,FDP,JA
34,Brunner,Robert,Grüne,JA
58,Büchi,Renate,SP,JA
3,Bürgin,Yvonne,CVP,JA
154,Burtscher,Rochus,SVP,NEIN
7,Bussmann,Barbara,SP,JA
13,Bütikofer,Kaspar,AL,JA
115,Camenisch,Linda,FDP,JA
180,Dalcher,Pierre,SVP,--
43,Daurù,Andreas,SP,JA
29,Dünki,Michèle,SP,JA
95,Egli,Hans,EDU,NEIN
2,Egli,Karin,SVP,NEIN
71,Erdin,Andreas,GLP,JA
181,Erni,Jonas,SP,JA
101,Farner,Martin,FDP,JA
118,Fehr Düsel,Nina,SVP,NEIN
68,Fehr Thoma,Karin,Grüne,JA
62,Feldmann,Stefan,SP,JA
87,Fenner,Bruno,BDP,JA
149,Fischer,Benjamin,SVP,--
39,Fischer,Gerhard,EVP,JA
103,Franzen,Barbara,FDP,JA
41,Frei,Daniel,SP,JA
151,Frei,Ruth,SVP,NEIN
160,Frey,Beatrix,FDP,JA
143,Furrer,Astrid,FDP,JA
112,Fürst,Reinhard,SVP,NEIN
162,Galliker,Nadja,FDP,JA
106,Gantner,Alex,FDP,--
70,Gehrig,Sonja,GLP,JA
105,Geistlich,Andreas,FDP,--
14,Göldi,Hanspeter,SP,JA
33,Gschwind,Benedikt,SP,JA
24,Gugger,Nik,EVP,JA
88,Gut,Astrid,BDP,JA
21,Guyer,Esther,Grüne,JA
109,Haab,Martin,SVP,--
102,Habegger,Beat,FDP,JA
93,Häni,Peter,EDU,NEIN
144,Hänni,Cäcilia,FDP,JA
96,Häring,Hans Peter,EDU,NEIN
53,Häuptli,Daniel,GLP,--
74,Hauri,Andreas,GLP,JA
127,Hauser,Matthias,SVP,NEIN
36,Häusler,Edith,Grüne,JA
65,Heierli,Daniel,Grüne,JA
72,Hodel,Daniel,GLP,JA
15,Hoesch,Felix,SP,JA
176,Hofer,Jacqueline,SVP,NEIN
138,Hoffmann,Benedikt,SVP,NEIN
129,Hofmann,Olivier,FDP,--
67,Homberger,Max Robert,Grüne,JA
155,Huber,Beat,SVP,NEIN
167,Hübscher,Martin,SVP,--
38,Hugentobler,Hanspeter,EVP,JA
12,Huonker,Laura,AL,JA
124,Hurter,Christian,SVP,NEIN
121,Isler,René,SVP,NEIN
99,Jäger,Alexander,FDP,JA
46,Joss,Rosmarie,SP,JA
48,Kaeser,Regula,Grüne,JA
32,Katumba,Andrew,SP,JA
81,Keller,Cornelia,BDP,JA
123,Keller,Rolando,SVP,NEIN
3a,Kläy,Dieter,FDP,--
97,Koller,Prisca,FDP,--
128,Kull,Katharina,FDP,JA
142,Kündig,Jörg,FDP,JA
91,Kutter,Philipp,CVP,JA
63,Lais,Ruedi,SP,JA
10,Langenegger,Tobias,SP,JA
139,Langhard,Walter,SVP,NEIN
178,Langhart,Konrad,SVP,NEIN
76,Lenggenhager,Marcel,BDP,JA
119,Leuenberger,Susanne,SVP,NEIN
152,Liebi,Roger,SVP,NEIN
66,Lischer,Maria,Grüne,JA
27,Loss,Davide,SP,JA
136,Lucek,Christian,SVP,NEIN
75,Mäder,Jörg,GLP,JA
22,Margreiter,Ralf,Grüne,--
64,Marthaler,Thomas,SP,JA
17,Marti,Sibylle,SP,JA
8,Matter,Sylvie,SP,JA
61,Meier,Esther,SP,JA
23,Meier,Walter,EVP,JA
153,Mettler,Christian,SVP,NEIN
122,Mischol,Tumasch,SVP,--
168,Moor,Ursula,SVP,NEIN
98,Müller,André,FDP,JA
104,Müller,Christian,FDP,JA
31,Munz,Roland,SP,JA
35,Neukom,Martin,Grüne,JA
182,Peter,Jacqueline,SP,JA
51,Petri,Gabi,Grüne,JA
179,Pfister,Ulrich,SVP,NEIN
166,Pflugshaupt,Elisabeth,SVP,NEIN
84,Pinto,Jean-Philippe,CVP,JA
133,Preisig,Peter,SVP,NEIN
157,Raths,Hans Heinrich,SVP,NEIN
26,Reinhard,Peter,EVP,--
156,Rinderknecht,Margreth,SVP,NEIN
147,Romer,Martin,FDP,JA
116,Rueff,Sonja,FDP,JA
19,Sahli,Manuel,AL,JA
44,Sarbach,Martin,SP,JA
40,Schaaf,Markus,EVP,JA
55,Schaffner,Barbara,GLP,JA
134,Scheck,Roland,SVP,NEIN
85,Scherrer Moser,Benno,GLP,JA
120,Schmid,Claudio,SVP,NEIN
78,Schmid,Lorenz,CVP,JA
4,Schmid,Roman,SVP,--
137,Schmid,Stefan,SVP,NEIN
145,Schucan,Christian,FDP,JA
100,Schwab,Daniel,FDP,JA
59,Sieber Hirschi,Sabine,SP,JA
37,Sommer,Daniel,EVP,JA
47,Späth,Markus,SP,JA
183,Spillmann,Moritz,SP,JA
50,Steiner,Kathy,Grüne,JA
28,Steiner,Rafael,SP,JA
1,Steiner,Rolf,SP,--
172,Steinmann,Armin,SVP,NEIN
11,Stofer,Judith Anna,AL,JA
184,Straub,Esther,SP,JA
170,Sulser,Jürg,SVP,--
90,Thomet,Corinne,CVP,JA
16,Tognella,Birgit,SP,JA
108,Trachsel,Jürg,SVP,NEIN
9,Trost Vetter,Susanne,SP,JA
125,Truninger,René,SVP,NEIN
150,Uhlmann,Peter,SVP,NEIN
158,Vogel,Thomas,FDP,JA
107,Vollenweider,Peter,FDP,JA
69,von Planta,Cyrill,GLP,JA
92,Vontobel,Erich,EDU,NEIN
175,Wäfler,Daniel,SVP,NEIN
148,Waser,Urs,SVP,NEIN
169,Weber-Gachnang,Theresia,SVP,NEIN
94,Welz,Michael,EDU,NEIN
117,Wettstein,Sabine,FDP,JA
18,Wicki,Monika,SP,JA
77,Widler,Josef,CVP,JA
45,Widmer,Céline,SP,JA
79,Wiederkehr,Josef,CVP,JA
52,Wiesner,Hans W.,GLP,--
73,Wirth,Thomas,GLP,JA
141,Wyss,Orlando,SVP,NEIN
60,Wyssen,Claudia,SP,JA
174,Zahler,Erika,SVP,NEIN
56,Zeugin,Michael,GLP,JA
54,Ziegler,Christoph,GLP,JA
25,Zollinger,Johannes,EVP,JA
132,Zuber,Martin,SVP,NEIN
113,Züllig,Hansueli,SVP,NEIN
