platz,nachname,vorname,partei,stimme
030,Ackermann,Pia,SP,JA
082,Ackermann,Ruth,CVP,JA
042,Agosti Monn,Theres,SP,JA
177,Albanese,Franco,SVP,NEIN
114,Amacker,Bruno,SVP,NEIN
126,Amrein,Hans-Peter,SVP,NEIN
140,Bachmann,Ernst,SVP,--
163,Balmer,Bettina,FDP,--
171,Bär,Hansruedi,SVP,NEIN
057,Bartal,Isabel,SP,JA
017,Bärtschiger,Markus,SP,JA
086,Bellaiche,Judith,GLP,JA
165,Bender,André,SVP,NEIN
161,Berger,Antoine,FDP,ENTHALTEN
130,Biber,Michael,FDP,ENTHALTEN
020,Bischoff,Markus,AL,JA
022,Bloch,Beat,CSP,JA
159,Boesch,Hans-Jakob,FDP,ENTHALTEN
135,Bollinger,Erich,SVP,NEIN
173,Bonato,Diego,SVP,--
111,Borer,Anita,SVP,NEIN
131,Bourgeois,Marc,FDP,ENTHALTEN
080,Brazerol,Rico,BDP,JA
146,Brunner,Hans-Peter,FDP,ENTHALTEN
034,Brunner,Robert,Grüne,JA
058,Büchi,Renate,SP,JA
002,Bürgin,Yvonne,CVP,JA
154,Burtscher,Rochus,SVP,NEIN
007,Bussmann,Barbara,SP,JA
013,Bütikofer,Kaspar,AL,JA
115,Camenisch,Linda,FDP,ENTHALTEN
180,Dalcher,Pierre,SVP,NEIN
43,Daurù,Andreas,SP,JA
29,Dünki,Michèle,SP,JA
95,Egli,Hans,EDU,NEIN
1,Egli,Karin,SVP,--
71,Erdin,Andreas,GLP,JA
181,Erni,Jonas,SP,JA
101,Farner,Martin,FDP,ENTHALTEN
118,Fehr Düsel,Nina,SVP,NEIN
66,Fehr Thoma,Karin,Grüne,JA
62,Feldmann,Stefan,SP,JA
87,Fenner,Bruno,BDP,JA
149,Fischer,Benjamin,SVP,NEIN
68,Forrer,Thomas,Grüne,JA
103,Franzen,Barbara,FDP,ENTHALTEN
41,Frei,Daniel,SP,JA
151,Frei,Ruth,SVP,NEIN
160,Frey,Beatrix,FDP,ENTHALTEN
143,Furrer,Astrid,FDP,--
112,Fürst,Reinhard,SVP,NEIN
162,Galliker,Nadja,FDP,ENTHALTEN
106,Gantner,Alex,FDP,ENTHALTEN
70,Gehrig,Sonja,GLP,JA
105,Geistlich,Andreas,FDP,ENTHALTEN
14,Göldi,Hanspeter,SP,JA
138,Grüter,Barbara,SVP,NEIN
33,Gschwind,Benedikt,SP,JA
24,Gugger,Nik,EVP,JA
88,Gut,Astrid,BDP,JA
21,Guyer,Esther,Grüne,JA
109,Haab,Martin,SVP,NEIN
102,Habegger,Beat,FDP,JA
93,Häni,Peter,EDU,NEIN
144,Hänni,Cäcilia,FDP,ENTHALTEN
53,Häuptli,Daniel,GLP,JA
74,Hauri,Andreas,GLP,JA
127,Hauser,Matthias,SVP,NEIN
36,Häusler,Edith,Grüne,--
65,Heierli,Daniel,Grüne,JA
72,Hodel,Daniel,GLP,ENTHALTEN
15,Hoesch,Felix,SP,JA
176,Hofer,Jacqueline,SVP,NEIN
156,Hoffmann,Benedikt,SVP,NEIN
129,Hofmann,Olivier,FDP,ENTHALTEN
67,Homberger,Max Robert,Grüne,JA
155,Huber,Beat,SVP,NEIN
167,Hübscher,Martin,SVP,NEIN
39,Hugentobler,Hanspeter,EVP,JA
12,Huonker,Laura,AL,JA
124,Hurter,Christian,SVP,NEIN
121,Isler,René,SVP,NEIN
099,Jäger,Alexander,FDP,ENTHALTEN
046,Joss,Rosmarie,SP,JA
048,Kaeser,Regula,Grüne,JA
032,Katumba,Andrew,SP,JA
081,Keller,Cornelia,BDP,JA
123,Keller,Rolando,SVP,NEIN
003,Kläy,Dieter,FDP,ENTHALTEN
097,Koller,Prisca,FDP,ENTHALTEN
128,Kull,Katharina,FDP,ENTHALTEN
142,Kündig,Jörg,FDP,ENTHALTEN
091,Kutter,Philipp,CVP,JA
063,Lais,Ruedi,SP,JA
010,Langenegger,Tobias,SP,JA
139,Langhard,Walter,SVP,NEIN
178,Langhart,Konrad,SVP,NEIN
076,Lenggenhager,Marcel,BDP,JA
119,Leuenberger,Susanne,SVP,NEIN
152,Liebi,Roger,SVP,NEIN
027,Loss,Davide,SP,JA
136,Lucek,Christian,SVP,NEIN
075,Mäder,Jörg,GLP,JA
026,Mani,Tobias,EVP,JA
064,Marthaler,Thomas,SP,JA
3a,Marti,Sibylle,SP,JA
094,Marty,Maria Rita,EDU,NEIN
008,Matter,Sylvie,SP,JA
061,Meier,Esther,SP,JA
023,Meier,Walter,EVP,JA
153,Mettler,Christian,SVP,NEIN
122,Mischol,Tumasch,SVP,NEIN
037,Monhart,Beat,EVP,JA
168,Moor,Ursula,SVP,NEIN
098,Müller,André,FDP,ENTHALTEN
