platz,nachname,vorname,partei,stimme
82,Ackermann,Ruth,CVP,JA
30,Ackermann,Pia,SP,JA
42,Agosti Monn,Theres,SP,JA
177,Albanese,Franco,SVP,NEIN
114,Amacker,Bruno,SVP,NEIN
126,Amrein,Hans-Peter,SVP,NEIN
110,Arnold,Martin,SVP,NEIN
140,Bachmann,Ernst,SVP,NEIN
163,Balmer,Bettina,FDP,JA
171,Bär,Hansruedi,SVP,NEIN
57,Bartal,Isabel,SP,--
86,Bellaiche,Judith,GLP,JA
165,Bender,André,SVP,--
161,Berger,Antoine,FDP,JA
130,Biber,Michael,FDP,JA
20,Bischoff,Markus,AL,JA
22,Bloch,Beat,CSP,NEIN
159,Boesch,Hans-Jakob,FDP,JA
135,Bollinger,Erich,SVP,NEIN
173,Bonato,Diego,SVP,--
111,Borer,Anita,SVP,NEIN
131,Bourgeois,Marc,FDP,JA
80,Brazerol,Rico,BDP,JA
146,Brunner,Hans-Peter,FDP,JA
34,Brunner,Robert,Grüne,NEIN
58,Büchi,Renate,SP,JA
3,Bürgin,Yvonne,CVP,JA
154,Burtscher,Rochus,SVP,--
7,Bussmann,Barbara,SP,JA
13,Bütikofer,Kaspar,AL,JA
115,Camenisch,Linda,FDP,JA
180,Dalcher,Pierre,SVP,--
43,Daurù,Andreas,SP,JA
29,Dünki,Michèle,SP,JA
95,Egli,Hans,EDU,NEIN
2,Egli,Karin,SVP,NEIN
71,Erdin,Andreas,GLP,JA
181,Erni,Jonas,SP,JA
101,Farner,Martin,FDP,JA
118,Fehr Düsel,Nina,SVP,NEIN
66,Fehr Thoma,Karin,Grüne,NEIN
62,Feldmann,Stefan,SP,JA
87,Fenner,Bruno,BDP,JA
149,Fischer,Benjamin,SVP,NEIN
68,Forrer,Thomas,Grüne,NEIN
103,Franzen,Barbara,FDP,JA
41,Frei,Daniel,SP,JA
151,Frei,Ruth,SVP,NEIN
160,Frey,Beatrix,FDP,JA
143,Furrer,Astrid,FDP,JA
112,Fürst,Reinhard,SVP,NEIN
162,Galliker,Nadja,FDP,JA
106,Gantner,Alex,FDP,JA
70,Gehrig,Sonja,GLP,ENTHALTEN
105,Geistlich,Andreas,FDP,JA
14,Göldi,Hanspeter,SP,JA
33,Gschwind,Benedikt,SP,JA
24,Gugger,Nik,EVP,JA
88,Gut,Astrid,BDP,JA
21,Guyer,Esther,Grüne,NEIN
109,Haab,Martin,SVP,--
102,Habegger,Beat,FDP,JA
93,Häni,Peter,EDU,NEIN
144,Hänni,Cäcilia,FDP,JA
96,Häring,Hans Peter,EDU,NEIN
53,Häuptli,Daniel,GLP,JA
74,Hauri,Andreas,GLP,JA
127,Hauser,Matthias,SVP,NEIN
36,Häusler,Edith,Grüne,NEIN
65,Heierli,Daniel,Grüne,NEIN
72,Hodel,Daniel,GLP,--
15,Hoesch,Felix,SP,JA
176,Hofer,Jacqueline,SVP,NEIN
138,Hoffmann,Benedikt,SVP,NEIN
129,Hofmann,Olivier,FDP,JA
67,Homberger,Max Robert,Grüne,NEIN
155,Huber,Beat,SVP,NEIN
167,Hübscher,Martin,SVP,NEIN
39,Hugentobler,Hanspeter,EVP,JA
12,Huonker,Laura,AL,JA
124,Hurter,Christian,SVP,NEIN
121,Isler,René,SVP,NEIN
099,Jäger,Alexander,FDP,JA
046,Joss,Rosmarie,SP,JA
048,Kaeser,Regula,Grüne,NEIN
032,Katumba,Andrew,SP,JA
081,Keller,Cornelia,BDP,JA
123,Keller,Rolando,SVP,NEIN
3a,Kläy,Dieter,FDP,JA
097,Koller,Prisca,FDP,JA
128,Kull,Katharina,FDP,JA
142,Kündig,Jörg,FDP,JA
091,Kutter,Philipp,CVP,JA
063,Lais,Ruedi,SP,JA
010,Langenegger,Tobias,SP,JA
139,Langhard,Walter,SVP,NEIN
178,Langhart,Konrad,SVP,NEIN
076,Lenggenhager,Marcel,BDP,JA
119,Leuenberger,Susanne,SVP,--
152,Liebi,Roger,SVP,NEIN
027,Loss,Davide,SP,JA
136,Lucek,Christian,SVP,NEIN
075,Mäder,Jörg,GLP,JA
025,Mani,Tobias,EVP,JA
064,Marthaler,Thomas,SP,JA
017,Marti,Sibylle,SP,JA
008,Matter,Sylvie,SP,JA
061,Meier,Esther,SP,JA
023,Meier,Walter,EVP,JA
153,Mettler,Christian,SVP,NEIN
122,Mischol,Tumasch,SVP,NEIN
037,Monhart,Beat,EVP,JA
168,Moor,Ursula,SVP,NEIN
098,Müller,André,FDP,JA
104,Müller,Christian,FDP,JA
031,Munz,Roland,SP,JA
035,Neukom,Martin,Grüne,NEIN
182,Peter,Jacqueline,SP,JA
051,Petri,Gabi,Grüne,NEIN
179,Pfister,Ulrich,SVP,NEIN
166,Pflugshaupt,Elisabeth,SVP,NEIN
084,Pinto,Jean-Philippe,CVP,JA
133,Preisig,Peter,SVP,NEIN
157,Raths,Hans Heinrich,SVP,NEIN
026,Reinhard,Peter,EVP,JA
050,Rigoni,Silvia,Grüne,NEIN
156,Rinderknecht,Margreth,SVP,NEIN
147,Romer,Martin,FDP,JA
116,Rueff,Sonja,FDP,JA
019,Sahli,Manuel,AL,JA
040,Schaaf,Markus,EVP,JA
055,Schaffner,Barbara,GLP,ENTHALTEN
134,Scheck,Roland,SVP,NEIN
085,Scherrer Moser,Benno,GLP,JA
120,Schmid,Claudio,SVP,NEIN
078,Schmid,Lorenz,CVP,JA
004,Schmid,Roman,SVP,NEIN
137,Schmid,Stefan,SVP,NEIN
145,Schucan,Christian,FDP,JA
100,Schwab,Daniel,FDP,JA
059,Sieber Hirschi,Sabine,SP,JA
038,Sommer,Daniel,EVP,JA
047,Späth,Markus,SP,JA
183,Spillmann,Moritz,SP,JA
049,Steiner,Kathy,Grüne,NEIN
028,Steiner,Rafael,SP,JA
001,Steiner,Rolf,SP,--
172,Steinmann,Armin,SVP,NEIN
011,Stofer,Judith Anna,AL,JA
184,Straub,Esther,SP,JA
170,Sulser,Jürg,SVP,NEIN
090,Thomet,Corinne,CVP,JA
016,Tognella,Birgit,SP,JA
108,Trachsel,Jürg,SVP,NEIN
009,Trost Vetter,Susanne,SP,JA
125,Truninger,René,SVP,NEIN
150,Uhlmann,Peter,SVP,NEIN
158,Vogel,Thomas,FDP,JA
107,Vollenweider,Peter,FDP,JA
069,von Planta,Cyrill,GLP,JA
092,Vontobel,Erich,EDU,NEIN
175,Wäfler,Daniel,SVP,NEIN
148,Waser,Urs,SVP,--
169,Weber-Gachnang,Theresia,SVP,NEIN
094,Welz,Michael,EDU,NEIN
117,Wettstein,Sabine,FDP,JA
018,Wicki,Monika,SP,JA
077,Widler,Josef,CVP,JA
045,Widmer,Céline,SP,JA
079,Wiederkehr,Josef,CVP,JA
052,Wiesner,Hans W.,GLP,JA
073,Wirth,Thomas,GLP,ENTHALTEN
044,Würth,Eva-Maria,SP,JA
141,Wyss,Orlando,SVP,NEIN
060,Wyssen,Claudia,SP,JA
174,Zahler,Erika,SVP,NEIN
056,Zeugin,Michael,GLP,--
054,Ziegler,Christoph,GLP,JA
132,Zuber,Martin,SVP,NEIN
113,Züllig,Hansueli,SVP,--
