platz,nachname,vorname,partei,stimme
82.0,Ackermann,Ruth,CVP,JA
30.0,Ackermann,Pia,SP,JA
42.0,Agosti Monn,Theres,SP,JA
177.0,Albanese,Franco,SVP,NEIN
114.0,Amacker,Bruno,SVP,NEIN
126.0,Amrein,Hans-Peter,SVP,NEIN
110.0,Arnold,Martin,SVP,NEIN
140.0,Bachmann,Ernst,SVP,NEIN
163.0,Balmer,Bettina,FDP,JA
171.0,Bär,Hansruedi,SVP,NEIN
57.0,Bartal,Isabel,SP,--
86.0,Bellaiche,Judith,GLP,JA
165.0,Bender,André,SVP,NEIN
161.0,Berger,Antoine,FDP,JA
130.0,Biber,Michael,FDP,--
20.0,Bischoff,Markus,AL,JA
22.0,Bloch,Beat,CSP,JA
159.0,Boesch,Hans-Jakob,FDP,JA
135.0,Bollinger,Erich,SVP,NEIN
173.0,Bonato,Diego,SVP,NEIN
111.0,Borer,Anita,SVP,NEIN
131.0,Bourgeois,Marc,FDP,--
80.0,Brazerol,Rico,BDP,JA
146.0,Brunner,Hans-Peter,FDP,JA
34.0,Brunner,Robert,Grüne,JA
58.0,Büchi,Renate,SP,--
3.0,Bürgin,Yvonne,CVP,JA
154.0,Burtscher,Rochus,SVP,NEIN
7.0,Bussmann,Barbara,SP,JA
13.0,Bütikofer,Kaspar,AL,JA
115,Camenisch,Linda,FDP,--
180,Dalcher,Pierre,SVP,NEIN
43,Daurù,Andreas,SP,JA
29,Dünki,Michèle,SP,JA
95,Egli,Hans,EDU,NEIN
2,Egli,Karin,SVP,NEIN
71,Erdin,Andreas,GLP,JA
181,Erni,Jonas,SP,JA
101,Farner,Martin,FDP,--
118,Fehr Düsel,Nina,SVP,NEIN
66,Fehr Thoma,Karin,Grüne,JA
62,Feldmann,Stefan,SP,JA
87,Fenner,Bruno,BDP,JA
149,Fischer,Benjamin,SVP,NEIN
39,Fischer,Gerhard,EVP,JA
68,Forrer,Thomas,Grüne,JA
103,Franzen,Barbara,FDP,JA
41,Frei,Daniel,SP,JA
151,Frei,Ruth,SVP,NEIN
160,Frey,Beatrix,FDP,JA
143,Furrer,Astrid,FDP,JA
112,Fürst,Reinhard,SVP,NEIN
162,Galliker,Nadja,FDP,JA
106,Gantner,Alex,FDP,JA
70,Gehrig,Sonja,GLP,JA
105,Geistlich,Andreas,FDP,JA
14,Göldi,Hanspeter,SP,JA
33,Gschwind,Benedikt,SP,JA
24,Gugger,Nik,EVP,JA
88,Gut,Astrid,BDP,JA
21,Guyer,Esther,Grüne,JA
109,Haab,Martin,SVP,NEIN
102,Habegger,Beat,FDP,--
93,Häni,Peter,EDU,NEIN
144,Hänni,Cäcilia,FDP,JA
96,Häring,Hans Peter,EDU,NEIN
53,Häuptli,Daniel,GLP,JA
74,Hauri,Andreas,GLP,JA
127,Hauser,Matthias,SVP,NEIN
36,Häusler,Edith,Grüne,JA
65,Heierli,Daniel,Grüne,JA
72,Hodel,Daniel,GLP,JA
15,Hoesch,Felix,SP,JA
