platz,nachname,vorname,partei,stimme
030,Ackermann,Pia,SP,JA
083,Ackermann,Ruth,CVP,--
042,Agosti Monn,Theres,SP,JA
177,Albanese,Franco,SVP,JA
052,Alder,Ronald,GLP,--
114,Amacker,Bruno,SVP,JA
126,Amrein,Hans-Peter,SVP,JA
162,Balmer,Bettina,FDP,--
140,Bamert,Ueli,SVP,JA
171,Bär,Hansruedi,SVP,JA
057,Bartal,Isabel,SP,JA
017,Bärtschiger,Markus,SP,JA
086,Bellaiche,Judith,GLP,--
165,Bender,André,SVP,JA
130,Biber,Michael,FDP,--
020,Bischoff,Markus,AL,--
022,Bloch,Beat,CSP,JA
159,Boesch,Hans-Jakob,FDP,--
135,Bollinger,Erich,SVP,JA
173,Bonato,Diego,SVP,JA
111,Borer,Anita,SVP,JA
131,Bourgeois,Marc,FDP,--
133,Brändli,Roland,SVP,JA
080,Brazerol,Rico,BDP,--
146,Brunner,Hans-Peter,FDP,--
034,Brunner,Robert,Grüne,JA
001,Bürgin,Yvonne,CVP,--
154,Burtscher,Rochus,SVP,--
007,Bussmann,Barbara,SP,JA
013,Bütikofer,Kaspar,AL,--
115,Camenisch,Linda,FDP,--
3a,Dalcher,Pierre,SVP,--
041,Daurù,Andreas,SP,JA
029,Dünki,Michèle,SP,JA
095,Egli,Hans,EDU,JA
180,Egli,Karin,SVP,JA
071,Erdin,Andreas,GLP,--
181,Erni,Jonas,SP,JA
101,Farner,Martin,FDP,JA
119,Fehr Düsel,Nina,SVP,JA
066,Fehr Thoma,Karin,Grüne,JA
062,Feldmann,Stefan,SP,JA
118,Finsler,Hans,SVP,JA
149,Fischer,Benjamin,SVP,JA
068,Forrer,Thomas,Grüne,JA
103,Franzen,Barbara,FDP,--
108,Frei,Ruth,SVP,JA
160,Frey,Beatrix,FDP,--
143,Furrer,Astrid,FDP,--
112,Fürst,Reinhard,SVP,JA
050,Galeuchet,David,Grüne,JA
161,Galliker,Nadja,FDP,--
106,Gantner,Alex,FDP,--
070,Gehrig,Sonja,GLP,--
105,Geistlich,Andreas,FDP,--
014,Göldi,Hanspeter,SP,JA
137,Grüter,Barbara,SVP,JA
033,Gschwind,Benedikt,SP,JA
024,Günthard Fitze,Barbara,EVP,--
088,Gut,Astrid,BDP,--
021,Guyer,Esther,Grüne,JA
109,Haab,Martin,SVP,JA
102,Habegger,Beat,FDP,--
152,Habicher,Lorenz,SVP,JA
096,Häni,Peter,EDU,JA
144,Hänni,Cäcilia,FDP,--
054,Häuptli,Daniel,GLP,--
127,Hauser,Matthias,SVP,JA
036,Häusler,Edith,Grüne,JA
065,Heierli,Daniel,Grüne,JA
072,Hodel,Daniel,GLP,--
015,Hoesch,Felix,SP,JA
176,Hofer,Jacqueline,SVP,JA
156,Hoffmann,Benedikt,SVP,--
129,Hofmann,Olivier,FDP,--
067,Homberger,Max Robert,Grüne,JA
155,Huber,Beat,SVP,JA
151,Hübscher,Martin,SVP,JA
039,Hugentobler,Hanspeter,EVP,--
012,Huonker,Laura,AL,--
124,Hurter,Christian,SVP,JA
121,Isler,René,SVP,JA
99,Jäger,Alexander,FDP,--
46,Joss,Rosmarie,SP,JA
32,Katumba,Andrew,SP,JA
81,Keller,Cornelia,BDP,--
123,Keller,Rolando,SVP,JA
2,Kläy,Dieter,FDP,--
87,Knöpfli,Hans-Rudolf,BDP,--
97,Koller,Prisca,FDP,--
128,Kull,Katharina,FDP,--
142,Kündig,Jörg,FDP,--
63,Lais,Ruedi,SP,JA
93,Lamprecht,Thomas,EDU,JA
10,Langenegger,Tobias,SP,JA
139,Langhard,Walter,SVP,JA
178,Langhart,Konrad,SVP,--
166,Ledergerber,Domenik,SVP,JA
76,Lenggenhager,Marcel,BDP,--
27,Loss,Davide,SP,JA
136,Lucek,Christian,SVP,--
75,Mäder,Jörg,GLP,--
26,Mani,Tobias,EVP,--
183,Marthaler,Thomas,SP,--
4,Marti,Sibylle,SP,JA
184,Marty Fässler,Carmen,SP,JA
94,Marty,Maria Rita,EDU,JA
8,Matter,Sylvie,SP,JA
59,Meier,Esther,SP,JA
23,Meier,Walter,EVP,--
153,Mettler,Christian,SVP,JA
168,Mischol,Tumasch,SVP,JA
37,Monhart,Beat,EVP,--
169,Moor,Ursula,SVP,JA
98,Müller,André,FDP,--
104,Müller,Christian,FDP,--
163,Müller,Fabian,FDP,--
31,Munz,Roland,SP,--
35,Neukom,Martin,Grüne,JA
182,Peter,Jacqueline,SP,JA
51,Petri,Gabi,Grüne,JA
64,Pfalzgraf,Hannah,SP,JA
179,Pfister,Ulrich,SVP,JA
167,Pflugshaupt,Elisabeth,SVP,JA
84,Pinto,Jean-Philippe,CVP,--
157,Raths,Hans Heinrich,SVP,JA
49,Rigoni,Silvia,Grüne,JA
82,Romer,Martin,BDP,--
61,Röösli,Brigitte,SP,JA
116,Rueff,Sonja,FDP,--
19,Sahli,Manuel,AL,--
40,Schaaf,Markus,EVP,--
055,Schaffner,Barbara,GLP,--
134,Scheck,Roland,SVP,--
085,Scherrer,Benno,GLP,--
053,Schlauri,Simon,GLP,JA
120,Schmid,Claudio,SVP,JA
078,Schmid,Lorenz,CVP,--
003,Schmid,Roman,SVP,JA
110,Schmid,Stefan,SVP,JA
145,Schucan,Christian,FDP,--
100,Schwab,Daniel,FDP,--
038,Sommer,Daniel,EVP,--
047,Späth,Markus,SP,JA
048,Steiner,Kathy,Grüne,JA
028,Steiner,Rafael,SP,JA
172,Steinmann,Armin,SVP,JA
011,Stofer,Judith Anna,AL,--
058,Straub,Esther,SP,JA
043,Stüssi,Beatrix,SP,JA
170,Sulser,Jürg,SVP,JA
122,Suter,Marcel,SVP,JA
016,Tognella,Birgit,SP,JA
009,Trost Vetter,Susanne,SP,JA
125,Truninger,René,SVP,JA
150,Uhlmann,Peter,SVP,JA
158,Vogel,Thomas,FDP,--
107,Vollenweider,Peter,FDP,--
069,von Planta,Cyrill,GLP,--
092,Vontobel,Erich,EDU,JA
175,Wäfler,Daniel,SVP,JA
148,Waser,Urs,SVP,JA
117,Wettstein,Sabine,FDP,--
018,Wicki,Monika,SP,JA
079,Widler,Josef,CVP,--
045,Widmer,Céline,SP,JA
091,Wiederkehr,Josef,CVP,--
073,Wirth,Thomas,GLP,--
025,Wisskirchen,Mark,EVP,--
044,Würth,Eva-Maria,SP,JA
090,Wydler,Kathrin,CVP,--
141,Wyss,Orlando,SVP,JA
060,Wyssen,Claudia,SP,JA
174,Zahler,Erika,SVP,JA
077,Zeroual,Farid,CVP,--
074,Zeugin,Michael,GLP,--
056,Ziegler,Christoph,GLP,JA
132,Zuber,Martin,SVP,JA
113,Züllig,Hansueli,SVP,JA
138,Zurfluh Fraefel,Christina,SVP,JA
