platz,nachname,vorname,partei,stimme
44,Agosti Monn,Theres,SP,JA
103,Albanese,Franco,CVP,NEIN
125,Amacker,Bruno,SVP,JA
126,Amrein,Hans-Peter,SVP,JA
110,Arnold,Martin,SVP,JA
140,Bachmann,Ernst,SVP,JA
171,Bär,Hansruedi,SVP,JA
10,Barrile,Angelo,SP,JA
75,Bellaiche,Judith,GLP,ENTHALTEN
163,Berger,Antoine,FDP,NEIN
13,Bischoff,Markus,AL,JA
20,Bloch,Beat,CSP,JA
123,Bollinger,Erich,SVP,JA
111,Borer,Anita,SVP,--
79,Brazerol,Rico,BDP,NEIN
34,Brunner,Robert,Grüne,JA
58,Büchi-Wild,Renate,SP,JA
97,Bürgin,Yvonne,CVP,NEIN
184,Burlet,Marcel,SP,JA
154,Burtscher,Rochus,SVP,JA
5,Bussmann,Barbara,SP,JA
12,Bütikofer,Kaspar,AL,JA
116,Camenisch,Linda,FDP,NEIN
180,Dalcher,Pierre,SVP,--
43,Daurù,Andreas,SP,JA
99,Egli,Hans,EDU,NEIN
4,Egli,Karin,SVP,JA
42,Egli,Ursina,SP,JA
71,Erdin,Andreas,GLP,ENTHALTEN
181,Erni,Jonas,SP,JA
130,Farner,Martin,FDP,NEIN
62,Feldmann,Stefan,SP,JA
81,Fenner,Bruno,BDP,NEIN
66,Ferro,Ornella,Grüne,JA
82,Fischer,Gerhard,EVP,NEIN
152,Frei-Baumann,Ruth,SVP,JA
178,Frei,Hans,SVP,JA
161,Frey,Beatrix,FDP,NEIN
147,Furrer,Astrid,FDP,NEIN
138,Fürst,Reinhard,SVP,JA
117,Gantner,Alex,FDP,NEIN
144,Geistlich,Andreas,FDP,NEIN
30,Göldi,Hanspeter,SP,JA
17,Gschwind,Benedikt,SP,JA
78,Gut,Astrid,BDP,NEIN
54,Gutknecht,René,GLP,--
86,Gutmann,Eva,GLP,ENTHALTEN
21,Guyer,Esther,Grüne,JA
109,Haab,Martin,SVP,JA
134,Habicher,Lorenz,SVP,JA
169,Haderer,Willy,SVP,JA
149,Haller,Margrit,SVP,JA
146,Hänni,Cäcilia,FDP,NEIN
48,Hans,Urs,Grüne,JA
100,Häring,Hans Peter,EDU,NEIN
25,Hasler,Andreas,GLP,ENTHALTEN
