platz,nachname,vorname,partei,stimme
30.0,Ackermann,Pia,SP,NEIN
82.0,Ackermann,Ruth,CVP,JA
42.0,Agosti Monn,Theres,SP,NEIN
177.0,Albanese,Franco,SVP,JA
52.0,Alder,Ronald,GLP,JA
114.0,Amacker,Bruno,SVP,JA
126.0,Amrein,Hans-Peter,SVP,JA
140.0,Bachmann,Ernst,SVP,JA
163.0,Balmer,Bettina,FDP,JA
171.0,Bär,Hansruedi,SVP,JA
57.0,Bartal,Isabel,SP,NEIN
17.0,Bärtschiger,Markus,SP,NEIN
86.0,Bellaiche,Judith,GLP,JA
165.0,Bender,André,SVP,JA
161.0,Berger,Antoine,FDP,JA
130.0,Biber,Michael,FDP,JA
20.0,Bischoff,Markus,AL,NEIN
22.0,Bloch,Beat,CSP,NEIN
159.0,Boesch,Hans-Jakob,FDP,JA
135.0,Bollinger,Erich,SVP,JA
173.0,Bonato,Diego,SVP,JA
111.0,Borer,Anita,SVP,JA
131.0,Bourgeois,Marc,FDP,JA
80.0,Brazerol,Rico,BDP,JA
146.0,Brunner,Hans-Peter,FDP,JA
34.0,Brunner,Robert,Grüne,NEIN
2.0,Bürgin,Yvonne,CVP,JA
154.0,Burtscher,Rochus,SVP,JA
7.0,Bussmann,Barbara,SP,NEIN
13.0,Bütikofer,Kaspar,AL,NEIN
115,Camenisch,Linda,FDP,JA
180,Dalcher,Pierre,SVP,JA
43,Daurù,Andreas,SP,NEIN
29,Dünki,Michèle,SP,NEIN
95,Egli,Hans,EDU,JA
1,Egli,Karin,SVP,--
71,Erdin,Andreas,GLP,JA
181,Erni,Jonas,SP,NEIN
101,Farner,Martin,FDP,JA
118,Fehr Düsel,Nina,SVP,JA
66,Fehr Thoma,Karin,Grüne,NEIN
62,Feldmann,Stefan,SP,NEIN
149,Fischer,Benjamin,SVP,JA
68,Forrer,Thomas,Grüne,NEIN
103,Franzen,Barbara,FDP,JA
41,Frei,Daniel,SP,NEIN
151,Frei,Ruth,SVP,JA
160,Frey,Beatrix,FDP,JA
143,Furrer,Astrid,FDP,JA
112,Fürst,Reinhard,SVP,JA
162,Galliker,Nadja,FDP,JA
106,Gantner,Alex,FDP,JA
70,Gehrig,Sonja,GLP,JA
105,Geistlich,Andreas,FDP,JA
14,Göldi,Hanspeter,SP,NEIN
138,Grüter,Barbara,SVP,JA
33,Gschwind,Benedikt,SP,NEIN
24,Günthard Fitze,Barbara,EVP,JA
88,Gut,Astrid,BDP,JA
21,Guyer,Esther,Grüne,NEIN
109,Haab,Martin,SVP,JA
102,Habegger,Beat,FDP,JA
93,Häni,Peter,EDU,JA
144,Hänni,Cäcilia,FDP,JA
53,Häuptli,Daniel,GLP,JA
74,Hauri,Andreas,GLP,JA
127,Hauser,Matthias,SVP,JA
36,Häusler,Edith,Grüne,NEIN
65,Heierli,Daniel,Grüne,NEIN
72,Hodel,Daniel,GLP,JA
15,Hoesch,Felix,SP,NEIN
176,Hofer,Jacqueline,SVP,JA
156,Hoffmann,Benedikt,SVP,JA
129,Hofmann,Olivier,FDP,JA
67,Homberger,Max Robert,Grüne,NEIN
155,Huber,Beat,SVP,JA
167,Hübscher,Martin,SVP,JA
39,Hugentobler,Hanspeter,EVP,JA
12,Huonker,Laura,AL,NEIN
124,Hurter,Christian,SVP,JA
121,Isler,René,SVP,JA
99,Jäger,Alexander,FDP,JA
46,Joss,Rosmarie,SP,NEIN
48,Kaeser,Regula,Grüne,NEIN
32,Katumba,Andrew,SP,NEIN
81,Keller,Cornelia,BDP,JA
123,Keller,Rolando,SVP,JA
3,Kläy,Dieter,FDP,JA
87,Koller,Ivo,BDP,JA
97,Koller,Prisca,FDP,JA
128,Kull,Katharina,FDP,JA
142,Kündig,Jörg,FDP,JA
91,Kutter,Philipp,CVP,JA
63,Lais,Ruedi,SP,NEIN
10,Langenegger,Tobias,SP,NEIN
139,Langhard,Walter,SVP,JA
178,Langhart,Konrad,SVP,JA
76,Lenggenhager,Marcel,BDP,JA
119,Leuenberger,Susanne,SVP,JA
152,Liebi,Roger,SVP,JA
27,Loss,Davide,SP,NEIN
136,Lucek,Christian,SVP,JA
75,Mäder,Jörg,GLP,JA
26,Mani,Tobias,EVP,JA
64,Marthaler,Thomas,SP,NEIN
