platz,nachname,vorname,partei,stimme
30,Ackermann,Pia,SP,NEIN
83,Ackermann,Ruth,CVP,NEIN
42,Agosti Monn,Theres,SP,NEIN
177,Albanese,Franco,SVP,JA
52,Alder,Ronald,GLP,NEIN
114,Amacker,Bruno,SVP,JA
126,Amrein,Hans-Peter,SVP,JA
162,Balmer,Bettina,FDP,NEIN
140,Bamert,Ueli,SVP,JA
171,Bär,Hansruedi,SVP,JA
57,Bartal,Isabel,SP,--
17,Bärtschiger,Markus,SP,NEIN
86,Bellaiche,Judith,GLP,NEIN
165,Bender,André,SVP,JA
130,Biber,Michael,FDP,NEIN
20,Bischoff,Markus,AL,NEIN
22,Bloch,Beat,CSP,--
159,Boesch,Hans-Jakob,FDP,NEIN
135,Bollinger,Erich,SVP,JA
173,Bonato,Diego,SVP,JA
111,Borer,Anita,SVP,--
131,Bourgeois,Marc,FDP,NEIN
133,Brändli,Roland,SVP,JA
80,Brazerol,Rico,BDP,--
146,Brunner,Hans-Peter,FDP,NEIN
34,Brunner,Robert,Grüne,NEIN
1,Bürgin,Yvonne,CVP,--
154,Burtscher,Rochus,SVP,JA
7,Bussmann,Barbara,SP,NEIN
13,Bütikofer,Kaspar,AL,NEIN
115,Camenisch,Linda,FDP,NEIN
3a,Dalcher,Pierre,SVP,JA
041,Daurù,Andreas,SP,NEIN
029,Dünki,Michèle,SP,NEIN
095,Egli,Hans,EDU,NEIN
180,Egli,Karin,SVP,JA
071,Erdin,Andreas,GLP,NEIN
181,Erni,Jonas,SP,NEIN
101,Farner,Martin,FDP,NEIN
119,Fehr Düsel,Nina,SVP,JA
066,Fehr Thoma,Karin,Grüne,--
062,Feldmann,Stefan,SP,NEIN
118,Finsler,Hans,SVP,--
149,Fischer,Benjamin,SVP,JA
068,Forrer,Thomas,Grüne,NEIN
103,Franzen,Barbara,FDP,NEIN
108,Frei,Ruth,SVP,JA
160,Frey,Beatrix,FDP,NEIN
143,Furrer,Astrid,FDP,NEIN
112,Fürst,Reinhard,SVP,JA
050,Galeuchet,David,Grüne,--
161,Galliker,Nadja,FDP,NEIN
106,Gantner,Alex,FDP,NEIN
070,Gehrig,Sonja,GLP,NEIN
105,Geistlich,Andreas,FDP,--
014,Göldi,Hanspeter,SP,NEIN
137,Grüter,Barbara,SVP,JA
033,Gschwind,Benedikt,SP,NEIN
024,Günthard Fitze,Barbara,EVP,--
088,Gut,Astrid,BDP,NEIN
021,Guyer,Esther,Grüne,NEIN
109,Haab,Martin,SVP,JA
102,Habegger,Beat,FDP,--
152,Habicher,Lorenz,SVP,JA
096,Häni,Peter,EDU,--
144,Hänni,Cäcilia,FDP,NEIN
054,Häuptli,Daniel,GLP,--
127,Hauser,Matthias,SVP,JA
036,Häusler,Edith,Grüne,NEIN
065,Heierli,Daniel,Grüne,NEIN
072,Hodel,Daniel,GLP,NEIN
015,Hoesch,Felix,SP,NEIN
176,Hofer,Jacqueline,SVP,--
156,Hoffmann,Benedikt,SVP,--
129,Hofmann,Olivier,FDP,NEIN
067,Homberger,Max Robert,Grüne,NEIN
155,Huber,Beat,SVP,JA
151,Hübscher,Martin,SVP,JA
039,Hugentobler,Hanspeter,EVP,NEIN
012,Huonker,Laura,AL,--
124,Hurter,Christian,SVP,JA
121,Isler,René,SVP,JA
99,Jäger,Alexander,FDP,NEIN
46,Joss,Rosmarie,SP,NEIN
32,Katumba,Andrew,SP,NEIN
81,Keller,Cornelia,BDP,NEIN
123,Keller,Rolando,SVP,JA
2,Kläy,Dieter,FDP,NEIN
87,Knöpfli,Hans-Rudolf,BDP,NEIN
97,Koller,Prisca,FDP,NEIN
128,Kull,Katharina,FDP,NEIN
142,Kündig,Jörg,FDP,NEIN
63,Lais,Ruedi,SP,NEIN
93,Lamprecht,Thomas,EDU,NEIN
10,Langenegger,Tobias,SP,NEIN
139,Langhard,Walter,SVP,--
178,Langhart,Konrad,SVP,JA
166,Ledergerber,Domenik,SVP,JA
76,Lenggenhager,Marcel,BDP,NEIN
27,Loss,Davide,SP,NEIN
136,Lucek,Christian,SVP,JA
75,Mäder,Jörg,GLP,NEIN
26,Mani,Tobias,EVP,NEIN
183,Marthaler,Thomas,SP,NEIN
4,Marti,Sibylle,SP,NEIN
184,Marty Fässler,Carmen,SP,NEIN
94,Marty,Maria Rita,EDU,NEIN
8,Matter,Sylvie,SP,NEIN
59,Meier,Esther,SP,NEIN
23,Meier,Walter,EVP,NEIN
153,Mettler,Christian,SVP,JA
168,Mischol,Tumasch,SVP,JA
37,Monhart,Beat,EVP,NEIN
169,Moor,Ursula,SVP,JA
98,Müller,André,FDP,--
104,Müller,Christian,FDP,NEIN
163,Müller,Fabian,FDP,NEIN
31,Munz,Roland,SP,--
35,Neukom,Martin,Grüne,NEIN
182,Peter,Jacqueline,SP,NEIN
51,Petri,Gabi,Grüne,NEIN
64,Pfalzgraf,Hannah,SP,--
179,Pfister,Ulrich,SVP,JA
167,Pflugshaupt,Elisabeth,SVP,JA
84,Pinto,Jean-Philippe,CVP,NEIN
157,Raths,Hans Heinrich,SVP,--
49,Rigoni,Silvia,Grüne,NEIN
82,Romer,Martin,BDP,NEIN
61,Röösli,Brigitte,SP,NEIN
116,Rueff,Sonja,FDP,NEIN
19,Sahli,Manuel,AL,NEIN
40,Schaaf,Markus,EVP,NEIN
055,Schaffner,Barbara,GLP,NEIN
134,Scheck,Roland,SVP,JA
085,Scherrer,Benno,GLP,NEIN
053,Schlauri,Simon,GLP,NEIN
120,Schmid,Claudio,SVP,JA
078,Schmid,Lorenz,CVP,NEIN
003,Schmid,Roman,SVP,JA
110,Schmid,Stefan,SVP,JA
145,Schucan,Christian,FDP,--
100,Schwab,Daniel,FDP,NEIN
