platz,nachname,vorname,partei,stimme
30,Ackermann,Pia,SP,--
82,Ackermann,Ruth,CVP,--
42,Agosti Monn,Theres,SP,--
89,Albanese,Franco,CVP,--
114,Amacker,Bruno,SVP,--
126,Amrein,Hans-Peter,SVP,JA
110,Arnold,Martin,SVP,JA
140,Bachmann,Ernst,SVP,JA
163,Balmer,Bettina,FDP,--
171,Bär,Hansruedi,SVP,JA
57,Bartal,Isabel,SP,NEIN
86,Bellaiche,Judith,GLP,--
165,Bender,André,SVP,JA
161,Berger,Antoine,FDP,--
129,Biber,Michael,FDP,--
20,Bischoff,Markus,AL,JA
49,Bloch,Beat,CSP,JA
147,Boesch,Hans-Jakob,FDP,--
135,Bollinger,Erich,SVP,JA
173,Bonato,Diego,SVP,JA
111,Borer,Anita,SVP,JA
130,Bourgeois,Marc,FDP,--
80,Brazerol,Rico,BDP,--
146,Brunner,Hans-Peter,FDP,--
34,Brunner,Robert,Grüne,JA
58,Büchi,Renate,SP,--
83,Bürgin,Yvonne,CVP,--
154,Burtscher,Rochus,SVP,JA
7,Bussmann,Barbara,SP,--
13,Bütikofer,Kaspar,AL,JA
115,Camenisch,Linda,FDP,--
180,Dalcher,Pierre,SVP,JA
43,Daurù,Andreas,SP,--
29,Dünki,Michèle,SP,--
95,Egli,Hans,EDU,--
3,Egli,Karin,SVP,JA
71,Erdin,Andreas,GLP,--
181,Erni,Jonas,SP,--
101,Farner,Martin,FDP,--
118,Fehr Düsel,Nina,SVP,JA
68,Fehr Thoma,Karin,Grüne,JA
62,Feldmann,Stefan,SP,--
149,Fischer,Benjamin,SVP,JA
39,Fischer,Gerhard,EVP,--
103,Franzen,Barbara,FDP,--
41,Frei,Daniel,SP,--
151,Frei,Ruth,SVP,JA
160,Frey,Beatrix,FDP,--
142,Furrer,Astrid,FDP,--
112,Fürst,Reinhard,SVP,JA
162,Galliker,Nadja,FDP,--
106,Gantner,Alex,FDP,--
70,Gehrig,Sonja,GLP,--
105,Geistlich,Andreas,FDP,--
14,Göldi,Hanspeter,SP,--
33,Gschwind,Benedikt,SP,--
24,Gugger,Nik,EVP,--
88,Gut,Astrid,BDP,--
21,Guyer,Esther,Grüne,JA
109,Haab,Martin,SVP,JA
102,Habegger,Beat,FDP,--
93,Häni,Peter,EDU,--
143,Hänni,Cäcilia,FDP,--
96,Häring,Hans Peter,EDU,--
53,Häuptli,Daniel,GLP,--
74,Hauri,Andreas,GLP,--
127,Hauser,Matthias,SVP,JA
36,Häusler,Edith,Grüne,JA
65,Heierli,Daniel,Grüne,JA
72,Hodel,Daniel,GLP,--
15,Hoesch,Felix,SP,--
176,Hofer,Jacqueline,SVP,JA
138,Hoffmann,Benedikt,SVP,JA
144,Hofmann,Olivier,FDP,--
67,Homberger,Max Robert,Grüne,JA
155,Huber,Beat,SVP,JA
167,Hübscher,Martin,SVP,JA
38,Hugentobler,Hanspeter,EVP,--
87,Hunger,Stefan,BDP,--
12,Huonker,Laura,AL,JA
124,Hurter,Christian,SVP,JA
121,Isler,René,SVP,JA
99,Jäger,Alexander,FDP,--
46,Joss,Rosmarie,SP,--
48,Kaeser,Regula,Grüne,JA
32,Katumba,Andrew,SP,--
81,Keller,Cornelia,BDP,--
123,Keller,Rolando,SVP,--
3a,Kläy,Dieter,FDP,--
97,Koller,Prisca,FDP,--
128,Kull,Katharina,FDP,--
159,Kündig,Jörg,FDP,--
91,Kutter,Philipp,CVP,--
63,Lais,Ruedi,SP,--
10,Langenegger,Tobias,SP,--
139,Langhard,Walter,SVP,--
178,Langhart,Konrad,SVP,JA
76,Lenggenhager,Marcel,BDP,--
119,Leuenberger,Susanne,SVP,JA
152,Liebi,Roger,SVP,JA
27,Loss,Davide,SP,--
136,Lucek,Christian,SVP,JA
75,Mäder,Jörg,GLP,--
22,Margreiter,Ralf,Grüne,JA
64,Marthaler,Thomas,SP,--
17,Marti,Sibylle,SP,--
8,Matter,Sylvie,SP,--
61,Meier,Esther,SP,--
23,Meier,Walter,EVP,--
153,Mettler,Christian,SVP,JA
122,Mischol,Tumasch,SVP,--
168,Moor,Ursula,SVP,JA
98,Müller,André,FDP,--
104,Müller,Christian,FDP,--
31,Munz,Roland,SP,--
35,Neukom,Martin,Grüne,JA
182,Peter,Jacqueline,SP,--
51,Petri,Gabi,Grüne,JA
179,Pfister,Ulrich,SVP,JA
166,Pflugshaupt,Elisabeth,SVP,JA
84,Pinto,Jean-Philippe,CVP,--
133,Preisig,Peter,SVP,JA
157,Raths,Hans Heinrich,SVP,JA
26,Reinhard,Peter,EVP,NEIN
156,Rinderknecht,Margreth,SVP,JA
66,Rohweder,Maria,Grüne,JA
131,Romer,Martin,FDP,--
116,Rueff,Sonja,FDP,--
19,Sahli,Manuel,AL,JA
44,Sarbach,Martin,SP,--
40,Schaaf,Markus,EVP,--
55,Schaffner,Barbara,GLP,--
134,Scheck,Roland,SVP,JA
85,Scherrer Moser,Benno,GLP,--
120,Schmid,Claudio,SVP,JA
