platz,nachname,vorname,partei,stimme
44,Agosti Monn,Theres,SP,NEIN
103,Albanese,Franco,CVP,--
78,Albrecht,Verena,BDP,JA
125,Amacker,Bruno,SVP,JA
126,Amrein,Hans-Peter,SVP,JA
110,Arnold,Martin,SVP,JA
140,Bachmann,Ernst,SVP,JA
171,Bär,Hansruedi,SVP,JA
10,Barrile,Angelo,SP,JA
124,Bartholdi,Roger,SVP,JA
75,Bellaiche,Judith,GLP,JA
13,Bischoff,Markus,AL,JA
20,Bloch,Beat,CSP,JA
123,Bollinger,Erich,SVP,JA
111,Borer,Anita,SVP,JA
79,Brazerol,Rico,BDP,JA
34,Brunner,Robert,Grüne,--
48,Bucher-Steinegger,Heidi,Grüne,--
58,Büchi-Wild,Renate,SP,JA
97,Bürgin,Yvonne,CVP,JA
184,Burlet,Marcel,SP,--
154,Burtscher,Rochus,SVP,--
5,Bussmann,Barbara,SP,JA
12,Bütikofer,Kaspar,AL,--
116,Camenisch,Linda,FDP,JA
161,Clerici,Max F.,FDP,JA
179,Dalcher,Pierrre,SVP,JA
043,Daurù,Andreas,SP,JA
99,Egli,Hans,EDU,JA
149,Egli,Karin,SVP,JA
42,Egli,Ursina,SP,JA
71,Erdin,Andreas,GLP,JA
130,Farner,Martin,FDP,JA
145,Feit,Leila,FDP,JA
62,Feldmann,Stefan,SP,JA
81,Fenner,Bruno,BDP,JA
66,Ferro,Ornella,Grüne,--
82,Fischer,Gerhard,EVP,--
152,Frei-Baumann,Ruth,SVP,JA
178,Frei,Hans,SVP,--
164,Frey,Beatrix,FDP,JA
138,Fürst,Reinhard,SVP,JA
117,Gantner,Alex,FDP,JA
24,Geilinger,Martin,Grüne,JA
147,Geistlich,Andreas,FDP,JA
27,Gerber Rüegg,Julia,SP,--
30,Göldi,Hanspeter,SP,JA
47,Golta,Raphael,SP,JA
17,Gschwind,Benedikt,SP,JA
54,Gutknecht,René,GLP,--
86,Gutmann,Eva,GLP,--
21,Guyer,Esther,Grüne,JA
109,Haab,Martin,SVP,JA
134,Habicher,Lorenz,SVP,--
169,Haderer,Willy,SVP,--
50,Hans,Urs,Grüne,JA
100,Häring,Hans Peter,EDU,JA
25,Hasler,Andreas,GLP,--
176,Haug,Hanspeter,SVP,JA
74,Hauri,Andreas,GLP,JA
127,Hauser,Matthias,SVP,JA
69,Häusler,Edith,Grüne,JA
18,Heuberger,Catherine,SP,JA
151,Heusser,Hans-Heinrich,SVP,--
23,Hildebrand,Esther,Grüne,JA
72,Hodel,Daniel,GLP,--
175,Hofer,Jacqueline,SVP,--
131,Hofmann,Olivier,FDP,JA
104,Holenstein,Christoph,CVP,JA
67,Homberger,Max,Grüne,--
155,Huber,Beat,SVP,JA
87,Huber,Stefanie,GLP,JA
49,Hübscher,Lilith Claudia,Grüne,JA
76,Hunger,Stefan,BDP,JA
121,Isler,René,SVP,JA
167,Isliker,Walter,SVP,JA
2,Johner,Brigitta,FDP,--
16,Joss,Rosmarie,SP,--
51,Kaeser,Regula,Grüne,JA
77,Keller,Cornelia,BDP,JA
128,Kläy,Dieter,FDP,JA
,88,Kleiber-Schenkel,Ruth,EVP
,129,Kull-Benz,Katharina,FDP
,162,Kündig,Jörg,FDP
,101,Kutter,Philipp,CVP
,95,Kyburz,Heinz,EDU
,63,Lais,Ruedi,SP
,7,Lalli,Emy,SP
,139,Langhard,Walter,SVP
,174,Langhart,Konrad,SVP
,65,Läubli,Hans,Grüne
,106,Lauffer,Urs,FDP
,80,Lenggenhager,Marcel,BDP
,45,Loss,Davide,SP
,137,Lucek,Christian,SVP
,26,Mäder,Jörg,GLP
,15,Maeder-Zuberbühler,Karin,SP
,22,Margreiter,Ralf,Grüne
,181,Marthaler,Thomas,SP
,36,Marti,Res,Grüne
,201,Mauchle,Thea,SP
,170,Menzi,Ruedi,SVP
,153,Mettler,Christian,SVP
,29,Meyer,Mattea,SP
,168,Moor-Schwarz,Ursula,SVP
,31,Munz,Roland,SP
,37,Petri,Gabi,Grüne
,93,Pinto,Jean-Philippe,CVP
,142,Portmann,Hans-Peter,FDP
,133,Preisig,Peter,SVP
,157,Raths,Hans Heinrich,SVP
,19,Redzic,Alma,Grüne
,91,Reinhard,Peter,EVP
,156,Rinderknecht,Margreth,SVP
,90,Ritschard,Peter,EVP
,68,Rohweder-Lischer,Maria,Grüne
,14,Rusca Speck,Susanna,SP
,107,Sauter,Regine,FDP
,83,Schaaf,Markus,EVP
,53,Schaffner,Barbara,GLP
,173,Scheck,Roland,SVP
085,Scherrer,Benno,GLP,JA
115,Scherrer,Werner,FDP,--
120,Schmid,Claudio,SVP,JA
105,Schmid,Lorenz,CVP,JA
3a,Schmid,Roman,SVP,JA
112,Schneebeli,Jakob,SVP,JA
089,Schoch,Walter,EVP,JA
146,Schwab,Daniel,FDP,JA
052,Schwarzenbach,Benjamin,GLP,JA
009,Seiler Graf,Priska,SP,JA
061,Seiz-Gut,Silvia,SP,JA
180,Senn,Yves,SVP,JA
57,Serra,Jorge,SP,JA
59,Sieber,Sabine,SP,JA
183,Späth,Markus,SP,--
60,Spillmann,Moritz,SP,JA
32,Spring,Monika,SP,JA
136,Steinemann,Barbara,SVP,JA
4,Steiner,Rolf,SP,JA
92,Steiner,Silvia,CVP,JA
172,Steinmann,Armin,SVP,JA
11,Stofer,Judith,AL,JA
148,Stucker,Rolf,SVP,JA
8,Stutz,Peter,SP,--
166,Sulser,Jürg,SVP,JA
114,Suter,Arnold,SVP,--
102,Thomet-Bürki,Corinne,CVP,JA
108,Trachsel,Jürg,SVP,JA
150,Uhlmann,Peter,SVP,JA
158,Vogel,Thomas,FDP,JA
118,Vogt,Hans-Ueli,SVP,JA
70,von Planta,Cyrill,GLP,JA
94,Vontobel,Erich,EDU,JA
56,Wahlen,Denise,GLP,JA
160,Walker Späh,Carmen,FDP,JA
1,Walliser,Bruno,SVP,--
159,Walti,Beat,FDP,JA
55,Walti,Rahel,GLP,--
3,Weber-Gachnang,Theresia,SVP,JA
143,Weibel,Katharina,FDP,JA
98,Welz,Michael,EDU,JA
163,Wettstein,Sabine,FDP,JA
46,Widmer,Céline,SP,JA
96,Wiederkehr,Josef,CVP,--
38,Wiesner,Hans,GLP,JA
144,Winkler,Gabriela,FDP,JA
73,Wirth,Thomas,GLP,JA
035,Wolf,Andreas,Grüne,--
119,Wuhrmann,Heinrich,SVP,JA
141,Wyss,Orlando,SVP,JA
135,Zanetti,Claudio,SVP,--
040,Zeugin,Michael,GLP,JA
039,Ziegler,Christoph,GLP,JA
033,Ziegler,Sabine,SP,JA
041,Ziltener,Erika,SP,JA
122,Zimmermann,Rolf Robert,SVP,JA
084,Zollinger,Johannes,EVP,JA
132,Zuber,Martin,SVP,--
113,Züllig,Hansueli,SVP,JA
