platz,nachname,vorname,partei,stimme
44,Agosti Monn,Theres,SP,--
103,Albanese,Franco,CVP,--
125,Amacker,Bruno,SVP,--
126,Amrein,Hans-Peter,SVP,--
110,Arnold,Martin,SVP,--
140,Bachmann,Ernst,SVP,--
171,Bär,Hansruedi,SVP,--
10,Barrile,Angelo,SP,--
75,Bellaiche,Judith,GLP,--
163,Berger,Antoine,FDP,--
13,Bischoff,Markus,AL,--
20,Bloch,Beat,CSP,--
123,Bollinger,Erich,SVP,--
111,Borer,Anita,SVP,--
79,Brazerol,Rico,BDP,--
34,Brunner,Robert,Grüne,--
58,Büchi-Wild,Renate,SP,--
97,Bürgin,Yvonne,CVP,--
184,Burlet,Marcel,SP,--
154,Burtscher,Rochus,SVP,--
5,Bussmann,Barbara,SP,--
12,Bütikofer,Kaspar,AL,--
116,Camenisch,Linda,FDP,--
180,Dalcher,Pierre,SVP,--
43,Daurù,Andreas,SP,--
99,Egli,Hans,EDU,--
4,Egli,Karin,SVP,--
42,Egli,Ursina,SP,--
71,Erdin,Andreas,GLP,--
181,Erni,Jonas,SP,--
130,Farner,Martin,FDP,--
62,Feldmann,Stefan,SP,--
81,Fenner,Bruno,BDP,--
66,Ferro,Ornella,Grüne,--
82,Fischer,Gerhard,EVP,--
152,Frei-Baumann,Ruth,SVP,--
178,Frei,Hans,SVP,--
161,Frey,Beatrix,FDP,--
147,Furrer,Astrid,FDP,--
138,Fürst,Reinhard,SVP,--
117,Gantner,Alex,FDP,--
144,Geistlich,Andreas,FDP,--
30,Göldi,Hanspeter,SP,--
17,Gschwind,Benedikt,SP,--
78,Gut,Astrid,BDP,--
54,Gutknecht,René,GLP,--
86,Gutmann,Eva,GLP,--
21,Guyer,Esther,Grüne,--
109,Haab,Martin,SVP,--
134,Habicher,Lorenz,SVP,--
169,Haderer,Willy,SVP,--
149,Haller,Margrit,SVP,--
146,Hänni,Cäcilia,FDP,--
48,Hans,Urs,Grüne,--
100,Häring,Hans Peter,EDU,--
25,Hasler,Andreas,GLP,--
176,Haug,Hanspeter,SVP,--
74,Hauri,Andreas,GLP,--
127,Hauser,Matthias,SVP,--
