platz,nachname,vorname,partei,stimme
184,Agosti Monn,Theres,SP,JA
103,Albanese,Franco,CVP,JA
050,Altwegg,Jürg,Grüne,JA
125,Amacker,Bruno,SVP,NEIN
126,Amrein,Hans-Peter,SVP,NEIN
110,Arnold,Martin,SVP,--
140,Bachmann,Ernst,SVP,NEIN
171,Bär,Hansruedi,SVP,NEIN
010,Barrile,Angelo,SP,JA
044,Bartal,Isabel,SP,JA
075,Bellaiche,Judith,GLP,JA
163,Berger,Antoine,FDP,JA
013,Bischoff,Markus,AL,JA
020,Bloch,Beat,CSP,JA
123,Bollinger,Erich,SVP,NEIN
111,Borer,Anita,SVP,NEIN
079,Brazerol,Rico,BDP,JA
034,Brunner,Robert,Grüne,JA
058,Büchi-Wild,Renate,SP,JA
097,Bürgin,Yvonne,CVP,JA
154,Burtscher,Rochus,SVP,NEIN
005,Bussmann,Barbara,SP,JA
012,Bütikofer,Kaspar,AL,--
116,Camenisch,Linda,FDP,JA
180,Dalcher,Pierre,SVP,NEIN
043,Daurù,Andreas,SP,JA
035,Dietschi,Urs,Grüne,JA
099,Egli,Hans,EDU,NEIN
004,Egli,Karin,SVP,--
042,Egli,Ursina,SP,JA
71,Erdin,Andreas,GLP,JA
181,Erni,Jonas,SP,JA
130,Farner,Martin,FDP,JA
62,Feldmann,Stefan,SP,JA
81,Fenner,Bruno,BDP,JA
66,Ferro,Ornella,Grüne,JA
82,Fischer,Gerhard,EVP,JA
152,Frei-Baumann,Ruth,SVP,NEIN
16,Frei,Daniel,SP,JA
178,Frei,Hans,SVP,NEIN
161,Frey,Beatrix,FDP,JA
147,Furrer,Astrid,FDP,JA
138,Fürst,Reinhard,SVP,NEIN
106,Gantner,Alex,FDP,JA
144,Geistlich,Andreas,FDP,JA
14,Göldi,Hanspeter,SP,JA
33,Gschwind,Benedikt,SP,JA
88,Gugger,Nik,EVP,JA
78,Gut,Astrid,BDP,JA
54,Gutknecht,René,GLP,--
86,Gutmann,Eva,GLP,--
21,Guyer,Esther,Grüne,JA
109,Haab,Martin,SVP,NEIN
134,Habicher,Lorenz,SVP,NEIN
169,Haderer,Willy,SVP,NEIN
149,Haller,Margrit,SVP,NEIN
146,Hänni,Cäcilia,FDP,JA
48,Hans,Urs,Grüne,JA
100,Häring,Hans Peter,EDU,NEIN
25,Hasler,Andreas,GLP,JA
176,Haug,Hanspeter,SVP,NEIN
74,Hauri,Andreas,GLP,JA
127,Hauser,Matthias,SVP,NEIN
23,Häusler,Edith,Grüne,JA
51,Heierli,Daniel,Grüne,JA
151,Heusser,Hans-Heinrich,SVP,NEIN
72,Hodel,Daniel,GLP,JA
15,Hoesch,Felix,SP,JA
175,Hofer,Jacqueline,SVP,--
131,Hofmann,Olivier,FDP,JA
67,Homberger,Max,Grüne,JA
155,Huber,Beat,SVP,NEIN
87,Huber,Stefanie,GLP,--
76,Hunger,Stefan,BDP,JA
121,Isler,René,SVP,NEIN
