platz,nachname,vorname,partei,stimme
114,Amacker,Bruno,SVP,--
82,Ackermann,Ruth,CVP,--
30,Ackermann,Pia,SP,JA
89,Albanese,Franco,CVP,--
42,Agosti Monn,Theres,SP,--
126,Amrein,Hans-Peter,SVP,--
110,Arnold,Martin,SVP,--
140,Bachmann,Ernst,SVP,--
163,Balmer,Bettina,FDP,--
171,Bär,Hansruedi,SVP,--
57,Bartal,Isabel,SP,JA
86,Bellaiche,Judith,GLP,JA
165,Bender,André,SVP,--
161,Berger,Antoine,FDP,--
130,Biber,Michael,FDP,--
20,Bischoff,Markus,AL,JA
49,Bloch,Beat,CSP,JA
159,Boesch,Hans-Jakob,FDP,--
135,Bollinger,Erich,SVP,--
173,Bonato,Diego,SVP,--
111,Borer,Anita,SVP,--
131,Bourgeois,Marc,FDP,--
80,Brazerol,Rico,BDP,--
146,Brunner,Hans-Peter,FDP,--
34,Brunner,Robert,Grüne,JA
58,Büchi,Renate,SP,JA
3,Bürgin,Yvonne,CVP,--
154,Burtscher,Rochus,SVP,--
7,Bussmann,Barbara,SP,JA
13,Bütikofer,Kaspar,AL,JA
115,Camenisch,Linda,FDP,--
180,Dalcher,Pierre,SVP,--
43,Daurù,Andreas,SP,JA
29,Dünki,Michèle,SP,JA
95,Egli,Hans,EDU,--
2,Egli,Karin,SVP,--
71,Erdin,Andreas,GLP,--
181,Erni,Jonas,SP,JA
101,Farner,Martin,FDP,--
118,Fehr Düsel,Nina,SVP,--
68,Fehr Thoma,Karin,Grüne,JA
62,Feldmann,Stefan,SP,JA
87,Fenner,Bruno,BDP,--
149,Fischer,Benjamin,SVP,--
39,Fischer,Gerhard,EVP,JA
103,Franzen,Barbara,FDP,--
41,Frei,Daniel,SP,JA
151,Frei,Ruth,SVP,--
160,Frey,Beatrix,FDP,--
143,Furrer,Astrid,FDP,--
112,Fürst,Reinhard,SVP,--
162,Galliker,Nadja,FDP,--
106,Gantner,Alex,FDP,--
70,Gehrig,Sonja,GLP,JA
105,Geistlich,Andreas,FDP,--
14,Göldi,Hanspeter,SP,JA
33,Gschwind,Benedikt,SP,JA
24,Gugger,Nik,EVP,JA
88,Gut,Astrid,BDP,--
21,Guyer,Esther,Grüne,JA
109,Haab,Martin,SVP,--
102,Habegger,Beat,FDP,--
93,Häni,Peter,EDU,--
144,Hänni,Cäcilia,FDP,--
96,Häring,Hans Peter,EDU,--
53,Häuptli,Daniel,GLP,--
74,Hauri,Andreas,GLP,JA
127,Hauser,Matthias,SVP,--
36,Häusler,Edith,Grüne,JA
65,Heierli,Daniel,Grüne,JA
72,Hodel,Daniel,GLP,JA
15,Hoesch,Felix,SP,JA
176,Hofer,Jacqueline,SVP,--
138,Hoffmann,Benedikt,SVP,--
129,Hofmann,Olivier,FDP,--
67,Homberger,Max Robert,Grüne,JA
155,Huber,Beat,SVP,--
167,Hübscher,Martin,SVP,--
38,Hugentobler,Hanspeter,EVP,JA
12,Huonker,Laura,AL,JA
124,Hurter,Christian,SVP,--
121,Isler,René,SVP,--
99,Jäger,Alexander,FDP,--
46,Joss,Rosmarie,SP,JA
48,Kaeser,Regula,Grüne,JA
32,Katumba,Andrew,SP,JA
81,Keller,Cornelia,BDP,--
123,Keller,Rolando,SVP,--
3a,Kläy,Dieter,FDP,--
97,Koller,Prisca,FDP,--
128,Kull,Katharina,FDP,--
142,Kündig,Jörg,FDP,--
91,Kutter,Philipp,CVP,--
63,Lais,Ruedi,SP,JA
10,Langenegger,Tobias,SP,JA
139,Langhard,Walter,SVP,--
178,Langhart,Konrad,SVP,--
76,Lenggenhager,Marcel,BDP,--
119,Leuenberger,Susanne,SVP,--
152,Liebi,Roger,SVP,--
66,Lischer,Maria,Grüne,JA
27,Loss,Davide,SP,--
136,Lucek,Christian,SVP,--
75,Mäder,Jörg,GLP,JA
22,Margreiter,Ralf,Grüne,JA
64,Marthaler,Thomas,SP,JA
17,Marti,Sibylle,SP,JA
8,Matter,Sylvie,SP,JA
61,Meier,Esther,SP,JA
23,Meier,Walter,EVP,JA
153,Mettler,Christian,SVP,--
122,Mischol,Tumasch,SVP,--
168,Moor,Ursula,SVP,--
98,Müller,André,FDP,NEIN
104,Müller,Christian,FDP,--
31,Munz,Roland,SP,JA
35,Neukom,Martin,Grüne,JA
182,Peter,Jacqueline,SP,JA
51,Petri,Gabi,Grüne,JA
179,Pfister,Ulrich,SVP,--
166,Pflugshaupt,Elisabeth,SVP,--
84,Pinto,Jean-Philippe,CVP,--
133,Preisig,Peter,SVP,--
157,Raths,Hans Heinrich,SVP,--
26,Reinhard,Peter,EVP,JA
156,Rinderknecht,Margreth,SVP,--
147,Romer,Martin,FDP,--
116,Rueff,Sonja,FDP,--
19,Sahli,Manuel,AL,JA
44,Sarbach,Martin,SP,JA
40,Schaaf,Markus,EVP,JA
55,Schaffner,Barbara,GLP,JA
134,Scheck,Roland,SVP,--
85,Scherrer Moser,Benno,GLP,JA
120,Schmid,Claudio,SVP,--
78,Schmid,Lorenz,CVP,--
4,Schmid,Roman,SVP,--
137,Schmid,Stefan,SVP,--
145,Schucan,Christian,FDP,--
100,Schwab,Daniel,FDP,--
59,Sieber Hirschi,Sabine,SP,JA
37,Sommer,Daniel,EVP,JA
47,Späth,Markus,SP,JA
183,Spillmann,Moritz,SP,JA
50,Steiner,Kathy,Grüne,JA
28,Steiner,Rafael,SP,JA
1,Steiner,Rolf,SP,--
172,Steinmann,Armin,SVP,--
11,Stofer,Judith Anna,AL,JA
184,Straub,Esther,SP,JA
170,Sulser,Jürg,SVP,--
90,Thomet,Corinne,CVP,--
16,Tognella,Birgit,SP,JA
108,Trachsel,Jürg,SVP,--
9,Trost Vetter,Susanne,SP,JA
125,Truninger,René,SVP,--
150,Uhlmann,Peter,SVP,--
158,Vogel,Thomas,FDP,--
107,Vollenweider,Peter,FDP,--
69,von Planta,Cyrill,GLP,JA
92,Vontobel,Erich,EDU,--
175,Wäfler,Daniel,SVP,--
148,Waser,Urs,SVP,--
169,Weber-Gachnang,Theresia,SVP,--
94,Welz,Michael,EDU,--
117,Wettstein,Sabine,FDP,--
18,Wicki,Monika,SP,JA
77,Widler,Josef,CVP,--
45,Widmer,Céline,SP,JA
79,Wiederkehr,Josef,CVP,--
52,Wiesner,Hans W.,GLP,JA
73,Wirth,Thomas,GLP,--
141,Wyss,Orlando,SVP,--
