platz,nachname,vorname,partei,stimme
103.0,Albanese,Franco,CVP,--
78.0,Albrecht,Verena,BDP,--
125.0,Amacker,Bruno,SVP,--
126.0,Amrein,Hans-Peter,SVP,--
110.0,Arnold,Martin,SVP,--
140.0,Bachmann,Ernst,SVP,--
171.0,Bär,Hansruedi,SVP,--
10.0,Barrile,Angelo,SP,JA
124.0,Bartholdi,Roger,SVP,--
75.0,Bellaiche,Judith,GLP,--
13.0,Bischoff,Markus,AL,JA
20.0,Bloch,Beat,CSP,JA
123.0,Bollinger,Erich,SVP,--
111.0,Borer,Anita,SVP,--
79.0,Brazerol,Rico,BDP,--
34.0,Brunner,Robert,Grüne,JA
48.0,Bucher-Steinegger,Heidi,Grüne,JA
58.0,Büchi-Wild,Renate,SP,--
184.0,Burlet,Marcel,SP,JA
154.0,Burtscher,Rochus,SVP,--
5.0,Bussmann,Barbara,SP,JA
12.0,Bütikofer,Kaspar,AL,JA
116.0,Camenisch,Linda,FDP,--
161.0,Clerici,Max F.,FDP,--
179.0,Dalcher,Pierrre,SVP,--
43.0,Daurù,Andreas,SP,JA
4.0,Egg,Bernhard,SP,JA
99.0,Egli,Hans,EDU,JA
149.0,Egli,Karin,SVP,--
42.0,Egli,Ursina,SP,JA
71,Erdin,Andreas,GLP,--
130,Farner,Martin,FDP,--
145,Feit,Leila,FDP,--
62,Feldmann,Stefan,SP,JA
81,Fenner,Bruno,BDP,--
66,Ferro,Ornella,Grüne,JA
82,Fischer,Gerhard,EVP,--
152,Frei-Baumann,Ruth,SVP,--
178,Frei,Hans,SVP,--
164,Frey,Beatrix,FDP,--
138,Fürst,Reinhard,SVP,--
117,Gantner,Alex,FDP,--
24,Geilinger,Martin,Grüne,JA
147,Geistlich,Andreas,FDP,--
27,Gerber Rüegg,Julia,SP,JA
30,Göldi,Hanspeter,SP,JA
47,Golta,Raphael,SP,JA
17,Gschwind,Benedikt,SP,JA
54,Gutknecht,René,GLP,--
86,Gutmann,Eva,GLP,--
21,Guyer,Esther,Grüne,JA
109,Haab,Martin,SVP,--
134,Habicher,Lorenz,SVP,--
96,Hächler,Patrick,CVP,--
169,Haderer,Willy,SVP,--
50,Hans,Urs,Grüne,--
100,Häring,Hans Peter,EDU,JA
25,Hasler,Andreas,GLP,--
176,Haug,Hanspeter,SVP,--
74,Hauri,Andreas,GLP,--
127,Hauser,Matthias,SVP,--
69,Häusler,Edith,Grüne,JA
18,Heuberger,Catherine,SP,JA
151,Heusser,Hans-Heinrich,SVP,--
23,Hildebrand,Esther,Grüne,--
72,Hodel,Daniel,GLP,--
175,Hofer,Jacqueline,SVP,--
104,Holenstein,Christoph,CVP,--
67,Homberger,Max,Grüne,JA
155,Huber,Beat,SVP,--
87,Huber,Stefanie,GLP,--
49,Hübscher,Lilith Claudia,Grüne,JA
76,Hunger,Stefan,BDP,--
121,Isler,René,SVP,NEIN
167,Isliker,Walter,SVP,--
2,Johner,Brigitta,FDP,--
16,Joss,Rosmarie,SP,JA
51,Kaeser,Regula,Grüne,JA
77,Keller,Cornelia,BDP,--
128,Kläy,Dieter,FDP,--
88,Kleiber-Schenkel,Ruth,EVP,--
129,Kull-Benz,Katharina,FDP,--
162,Kündig,Jörg,FDP,--
101,Kutter,Philipp,CVP,--
095,Kyburz,Heinz,EDU,JA
063,Lais,Ruedi,SP,JA
007,Lalli,Emy,SP,JA
139,Langhard,Walter,SVP,--
174,Langhart,Konrad,SVP,--
065,Läubli,Hans,Grüne,JA
106,Lauffer,Urs,FDP,--
080,Lenggenhager,Marcel,BDP,--
045,Loss,Davide,SP,JA
137,Lucek,Christian,SVP,--
026,Mäder,Jörg,GLP,--
015,Maeder-Zuberbühler,Karin,SP,JA
022,Margreiter,Ralf,Grüne,JA
181,Marthaler,Thomas,SP,JA
036,Marti,Res,Grüne,JA
201,Mauchle,Thea,SP,JA
170,Menzi,Ruedi,SVP,--
153,Mettler,Christian,SVP,--
029,Meyer,Mattea,SP,JA
168,Moor-Schwarz,Ursula,SVP,--
031,Munz,Roland,SP,JA
037,Petri,Gabi,Grüne,JA
093,Pinto,Jean-Philippe,CVP,--
142,Portmann,Hans-Peter,FDP,--
133,Preisig,Peter,SVP,--
157,Raths,Hans Heinrich,SVP,--
019,Redzic,Alma,Grüne,JA
091,Reinhard,Peter,EVP,--
156,Rinderknecht,Margreth,SVP,--
090,Ritschard,Peter,EVP,--
068,Rohweder-Lischer,Maria,Grüne,--
014,Rusca Speck,Susanna,SP,JA
107,Sauter,Regine,FDP,--
083,Schaaf,Markus,EVP,--
053,Schaffner,Barbara,GLP,--
173,Scheck,Roland,SVP,--
085,Scherrer,Benno,GLP,--
115,Scherrer,Werner,FDP,--
120,Schmid,Claudio,SVP,--
105,Schmid,Lorenz,CVP,--
3a,Schmid,Roman,SVP,--
112,Schneebeli,Jakob,SVP,--
089,Schoch,Walter,EVP,--
146,Schwab,Daniel,FDP,--
052,Schwarzenbach,Benjamin,GLP,--
009,Seiler Graf,Priska,SP,JA
061,Seiz-Gut,Silvia,SP,JA
180,Senn,Yves,SVP,--
057,Serra,Jorge,SP,JA
059,Sieber,Sabine,SP,JA
183,Späth,Markus,SP,JA
060,Spillmann,Moritz,SP,JA
032,Spring,Monika,SP,JA
136,Steinemann,Barbara,SVP,--
028,Steiner,Rolf,SP,JA
092,Steiner,Silvia,CVP,--
172,Steinmann,Armin,SVP,--
011,Stofer,Judith,AL,JA
148,Stucker,Rolf,SVP,--
008,Stutz,Peter,SP,JA
166,Sulser,Jürg,SVP,--
114,Suter,Arnold,SVP,--
102,Thomet-Bürki,Corinne,CVP,--
108,Trachsel,Jürg,SVP,--
150,Uhlmann,Peter,SVP,--
158,Vogel,Thomas,FDP,--
118,Vogt,Hans-Ueli,SVP,--
070,von Planta,Cyrill,GLP,--
094,Vontobel,Erich,EDU,JA
056,Wahlen,Denise,GLP,--
160,Walker Späh,Carmen,FDP,--
001,Walliser,Bruno,SVP,--
159,Walti,Beat,FDP,--
055,Walti,Rahel,GLP,--
003,Weber-Gachnang,Theresia,SVP,--
131,Weber,Kurt,FDP,--
143,Weibel,Katharina,FDP,--
098,Welz,Michael,EDU,JA
163,Wettstein,Sabine,FDP,--
046,Widmer,Céline,SP,JA
097,Wiederkehr,Josef,CVP,--
038,Wiesner,Hans,GLP,--
144,Winkler,Gabriela,FDP,--
073,Wirth,Thomas,GLP,--
035,Wolf,Andreas,Grüne,JA
119,Wuhrmann,Heinrich,SVP,--
141,Wyss,Orlando,SVP,--
135,Zanetti,Claudio,SVP,--
040,Zeugin,Michael,GLP,--
039,Ziegler,Christoph,GLP,--
033,Ziegler,Sabine,SP,JA
041,Ziltener,Erika,SP,JA
122,Zimmermann,Rolf Robert,SVP,--
084,Zollinger,Johannes,EVP,--
132,Zuber,Martin,SVP,--
113,Züllig,Hansueli,SVP,--
