platz,nachname,vorname,partei,stimme
82.0,Ackermann,Ruth,CVP,JA
30.0,Ackermann,Pia,SP,JA
42.0,Agosti Monn,Theres,SP,JA
177.0,Albanese,Franco,SVP,NEIN
114.0,Amacker,Bruno,SVP,NEIN
126.0,Amrein,Hans-Peter,SVP,NEIN
110.0,Arnold,Martin,SVP,--
140.0,Bachmann,Ernst,SVP,JA
163.0,Balmer,Bettina,FDP,JA
171.0,Bär,Hansruedi,SVP,NEIN
57.0,Bartal,Isabel,SP,JA
86.0,Bellaiche,Judith,GLP,--
165.0,Bender,André,SVP,--
161.0,Berger,Antoine,FDP,JA
130.0,Biber,Michael,FDP,JA
20.0,Bischoff,Markus,AL,NEIN
22.0,Bloch,Beat,CSP,NEIN
159.0,Boesch,Hans-Jakob,FDP,JA
135.0,Bollinger,Erich,SVP,--
173.0,Bonato,Diego,SVP,JA
111.0,Borer,Anita,SVP,JA
131.0,Bourgeois,Marc,FDP,JA
80.0,Brazerol,Rico,BDP,--
146.0,Brunner,Hans-Peter,FDP,--
34.0,Brunner,Robert,Grüne,NEIN
58.0,Büchi,Renate,SP,JA
3.0,Bürgin,Yvonne,CVP,JA
154.0,Burtscher,Rochus,SVP,JA
7.0,Bussmann,Barbara,SP,JA
13.0,Bütikofer,Kaspar,AL,NEIN
115,Camenisch,Linda,FDP,JA
180,Dalcher,Pierre,SVP,NEIN
43,Daurù,Andreas,SP,JA
29,Dünki,Michèle,SP,JA
95,Egli,Hans,EDU,JA
2,Egli,Karin,SVP,NEIN
71,Erdin,Andreas,GLP,NEIN
181,Erni,Jonas,SP,JA
101,Farner,Martin,FDP,JA
118,Fehr Düsel,Nina,SVP,--
66,Fehr Thoma,Karin,Grüne,NEIN
62,Feldmann,Stefan,SP,JA
87,Fenner,Bruno,BDP,JA
149,Fischer,Benjamin,SVP,--
39,Fischer,Gerhard,EVP,--
68,Forrer,Thomas,Grüne,NEIN
103,Franzen,Barbara,FDP,JA
41,Frei,Daniel,SP,JA
151,Frei,Ruth,SVP,JA
160,Frey,Beatrix,FDP,JA
143,Furrer,Astrid,FDP,JA
112,Fürst,Reinhard,SVP,NEIN
162,Galliker,Nadja,FDP,JA
106,Gantner,Alex,FDP,JA
70,Gehrig,Sonja,GLP,NEIN
105,Geistlich,Andreas,FDP,--
14,Göldi,Hanspeter,SP,JA
33,Gschwind,Benedikt,SP,JA
24,Gugger,Nik,EVP,--
88,Gut,Astrid,BDP,JA
21,Guyer,Esther,Grüne,NEIN
109,Haab,Martin,SVP,NEIN
102,Habegger,Beat,FDP,JA
93,Häni,Peter,EDU,JA
144,Hänni,Cäcilia,FDP,JA
96,Häring,Hans Peter,EDU,JA
53,Häuptli,Daniel,GLP,NEIN
74,Hauri,Andreas,GLP,NEIN
127,Hauser,Matthias,SVP,--
36,Häusler,Edith,Grüne,NEIN
65,Heierli,Daniel,Grüne,NEIN
72,Hodel,Daniel,GLP,NEIN
15,Hoesch,Felix,SP,JA
