platz,nachname,vorname,partei,stimme
82,Ackermann,Ruth,CVP,JA
30,Ackermann,Pia,SP,NEIN
42,Agosti Monn,Theres,SP,NEIN
177,Albanese,Franco,SVP,JA
114,Amacker,Bruno,SVP,JA
126,Amrein,Hans-Peter,SVP,JA
110,Arnold,Martin,SVP,JA
140,Bachmann,Ernst,SVP,JA
163,Balmer,Bettina,FDP,JA
171,Bär,Hansruedi,SVP,JA
57,Bartal,Isabel,SP,NEIN
86,Bellaiche,Judith,GLP,JA
165,Bender,André,SVP,JA
161,Berger,Antoine,FDP,JA
130,Biber,Michael,FDP,JA
20,Bischoff,Markus,AL,NEIN
22,Bloch,Beat,CSP,NEIN
159,Boesch,Hans-Jakob,FDP,JA
135,Bollinger,Erich,SVP,JA
173,Bonato,Diego,SVP,JA
111,Borer,Anita,SVP,JA
131,Bourgeois,Marc,FDP,--
80,Brazerol,Rico,BDP,--
146,Brunner,Hans-Peter,FDP,JA
34,Brunner,Robert,Grüne,NEIN
58,Büchi,Renate,SP,NEIN
3,Bürgin,Yvonne,CVP,JA
154,Burtscher,Rochus,SVP,JA
7,Bussmann,Barbara,SP,NEIN
13,Bütikofer,Kaspar,AL,NEIN
115,Camenisch,Linda,FDP,JA
180,Dalcher,Pierre,SVP,JA
43,Daurù,Andreas,SP,NEIN
29,Dünki,Michèle,SP,NEIN
95,Egli,Hans,EDU,NEIN
2,Egli,Karin,SVP,JA
71,Erdin,Andreas,GLP,JA
181,Erni,Jonas,SP,NEIN
101,Farner,Martin,FDP,JA
118,Fehr Düsel,Nina,SVP,JA
66,Fehr Thoma,Karin,Grüne,NEIN
62,Feldmann,Stefan,SP,NEIN
87,Fenner,Bruno,BDP,--
149,Fischer,Benjamin,SVP,ENTHALTEN
68,Forrer,Thomas,Grüne,NEIN
103,Franzen,Barbara,FDP,JA
41,Frei,Daniel,SP,NEIN
151,Frei,Ruth,SVP,JA
160,Frey,Beatrix,FDP,JA
143,Furrer,Astrid,FDP,JA
112,Fürst,Reinhard,SVP,JA
162,Galliker,Nadja,FDP,JA
106,Gantner,Alex,FDP,JA
70,Gehrig,Sonja,GLP,JA
105,Geistlich,Andreas,FDP,JA
14,Göldi,Hanspeter,SP,NEIN
33,Gschwind,Benedikt,SP,NEIN
24,Gugger,Nik,EVP,NEIN
88,Gut,Astrid,BDP,JA
21,Guyer,Esther,Grüne,NEIN
109,Haab,Martin,SVP,JA
102,Habegger,Beat,FDP,JA
93,Häni,Peter,EDU,NEIN
144,Hänni,Cäcilia,FDP,JA
96,Häring,Hans Peter,EDU,NEIN
53,Häuptli,Daniel,GLP,JA
74,Hauri,Andreas,GLP,JA
127,Hauser,Matthias,SVP,JA
36,Häusler,Edith,Grüne,NEIN
65,Heierli,Daniel,Grüne,NEIN
72,Hodel,Daniel,GLP,JA
15,Hoesch,Felix,SP,NEIN
176,Hofer,Jacqueline,SVP,JA
138,Hoffmann,Benedikt,SVP,JA
129,Hofmann,Olivier,FDP,JA
67,Homberger,Max Robert,Grüne,NEIN
155,Huber,Beat,SVP,JA
167,Hübscher,Martin,SVP,ENTHALTEN
39,Hugentobler,Hanspeter,EVP,NEIN
12,Huonker,Laura,AL,NEIN
124,Hurter,Christian,SVP,JA
121,Isler,René,SVP,JA
99,Jäger,Alexander,FDP,JA
46,Joss,Rosmarie,SP,NEIN
48,Kaeser,Regula,Grüne,NEIN
32,Katumba,Andrew,SP,NEIN
81,Keller,Cornelia,BDP,--
123,Keller,Rolando,SVP,--
3a,Kläy,Dieter,FDP,JA
97,Koller,Prisca,FDP,JA
128,Kull,Katharina,FDP,JA
142,Kündig,Jörg,FDP,JA
91,Kutter,Philipp,CVP,JA
63,Lais,Ruedi,SP,NEIN
10,Langenegger,Tobias,SP,NEIN
139,Langhard,Walter,SVP,JA
178,Langhart,Konrad,SVP,JA
76,Lenggenhager,Marcel,BDP,--
119,Leuenberger,Susanne,SVP,JA
152,Liebi,Roger,SVP,JA
27,Loss,Davide,SP,NEIN
136,Lucek,Christian,SVP,JA
75,Mäder,Jörg,GLP,JA
25,Mani,Tobias,EVP,NEIN
64,Marthaler,Thomas,SP,NEIN
17,Marti,Sibylle,SP,NEIN
8,Matter,Sylvie,SP,NEIN
61,Meier,Esther,SP,NEIN
23,Meier,Walter,EVP,NEIN
153,Mettler,Christian,SVP,JA
122,Mischol,Tumasch,SVP,JA
37,Monhart,Beat,EVP,NEIN
168,Moor,Ursula,SVP,JA
98,Müller,André,FDP,JA
104,Müller,Christian,FDP,JA
31,Munz,Roland,SP,NEIN
35,Neukom,Martin,Grüne,NEIN
182,Peter,Jacqueline,SP,NEIN
51,Petri,Gabi,Grüne,NEIN
179,Pfister,Ulrich,SVP,JA
166,Pflugshaupt,Elisabeth,SVP,ENTHALTEN
84,Pinto,Jean-Philippe,CVP,JA
133,Preisig,Peter,SVP,JA
157,Raths,Hans Heinrich,SVP,JA
26,Reinhard,Peter,EVP,NEIN
50,Rigoni,Silvia,Grüne,NEIN
156,Rinderknecht,Margreth,SVP,JA
147,Romer,Martin,FDP,JA
116,Rueff,Sonja,FDP,--
19,Sahli,Manuel,AL,NEIN
40,Schaaf,Markus,EVP,--
55,Schaffner,Barbara,GLP,JA
134,Scheck,Roland,SVP,JA
85,Scherrer,Benno,GLP,JA
120,Schmid,Claudio,SVP,ENTHALTEN
78,Schmid,Lorenz,CVP,JA
4,Schmid,Roman,SVP,JA
137,Schmid,Stefan,SVP,JA
145,Schucan,Christian,FDP,--
100,Schwab,Daniel,FDP,JA
59,Sieber Hirschi,Sabine,SP,NEIN
38,Sommer,Daniel,EVP,NEIN
47,Späth,Markus,SP,NEIN
183,Spillmann,Moritz,SP,NEIN
49,Steiner,Kathy,Grüne,NEIN
28,Steiner,Rafael,SP,NEIN
1,Steiner,Rolf,SP,--
172,Steinmann,Armin,SVP,JA
11,Stofer,Judith Anna,AL,NEIN
184,Straub,Esther,SP,NEIN
170,Sulser,Jürg,SVP,JA
90,Thomet,Corinne,CVP,JA
16,Tognella,Birgit,SP,NEIN
108,Trachsel,Jürg,SVP,JA
9,Trost Vetter,Susanne,SP,NEIN
125,Truninger,René,SVP,JA
150,Uhlmann,Peter,SVP,JA
158,Vogel,Thomas,FDP,JA
107,Vollenweider,Peter,FDP,JA
69,von Planta,Cyrill,GLP,JA
92,Vontobel,Erich,EDU,NEIN
175,Wäfler,Daniel,SVP,JA
148,Waser,Urs,SVP,JA
169,Weber-Gachnang,Theresia,SVP,JA
94,Welz,Michael,EDU,NEIN
117,Wettstein,Sabine,FDP,JA
18,Wicki,Monika,SP,NEIN
77,Widler,Josef,CVP,--
45,Widmer,Céline,SP,NEIN
79,Wiederkehr,Josef,CVP,JA
52,Wiesner,Hans W.,GLP,JA
73,Wirth,Thomas,GLP,JA
44,Würth,Eva-Maria,SP,NEIN
141,Wyss,Orlando,SVP,JA
60,Wyssen,Claudia,SP,NEIN
174,Zahler,Erika,SVP,JA
56,Zeugin,Michael,GLP,JA
54,Ziegler,Christoph,GLP,JA
132,Zuber,Martin,SVP,JA
113,Züllig,Hansueli,SVP,JA
