platz,nachname,vorname,partei,stimme
30.0,Ackermann,Pia,SP,--
82.0,Ackermann,Ruth,CVP,--
42.0,Agosti Monn,Theres,SP,--
89.0,Albanese,Franco,CVP,--
114.0,Amacker,Bruno,SVP,--
126.0,Amrein,Hans-Peter,SVP,--
110.0,Arnold,Martin,SVP,--
140.0,Bachmann,Ernst,SVP,--
163.0,Balmer,Bettina,FDP,--
171.0,Bär,Hansruedi,SVP,--
10.0,Barrile,Angelo,SP,--
57.0,Bartal,Isabel,SP,--
86.0,Bellaiche,Judith,GLP,--
165.0,Bender,André,SVP,NEIN
161.0,Berger,Antoine,FDP,--
131.0,Biber,Michael,FDP,--
20.0,Bischoff,Markus,AL,--
49.0,Bloch,Beat,CSP,--
147.0,Boesch,Hans-Jakob,FDP,NEIN
123.0,Bollinger,Erich,SVP,--
173.0,Bonato,Diego,SVP,ENTHALTEN
111.0,Borer,Anita,SVP,--
80.0,Brazerol,Rico,BDP,--
146.0,Brunner,Hans-Peter,FDP,NEIN
34.0,Brunner,Robert,Grüne,--
58.0,Büchi,Renate,SP,--
83.0,Bürgin,Yvonne,CVP,--
154.0,Burtscher,Rochus,SVP,--
7.0,Bussmann,Barbara,SP,--
13.0,Bütikofer,Kaspar,AL,--
115,Camenisch,Linda,FDP,--
180,Dalcher,Pierre,SVP,--
43,Daurù,Andreas,SP,--
95,Egli,Hans,EDU,JA
3,Egli,Karin,SVP,--
71,Erdin,Andreas,GLP,--
181,Erni,Jonas,SP,--
130,Farner,Martin,FDP,--
68,Fehr Thoma,Karin,Grüne,--
62,Feldmann,Stefan,SP,--
149,Fischer,Benjamin,SVP,--
39,Fischer,Gerhard,EVP,--
103,Franzen,Barbara,FDP,NEIN
41,Frei,Daniel,SP,--
151,Frei,Ruth,SVP,--
160,Frey,Beatrix,FDP,--
142,Furrer,Astrid,FDP,--
138,Fürst,Reinhard,SVP,--
162,Galliker,Nadja,FDP,--
106,Gantner,Alex,FDP,--
70,Gehrig,Sonja,GLP,--
105,Geistlich,Andreas,FDP,--
14,Göldi,Hanspeter,SP,NEIN
33,Gschwind,Benedikt,SP,--
24,Gugger,Nik,EVP,NEIN
88,Gut,Astrid,BDP,--
53,Gutmann,Eva,GLP,--
21,Guyer,Esther,Grüne,--
109,Haab,Martin,SVP,--
102,Habegger,Beat,FDP,NEIN
143,Hänni,Cäcilia,FDP,--
96,Häring,Hans Peter,EDU,--
74,Hauri,Andreas,GLP,--
127,Hauser,Matthias,SVP,--
36,Häusler,Edith,Grüne,--
65,Heierli,Daniel,Grüne,--
72,Hodel,Daniel,GLP,--
15,Hoesch,Felix,SP,NEIN
176,Hofer,Jacqueline,SVP,ENTHALTEN
144,Hofmann,Olivier Moïse,FDP,--
67,Homberger,Max Robert,Grüne,--
155,Huber,Beat,SVP,--
167,Hübscher,Martin,SVP,NEIN
87,Hunger,Stefan,BDP,--
12,Huonker,Laura,AL,--
121,Isler,René,SVP,--
99,Jäger,Alexander,FDP,--
46,Joss,Rosmarie,SP,--
48,Kaeser,Regula,Grüne,--
32,Katumba,Andrew,SP,--
81,Keller,Cornelia,BDP,--
124,Keller,Rolando,SVP,--
3a,Kläy,Dieter,FDP,--
097,Koller,Prisca,FDP,ENTHALTEN
128,Krebs,Beatrice,FDP,--
129,Kull,Katharina,FDP,--
159,Kündig,Jörg,FDP,--
091,Kutter,Philipp,CVP,--
063,Lais,Ruedi,SP,--
139,Langhard,Walter,SVP,--
178,Langhart,Konrad,SVP,--
076,Lenggenhager,Marcel,BDP,--
119,Leuenberger,Susanne,SVP,--
152,Liebi,Roger,SVP,--
027,Loss,Davide,SP,NEIN
137,Lucek,Christian,SVP,--
075,Mäder,Jörg,GLP,--
022,Margreiter,Ralf,Grüne,--
064,Marthaler,Thomas,SP,--
017,Marti,Sibylle,SP,--
008,Matter,Sylvie,SP,--
061,Meier,Esther,SP,--
093,Meier,Peter,EDU,JA
023,Meier,Walter,EVP,--
153,Mettler,Christian,SVP,--
029,Meyer,Mattea,SP,--
168,Moor,Ursula,SVP,--
098,Müller,André,FDP,NEIN
104,Müller,Christian,FDP,--
031,Munz,Roland,SP,--
035,Neukom,Martin,Grüne,--
182,Peter,Jacqueline,SP,NEIN
051,Petri,Gabi,Grüne,--
166,Pflugshaupt,Elisabeth,SVP,NEIN
084,Pinto,Jean-Philippe,CVP,--
133,Preisig,Peter,SVP,--
157,Raths,Hans Heinrich,SVP,--
026,Reinhard,Peter,EVP,--
156,Rinderknecht,Margreth,SVP,--
066,Rohweder,Maria,Grüne,--
116,Rueff,Sonja,FDP,--
019,Sahli,Manuel,AL,--
044,Sarbach,Martin,SP,NEIN
107,Sauter,Regine,FDP,--
040,Schaaf,Markus,EVP,--
055,Schaffner,Barbara,GLP,--
134,Scheck,Roland,SVP,--
085,Scherrer Moser,Benno,GLP,--
120,Schmid,Claudio,SVP,--
078,Schmid,Lorenz,CVP,--
004,Schmid,Roman,SVP,--
145,Schucan,Christian,FDP,NEIN
100,Schwab,Daniel,FDP,--
009,Seiler Graf,Priska,SP,--
059,Sieber Hirschi,Sabine,SP,--
