platz,nachname,vorname,partei,stimme
30,Ackermann,Pia,SP,JA
83,Ackermann,Ruth,CVP,NEIN
42,Agosti Monn,Theres,SP,JA
177,Albanese,Franco,SVP,--
52,Alder,Ronald,GLP,--
114,Amacker,Bruno,SVP,--
126,Amrein,Hans-Peter,SVP,--
162,Balmer,Bettina,FDP,NEIN
140,Bamert,Ueli,SVP,--
171,Bär,Hansruedi,SVP,--
57,Bartal,Isabel,SP,JA
17,Bärtschiger,Markus,SP,JA
86,Bellaiche,Judith,GLP,--
165,Bender,André,SVP,--
130,Biber,Michael,FDP,--
20,Bischoff,Markus,AL,JA
22,Bloch,Beat,CSP,--
159,Boesch,Hans-Jakob,FDP,--
135,Bollinger,Erich,SVP,--
173,Bonato,Diego,SVP,--
111,Borer,Anita,SVP,NEIN
131,Bourgeois,Marc,FDP,--
133,Brändli,Roland,SVP,--
80,Brazerol,Rico,BDP,NEIN
146,Brunner,Hans-Peter,FDP,--
34,Brunner,Robert,Grüne,--
1,Bürgin,Yvonne,CVP,--
154,Burtscher,Rochus,SVP,--
7,Bussmann,Barbara,SP,JA
13,Bütikofer,Kaspar,AL,JA
115,Camenisch,Linda,FDP,--
3a,Dalcher,Pierre,SVP,--
41,Daurù,Andreas,SP,JA
29,Dünki,Michèle,SP,JA
95,Egli,Hans,EDU,--
180,Egli,Karin,SVP,--
71,Erdin,Andreas,GLP,--
181,Erni,Jonas,SP,JA
101,Farner,Martin,FDP,--
119,Fehr Düsel,Nina,SVP,--
66,Fehr Thoma,Karin,Grüne,JA
62,Feldmann,Stefan,SP,JA
118,Finsler,Hans,SVP,NEIN
149,Fischer,Benjamin,SVP,--
68,Forrer,Thomas,Grüne,JA
103,Franzen,Barbara,FDP,--
108,Frei,Ruth,SVP,--
160,Frey,Beatrix,FDP,NEIN
143,Furrer,Astrid,FDP,NEIN
112,Fürst,Reinhard,SVP,--
50,Galeuchet,David,Grüne,NEIN
161,Galliker,Nadja,FDP,NEIN
106,Gantner,Alex,FDP,--
70,Gehrig,Sonja,GLP,JA
105,Geistlich,Andreas,FDP,--
14,Göldi,Hanspeter,SP,JA
137,Grüter,Barbara,SVP,--
33,Gschwind,Benedikt,SP,JA
24,Günthard Fitze,Barbara,EVP,NEIN
88,Gut,Astrid,BDP,NEIN
21,Guyer,Esther,Grüne,--
109,Haab,Martin,SVP,--
102,Habegger,Beat,FDP,--
152,Habicher,Lorenz,SVP,--
96,Häni,Peter,EDU,NEIN
144,Hänni,Cäcilia,FDP,NEIN
54,Häuptli,Daniel,GLP,--
127,Hauser,Matthias,SVP,--
36,Häusler,Edith,Grüne,JA
65,Heierli,Daniel,Grüne,--
72,Hodel,Daniel,GLP,--
15,Hoesch,Felix,SP,JA
176,Hofer,Jacqueline,SVP,NEIN
156,Hoffmann,Benedikt,SVP,--
129,Hofmann,Olivier,FDP,--
67,Homberger,Max Robert,Grüne,JA
155,Huber,Beat,SVP,--
151,Hübscher,Martin,SVP,NEIN
39,Hugentobler,Hanspeter,EVP,NEIN
12,Huonker,Laura,AL,JA
124,Hurter,Christian,SVP,--
121,Isler,René,SVP,--
99,Jäger,Alexander,FDP,--
46,Joss,Rosmarie,SP,JA
32,Katumba,Andrew,SP,JA
81,Keller,Cornelia,BDP,NEIN
123,Keller,Rolando,SVP,NEIN
2,Kläy,Dieter,FDP,--
87,Knöpfli,Hans-Rudolf,BDP,--
97,Koller,Prisca,FDP,NEIN
128,Kull,Katharina,FDP,--
142,Kündig,Jörg,FDP,--
63,Lais,Ruedi,SP,JA
