platz,nachname,vorname,partei,stimme
30,Ackermann,Pia,SP,NEIN
82,Ackermann,Ruth,CVP,NEIN
42,Agosti Monn,Theres,SP,NEIN
89,Albanese,Franco,CVP,NEIN
114,Amacker,Bruno,SVP,JA
126,Amrein,Hans-Peter,SVP,ENTHALTEN
110,Arnold,Martin,SVP,JA
140,Bachmann,Ernst,SVP,--
163,Balmer,Bettina,FDP,JA
171,Bär,Hansruedi,SVP,JA
10,Barrile,Angelo,SP,JA
57,Bartal,Isabel,SP,JA
86,Bellaiche,Judith,GLP,JA
165,Bender,André,SVP,JA
161,Berger,Antoine,FDP,JA
131,Biber,Michael,FDP,JA
20,Bischoff,Markus,AL,NEIN
49,Bloch,Beat,CSP,NEIN
147,Boesch,Hans-Jakob,FDP,JA
123,Bollinger,Erich,SVP,JA
173,Bonato,Diego,SVP,JA
111,Borer,Anita,SVP,JA
80,Brazerol,Rico,BDP,JA
146,Brunner,Hans-Peter,FDP,JA
34,Brunner,Robert,Grüne,NEIN
58,Büchi,Renate,SP,NEIN
83,Bürgin,Yvonne,CVP,NEIN
154,Burtscher,Rochus,SVP,JA
7,Bussmann,Barbara,SP,JA
13,Bütikofer,Kaspar,AL,NEIN
115,Camenisch,Linda,FDP,JA
180,Dalcher,Pierre,SVP,JA
43,Daurù,Andreas,SP,NEIN
95,Egli,Hans,EDU,JA
3,Egli,Karin,SVP,JA
71,Erdin,Andreas,GLP,--
181,Erni,Jonas,SP,JA
130,Farner,Martin,FDP,JA
68,Fehr Thoma,Karin,Grüne,NEIN
62,Feldmann,Stefan,SP,--
149,Fischer,Benjamin,SVP,ENTHALTEN
39,Fischer,Gerhard,EVP,NEIN
103,Franzen,Barbara,FDP,JA
41,Frei,Daniel,SP,NEIN
151,Frei,Ruth,SVP,JA
160,Frey,Beatrix,FDP,JA
142,Furrer,Astrid,FDP,JA
138,Fürst,Reinhard,SVP,--
162,Galliker,Nadja,FDP,JA
106,Gantner,Alex,FDP,JA
70,Gehrig,Sonja,GLP,JA
105,Geistlich,Andreas,FDP,JA
14,Göldi,Hanspeter,SP,ENTHALTEN
33,Gschwind,Benedikt,SP,JA
24,Gugger,Nik,EVP,NEIN
88,Gut,Astrid,BDP,JA
53,Gutmann,Eva,GLP,--
21,Guyer,Esther,Grüne,NEIN
109,Haab,Martin,SVP,JA
102,Habegger,Beat,FDP,--
143,Hänni,Cäcilia,FDP,JA
96,Häring,Hans Peter,EDU,--
74,Hauri,Andreas,GLP,JA
127,Hauser,Matthias,SVP,ENTHALTEN
36,Häusler,Edith,Grüne,--
65,Heierli,Daniel,Grüne,NEIN
72,Hodel,Daniel,GLP,--
15,Hoesch,Felix,SP,JA
176,Hofer,Jacqueline,SVP,JA
144,Hofmann,Olivier Moïse,FDP,--
67,Homberger,Max Robert,Grüne,NEIN
155,Huber,Beat,SVP,JA
167,Hübscher,Martin,SVP,JA
87,Hunger,Stefan,BDP,JA
12,Huonker,Laura,AL,NEIN
121,Isler,René,SVP,ENTHALTEN
99,Jäger,Alexander,FDP,JA
46,Joss,Rosmarie,SP,JA
48,Kaeser,Regula,Grüne,NEIN
32,Katumba,Andrew,SP,JA
81,Keller,Cornelia,BDP,JA
124,Keller,Rolando,SVP,--
3a,Kläy,Dieter,FDP,JA
097,Koller,Prisca,FDP,JA
128,Krebs,Beatrice,FDP,JA
129,Kull,Katharina,FDP,JA
159,Kündig,Jörg,FDP,JA
091,Kutter,Philipp,CVP,NEIN
063,Lais,Ruedi,SP,NEIN
139,Langhard,Walter,SVP,JA
178,Langhart,Konrad,SVP,JA
076,Lenggenhager,Marcel,BDP,--
119,Leuenberger,Susanne,SVP,JA
152,Liebi,Roger,SVP,JA
027,Loss,Davide,SP,JA
137,Lucek,Christian,SVP,ENTHALTEN
075,Mäder,Jörg,GLP,JA
022,Margreiter,Ralf,Grüne,NEIN
064,Marthaler,Thomas,SP,JA
017,Marti,Sibylle,SP,ENTHALTEN
008,Matter,Sylvie,SP,NEIN
061,Meier,Esther,SP,NEIN
093,Meier,Peter,EDU,JA
023,Meier,Walter,EVP,NEIN
153,Mettler,Christian,SVP,JA
029,Meyer,Mattea,SP,JA
168,Moor,Ursula,SVP,ENTHALTEN
098,Müller,André,FDP,JA
104,Müller,Christian,FDP,JA
031,Munz,Roland,SP,JA
035,Neukom,Martin,Grüne,NEIN
182,Peter,Jacqueline,SP,JA
051,Petri,Gabi,Grüne,NEIN
166,Pflugshaupt,Elisabeth,SVP,ENTHALTEN
084,Pinto,Jean-Philippe,CVP,NEIN
133,Preisig,Peter,SVP,ENTHALTEN
157,Raths,Hans Heinrich,SVP,JA
026,Reinhard,Peter,EVP,NEIN
156,Rinderknecht,Margreth,SVP,JA
066,Rohweder,Maria,Grüne,NEIN
116,Rueff,Sonja,FDP,JA
019,Sahli,Manuel,AL,--
044,Sarbach,Martin,SP,JA
107,Sauter,Regine,FDP,JA
040,Schaaf,Markus,EVP,NEIN
055,Schaffner,Barbara,GLP,JA
134,Scheck,Roland,SVP,JA
085,Scherrer Moser,Benno,GLP,JA
120,Schmid,Claudio,SVP,JA
078,Schmid,Lorenz,CVP,NEIN
004,Schmid,Roman,SVP,JA
038,Schoch,Walter,EVP,NEIN
145,Schucan,Christian,FDP,JA
100,Schwab,Daniel,FDP,JA
009,Seiler Graf,Priska,SP,JA
059,Sieber Hirschi,Sabine,SP,NEIN
037,Sommer,Daniel,EVP,NEIN
047,Späth,Markus,SP,JA
183,Spillmann,Moritz,SP,ENTHALTEN
136,Steinemann,Barbara,SVP,JA
050,Steiner,Kathy,Grüne,NEIN
028,Steiner,Rafael,SP,JA
002,Steiner,Rolf,SP,JA
172,Steinmann,Armin,SVP,JA
011,Stofer,Judith Anna,AL,NEIN
184,Straub,Esther,SP,JA
170,Sulser,Jürg,SVP,JA
090,Thomet,Corinne,CVP,NEIN
016,Tognella,Birgit,SP,JA
108,Trachsel,Jürg,SVP,JA
125,Truninger,René,SVP,JA
112,Tuena,Mauro,SVP,JA
150,Uhlmann,Peter,SVP,ENTHALTEN
158,Vogel,Thomas,FDP,JA
118,Vogt,Hans-Ueli,SVP,ENTHALTEN
101,Vollenweider,Peter,FDP,JA
069,von Planta,Cyrill,GLP,JA
092,Vontobel,Erich,EDU,JA
175,Wäfler,Daniel,SVP,--
179,Walliser,Bruno,SVP,ENTHALTEN
148,Waser,Urs,SVP,JA
001,Weber-Gachnang,Theresia,SVP,--
094,Welz,Michael,EDU,JA
117,Wettstein,Sabine,FDP,JA
018,Wicki,Monika,SP,ENTHALTEN
077,Widler,Josef,CVP,NEIN
045,Widmer,Céline,SP,NEIN
079,Wiederkehr,Josef,CVP,--
052,Wiesner,Hans W.,GLP,--
073,Wirth,Thomas,GLP,JA
060,Wyssen,Claudia,SP,JA
141,Wyss,Orlando,SVP,JA
174,Zahler,Erika,SVP,JA
135,Zanetti,Claudio,SVP,ENTHALTEN
056,Zeugin,Michael,GLP,JA
054,Ziegler,Christoph,GLP,JA
122,Zimmermann,Rolf Robert,SVP,ENTHALTEN
025,Zollinger,Johannes,EVP,NEIN
132,Zuber,Martin,SVP,JA
113,Züllig,Hansueli,SVP,JA
