platz,nachname,vorname,partei,stimme
30,Ackermann,Pia,SP,JA
83,Ackermann,Ruth,CVP,--
42,Agosti Monn,Theres,SP,--
177,Albanese,Franco,SVP,--
52,Alder,Ronald,GLP,JA
114,Amacker,Bruno,SVP,--
126,Amrein,Hans-Peter,SVP,--
162,Balmer,Bettina,FDP,--
140,Bamert,Ueli,SVP,--
171,Bär,Hansruedi,SVP,--
57,Bartal,Isabel,SP,--
17,Bärtschiger,Markus,SP,--
86,Bellaiche,Judith,GLP,JA
165,Bender,André,SVP,--
130,Biber,Michael,FDP,JA
20,Bischoff,Markus,AL,--
22,Bloch,Beat,CSP,JA
159,Boesch,Hans-Jakob,FDP,JA
135,Bollinger,Erich,SVP,--
173,Bonato,Diego,SVP,--
111,Borer,Anita,SVP,--
131,Bourgeois,Marc,FDP,--
133,Brändli,Roland,SVP,--
80,Brazerol,Rico,BDP,JA
146,Brunner,Hans-Peter,FDP,JA
34,Brunner,Robert,Grüne,JA
1,Bürgin,Yvonne,CVP,--
154,Burtscher,Rochus,SVP,--
7,Bussmann,Barbara,SP,--
13,Bütikofer,Kaspar,AL,--
115,Camenisch,Linda,FDP,--
3a,Dalcher,Pierre,SVP,--
041,Daurù,Andreas,SP,--
029,Dünki,Michèle,SP,--
095,Egli,Hans,EDU,JA
180,Egli,Karin,SVP,--
071,Erdin,Andreas,GLP,--
181,Erni,Jonas,SP,--
101,Farner,Martin,FDP,JA
119,Fehr Düsel,Nina,SVP,--
066,Fehr Thoma,Karin,Grüne,JA
062,Feldmann,Stefan,SP,--
118,Finsler,Hans,SVP,JA
149,Fischer,Benjamin,SVP,--
068,Forrer,Thomas,Grüne,JA
103,Franzen,Barbara,FDP,JA
108,Frei,Ruth,SVP,--
160,Frey,Beatrix,FDP,--
143,Furrer,Astrid,FDP,JA
112,Fürst,Reinhard,SVP,--
050,Galeuchet,David,Grüne,JA
161,Galliker,Nadja,FDP,JA
106,Gantner,Alex,FDP,--
070,Gehrig,Sonja,GLP,--
105,Geistlich,Andreas,FDP,--
014,Göldi,Hanspeter,SP,--
137,Grüter,Barbara,SVP,--
033,Gschwind,Benedikt,SP,--
024,Günthard Fitze,Barbara,EVP,--
088,Gut,Astrid,BDP,JA
021,Guyer,Esther,Grüne,JA
109,Haab,Martin,SVP,--
102,Habegger,Beat,FDP,JA
152,Habicher,Lorenz,SVP,--
096,Häni,Peter,EDU,JA
144,Hänni,Cäcilia,FDP,JA
054,Häuptli,Daniel,GLP,--
127,Hauser,Matthias,SVP,--
036,Häusler,Edith,Grüne,--
065,Heierli,Daniel,Grüne,JA
072,Hodel,Daniel,GLP,--
015,Hoesch,Felix,SP,--
176,Hofer,Jacqueline,SVP,--
156,Hoffmann,Benedikt,SVP,--
129,Hofmann,Olivier,FDP,--
067,Homberger,Max Robert,Grüne,JA
155,Huber,Beat,SVP,--
151,Hübscher,Martin,SVP,--
039,Hugentobler,Hanspeter,EVP,--
012,Huonker,Laura,AL,--
124,Hurter,Christian,SVP,--
121,Isler,René,SVP,--
99,Jäger,Alexander,FDP,JA
46,Joss,Rosmarie,SP,--
32,Katumba,Andrew,SP,--
81,Keller,Cornelia,BDP,JA
123,Keller,Rolando,SVP,--
2,Kläy,Dieter,FDP,--
87,Knöpfli,Hans-Rudolf,BDP,JA
97,Koller,Prisca,FDP,JA
128,Kull,Katharina,FDP,--
142,Kündig,Jörg,FDP,--
63,Lais,Ruedi,SP,JA
93,Lamprecht,Thomas,EDU,JA
10,Langenegger,Tobias,SP,--
139,Langhard,Walter,SVP,--
178,Langhart,Konrad,SVP,--
166,Ledergerber,Domenik,SVP,--
76,Lenggenhager,Marcel,BDP,JA
27,Loss,Davide,SP,--
136,Lucek,Christian,SVP,--
75,Mäder,Jörg,GLP,--
26,Mani,Tobias,EVP,--
183,Marthaler,Thomas,SP,--
4,Marti,Sibylle,SP,--
184,Marty Fässler,Carmen,SP,--
94,Marty,Maria Rita,EDU,NEIN
8,Matter,Sylvie,SP,--
59,Meier,Esther,SP,--
23,Meier,Walter,EVP,--
153,Mettler,Christian,SVP,--
168,Mischol,Tumasch,SVP,--
37,Monhart,Beat,EVP,--
169,Moor,Ursula,SVP,--
98,Müller,André,FDP,JA
104,Müller,Christian,FDP,JA
163,Müller,Fabian,FDP,JA
31,Munz,Roland,SP,--
35,Neukom,Martin,Grüne,JA
182,Peter,Jacqueline,SP,--
51,Petri,Gabi,Grüne,--
64,Pfalzgraf,Hannah,SP,--
179,Pfister,Ulrich,SVP,--
167,Pflugshaupt,Elisabeth,SVP,--
84,Pinto,Jean-Philippe,CVP,--
157,Raths,Hans Heinrich,SVP,--
49,Rigoni,Silvia,Grüne,JA
82,Romer,Martin,BDP,JA
61,Röösli,Brigitte,SP,JA
116,Rueff,Sonja,FDP,JA
19,Sahli,Manuel,AL,--
40,Schaaf,Markus,EVP,NEIN
055,Schaffner,Barbara,GLP,--
134,Scheck,Roland,SVP,--
085,Scherrer,Benno,GLP,JA
053,Schlauri,Simon,GLP,NEIN
120,Schmid,Claudio,SVP,--
078,Schmid,Lorenz,CVP,--
003,Schmid,Roman,SVP,--
110,Schmid,Stefan,SVP,--
145,Schucan,Christian,FDP,JA
100,Schwab,Daniel,FDP,--
