platz,nachname,vorname,partei,stimme
30,Ackermann,Pia,SP,JA
82,Ackermann,Ruth,CVP,NEIN
42,Agosti Monn,Theres,SP,JA
89,Albanese,Franco,CVP,--
114,Amacker,Bruno,SVP,JA
126,Amrein,Hans-Peter,SVP,JA
110,Arnold,Martin,SVP,JA
140,Bachmann,Ernst,SVP,--
163,Balmer,Bettina,FDP,--
171,Bär,Hansruedi,SVP,JA
10,Barrile,Angelo,SP,JA
57,Bartal,Isabel,SP,--
86,Bellaiche,Judith,GLP,NEIN
165,Bender,André,SVP,JA
161,Berger,Antoine,FDP,--
131,Biber,Michael,FDP,--
20,Bischoff,Markus,AL,NEIN
49,Bloch,Beat,CSP,NEIN
147,Boesch,Hans-Jakob,FDP,NEIN
123,Bollinger,Erich,SVP,JA
173,Bonato,Diego,SVP,JA
111,Borer,Anita,SVP,JA
80,Brazerol,Rico,BDP,JA
146,Brunner,Hans-Peter,FDP,NEIN
34,Brunner,Robert,Grüne,NEIN
58,Büchi,Renate,SP,JA
83,Bürgin,Yvonne,CVP,NEIN
154,Burtscher,Rochus,SVP,JA
7,Bussmann,Barbara,SP,JA
13,Bütikofer,Kaspar,AL,NEIN
115,Camenisch,Linda,FDP,--
180,Dalcher,Pierre,SVP,JA
43,Daurù,Andreas,SP,JA
95,Egli,Hans,EDU,NEIN
3,Egli,Karin,SVP,ENTHALTEN
71,Erdin,Andreas,GLP,NEIN
181,Erni,Jonas,SP,JA
130,Farner,Martin,FDP,NEIN
68,Fehr Thoma,Karin,Grüne,NEIN
62,Feldmann,Stefan,SP,JA
149,Fischer,Benjamin,SVP,JA
39,Fischer,Gerhard,EVP,JA
103,Franzen,Barbara,FDP,NEIN
41,Frei,Daniel,SP,JA
151,Frei,Ruth,SVP,JA
160,Frey,Beatrix,FDP,NEIN
142,Furrer,Astrid,FDP,NEIN
138,Fürst,Reinhard,SVP,JA
162,Galliker,Nadja,FDP,NEIN
106,Gantner,Alex,FDP,NEIN
70,Gehrig,Sonja,GLP,ENTHALTEN
105,Geistlich,Andreas,FDP,NEIN
14,Göldi,Hanspeter,SP,JA
33,Gschwind,Benedikt,SP,JA
24,Gugger,Nik,EVP,JA
88,Gut,Astrid,BDP,JA
53,Gutmann,Eva,GLP,NEIN
21,Guyer,Esther,Grüne,NEIN
109,Haab,Martin,SVP,JA
102,Habegger,Beat,FDP,NEIN
143,Hänni,Cäcilia,FDP,NEIN
96,Häring,Hans Peter,EDU,NEIN
74,Hauri,Andreas,GLP,NEIN
127,Hauser,Matthias,SVP,JA
36,Häusler,Edith,Grüne,NEIN
65,Heierli,Daniel,Grüne,NEIN
72,Hodel,Daniel,GLP,NEIN
15,Hoesch,Felix,SP,JA
176,Hofer,Jacqueline,SVP,JA
144,Hofmann,Olivier Moïse,FDP,NEIN
67,Homberger,Max Robert,Grüne,NEIN
155,Huber,Beat,SVP,JA
167,Hübscher,Martin,SVP,JA
38,Hugentobler,Hanspeter,EVP,JA
87,Hunger,Stefan,BDP,JA
12,Huonker,Laura,AL,NEIN
121,Isler,René,SVP,ENTHALTEN
99,Jäger,Alexander,FDP,NEIN
46,Joss,Rosmarie,SP,JA
48,Kaeser,Regula,Grüne,NEIN
32,Katumba,Andrew,SP,JA
081,Keller,Cornelia,BDP,JA
124,Keller,Rolando,SVP,JA
3a,Kläy,Dieter,FDP,NEIN
097,Koller,Prisca,FDP,NEIN
128,Krebs,Beatrice,FDP,NEIN
129,Kull,Katharina,FDP,NEIN
159,Kündig,Jörg,FDP,NEIN
091,Kutter,Philipp,CVP,NEIN
063,Lais,Ruedi,SP,JA
139,Langhard,Walter,SVP,JA
178,Langhart,Konrad,SVP,JA
076,Lenggenhager,Marcel,BDP,JA
119,Leuenberger,Susanne,SVP,JA
152,Liebi,Roger,SVP,JA
027,Loss,Davide,SP,JA
137,Lucek,Christian,SVP,JA
075,Mäder,Jörg,GLP,ENTHALTEN
022,Margreiter,Ralf,Grüne,NEIN
064,Marthaler,Thomas,SP,JA
017,Marti,Sibylle,SP,--
008,Matter,Sylvie,SP,JA
061,Meier,Esther,SP,JA
093,Meier,Peter,EDU,NEIN
023,Meier,Walter,EVP,JA
153,Mettler,Christian,SVP,JA
029,Meyer,Mattea,SP,JA
168,Moor,Ursula,SVP,JA
098,Müller,André,FDP,NEIN
104,Müller,Christian,FDP,NEIN
031,Munz,Roland,SP,JA
035,Neukom,Martin,Grüne,NEIN
182,Peter,Jacqueline,SP,JA
051,Petri,Gabi,Grüne,NEIN
