platz,nachname,vorname,partei,stimme
030,Ackermann,Pia,SP,JA
082,Ackermann,Ruth,CVP,JA
042,Agosti Monn,Theres,SP,JA
089,Albanese,Franco,CVP,ENTHALTEN
114,Amacker,Bruno,SVP,JA
126,Amrein,Hans-Peter,SVP,ENTHALTEN
110,Arnold,Martin,SVP,ENTHALTEN
140,Bachmann,Ernst,SVP,--
163,Balmer,Bettina,FDP,JA
171,Bär,Hansruedi,SVP,ENTHALTEN
010,Barrile,Angelo,SP,JA
057,Bartal,Isabel,SP,JA
086,Bellaiche,Judith,GLP,JA
165,Bender,André,SVP,ENTHALTEN
161,Berger,Antoine,FDP,JA
131,Biber,Michael,FDP,JA
020,Bischoff,Markus,AL,JA
049,Bloch,Beat,CSP,JA
147,Boesch,Hans-Jakob,FDP,JA
123,Bollinger,Erich,SVP,--
173,Bonato,Diego,SVP,JA
111,Borer,Anita,SVP,JA
080,Brazerol,Rico,BDP,JA
146,Brunner,Hans-Peter,FDP,JA
034,Brunner,Robert,Grüne,JA
058,Büchi,Renate,SP,JA
083,Bürgin,Yvonne,CVP,JA
154,Burtscher,Rochus,SVP,ENTHALTEN
007,Bussmann,Barbara,SP,JA
013,Bütikofer,Kaspar,AL,JA
115,Camenisch,Linda,FDP,--
180,Dalcher,Pierre,SVP,ENTHALTEN
43,Daurù,Andreas,SP,JA
95,Egli,Hans,EDU,JA
3,Egli,Karin,SVP,JA
71,Erdin,Andreas,GLP,JA
181,Erni,Jonas,SP,JA
130,Farner,Martin,FDP,--
68,Fehr Thoma,Karin,Grüne,JA
62,Feldmann,Stefan,SP,--
149,Fischer,Benjamin,SVP,ENTHALTEN
39,Fischer,Gerhard,EVP,JA
103,Franzen,Barbara,FDP,JA
41,Frei,Daniel,SP,JA
151,Frei,Ruth,SVP,JA
160,Frey,Beatrix,FDP,JA
142,Furrer,Astrid,FDP,JA
138,Fürst,Reinhard,SVP,ENTHALTEN
162,Galliker,Nadja,FDP,JA
106,Gantner,Alex,FDP,--
70,Gehrig,Sonja,GLP,JA
105,Geistlich,Andreas,FDP,--
14,Göldi,Hanspeter,SP,JA
33,Gschwind,Benedikt,SP,JA
24,Gugger,Nik,EVP,JA
88,Gut,Astrid,BDP,JA
53,Gutmann,Eva,GLP,JA
21,Guyer,Esther,Grüne,JA
109,Haab,Martin,SVP,JA
102,Habegger,Beat,FDP,JA
143,Hänni,Cäcilia,FDP,JA
96,Häring,Hans Peter,EDU,JA
74,Hauri,Andreas,GLP,JA
127,Hauser,Matthias,SVP,ENTHALTEN
36,Häusler,Edith,Grüne,JA
65,Heierli,Daniel,Grüne,JA
72,Hodel,Daniel,GLP,JA
15,Hoesch,Felix,SP,JA
176,Hofer,Jacqueline,SVP,ENTHALTEN
144,Hofmann,Olivier Moïse,FDP,JA
67,Homberger,Max Robert,Grüne,JA
155,Huber,Beat,SVP,ENTHALTEN
167,Hübscher,Martin,SVP,ENTHALTEN
87,Hunger,Stefan,BDP,JA
12,Huonker,Laura,AL,JA
121,Isler,René,SVP,ENTHALTEN
99,Jäger,Alexander,FDP,JA
46,Joss,Rosmarie,SP,JA
48,Kaeser,Regula,Grüne,JA
32,Katumba,Andrew,SP,JA
81,Keller,Cornelia,BDP,JA
124,Keller,Rolando,SVP,--
3a,Kläy,Dieter,FDP,JA
097,Koller,Prisca,FDP,JA
128,Krebs,Beatrice,FDP,JA
129,Kull,Katharina,FDP,JA
159,Kündig,Jörg,FDP,JA
091,Kutter,Philipp,CVP,JA
063,Lais,Ruedi,SP,--
139,Langhard,Walter,SVP,ENTHALTEN
178,Langhart,Konrad,SVP,ENTHALTEN
076,Lenggenhager,Marcel,BDP,--
119,Leuenberger,Susanne,SVP,ENTHALTEN
152,Liebi,Roger,SVP,ENTHALTEN
027,Loss,Davide,SP,JA
137,Lucek,Christian,SVP,ENTHALTEN
075,Mäder,Jörg,GLP,JA
022,Margreiter,Ralf,Grüne,JA
064,Marthaler,Thomas,SP,JA
017,Marti,Sibylle,SP,JA
008,Matter,Sylvie,SP,JA
061,Meier,Esther,SP,JA
093,Meier,Peter,EDU,JA
023,Meier,Walter,EVP,JA
153,Mettler,Christian,SVP,ENTHALTEN
029,Meyer,Mattea,SP,JA
168,Moor,Ursula,SVP,ENTHALTEN
098,Müller,André,FDP,JA
104,Müller,Christian,FDP,JA
031,Munz,Roland,SP,--
035,Neukom,Martin,Grüne,JA
182,Peter,Jacqueline,SP,JA
051,Petri,Gabi,Grüne,JA
166,Pflugshaupt,Elisabeth,SVP,ENTHALTEN
084,Pinto,Jean-Philippe,CVP,ENTHALTEN
133,Preisig,Peter,SVP,ENTHALTEN
157,Raths,Hans Heinrich,SVP,ENTHALTEN
