platz,nachname,vorname,partei,stimme
30,Ackermann,Pia,SP,--
31,Akanji,Sarah,SP,NEIN
177,Albanese,Franco,SVP,NEIN
103,Ackermann,Ruth,CVP,NEIN
42,Agosti,Theres,SP,NEIN
54,Alder,Ronald,GLP,JA
126,Amrein,Hans-Peter,SVP,NEIN
162,Balmer,Bettina,FDP,NEIN
140,Bamert,Ueli,SVP,NEIN
81,Barmettler,Franziska,GLP,JA
57,Bartal,Isabel,SP,NEIN
9,Bärtschiger,Markus,SP,NEIN
86,Bellaiche,Judith,GLP,JA
168,Bender,André,SVP,NEIN
11,Berner,Melanie,AL,--
128,Biber,Michael,FDP,NEIN
20,Bischoff,Markus,AL,NEIN
22,Bloch,Beat,Grüne,NEIN
173,Bonato,Diego,SVP,NEIN
124,Bossert,Sandra,SVP,NEIN
129,Bourgeois,Marc,FDP,NEIN
17,Brandenberger,Harry,SP,NEIN
159,Brunner,Hans-Peter,FDP,NEIN
34,Brunner,Robert,Grüne,NEIN
101,Bürgin,Yvonne,CVP,--
155,Burtscher,Rochus,SVP,NEIN
49,Büsser,Jeanette,Grüne,NEIN
13,Bütikofer,Kaspar,AL,NEIN
115,Camenisch,Linda,FDP,NEIN
44,Columberg,Leandra,SP,NEIN
083,Cometta-Müller,Katrin,GLP,JA
4,Dalcher,Pierre,SVP,NEIN
41,Daurù,Andreas,SP,NEIN
51,Dietschi,Urs,Grüne,NEIN
29,Dünki,Michèle,SP,NEIN
70,Dürr,Renate,Grüne,NEIN
134,Egli,Hans,EDU,NEIN
181,Erni,Jonas,SP,NEIN
147,Etter-Gick,Carola,FDP,NEIN
100,Farner,Martin,FDP,NEIN
110,Fehr Düsel,Nina,SVP,--
37,Fehr,Karin,Grüne,NEIN
148,Fehr,Raffaela,FDP,NEIN
62,Feldmann,Stefan,SP,NEIN
111,Finsler,Hans,SVP,--
150,Fischer,Benjamin,SVP,NEIN
65,Forrer,Thomas,Grüne,NEIN
130,Franzen,Barbara,FDP,NEIN
158,Frey-Eigenmann,Beatrix,FDP,NEIN
143,Furrer,Astrid,FDP,NEIN
67,Galeuchet,David,Grüne,NEIN
105,Gantner,Alex,FDP,NEIN
26,Gehrig,Sonja,GLP,JA
160,Geistlich,Andreas,FDP,--
75,Gisler,Andrea,GLP,JA
14,Göldi,Hanspeter,SP,NEIN
71,Gredig,Corina,GLP,ENTHALTEN
136,Grüter,Barbara,SVP,NEIN
93,Günthard,Barbara,EVP,NEIN
21,Guyer,Esther,Grüne,NEIN
161,Habegger,Beat,FDP,NEIN
152,Habicher,Lorenz,SVP,NEIN
69,Hans,Urs,Grüne,NEIN
55,Hasler,Andreas,GLP,JA
91,Häuptli,Daniel,GLP,JA
127,Hauser,Matthias,SVP,NEIN
36,Häusler,Edith,Grüne,NEIN
52,Heierli,Daniel,Grüne,NEIN
