platz,nachname,vorname,partei,stimme
103,Albanese,Franco,CVP,JA
78,Albrecht,Verena,BDP,NEIN
125,Amacker,Bruno,SVP,NEIN
126,Amrein,Hans-Peter,SVP,NEIN
110,Arnold,Martin,SVP,NEIN
140,Bachmann,Ernst,SVP,--
171,Bär,Hansruedi,SVP,NEIN
10,Barrile,Angelo,SP,JA
124,Bartholdi,Roger,SVP,NEIN
75,Bellaiche,Judith,GLP,NEIN
13,Bischoff,Markus,AL,NEIN
20,Bloch,Beat,CSP,NEIN
123,Bollinger,Erich,SVP,NEIN
111,Borer,Anita,SVP,NEIN
79,Brazerol,Rico,BDP,NEIN
34,Brunner,Robert,Grüne,NEIN
48,Bucher-Steinegger,Heidi,Grüne,NEIN
58,Büchi-Wild,Renate,SP,JA
184,Burlet,Marcel,SP,JA
154,Burtscher,Rochus,SVP,NEIN
5,Bussmann,Barbara,SP,JA
12,Bütikofer,Kaspar,AL,NEIN
116,Camenisch,Linda,FDP,JA
161,Clerici,Max F.,FDP,--
179,Dalcher,Pierrre,SVP,NEIN
43,Daurù,Andreas,SP,JA
4,Egg,Bernhard,SP,JA
99,Egli,Hans,EDU,NEIN
149,Egli,Karin,SVP,NEIN
42,Egli,Ursina,SP,JA
071,Erdin,Andreas,GLP,NEIN
130,Farner,Martin,FDP,NEIN
145,Feit,Leila,FDP,NEIN
62,Feldmann,Stefan,SP,JA
81,Fenner,Bruno,BDP,NEIN
66,Ferro,Ornella,Grüne,NEIN
82,Fischer,Gerhard,EVP,NEIN
152,Frei-Baumann,Ruth,SVP,NEIN
178,Frei,Hans,SVP,NEIN
164,Frey,Beatrix,FDP,NEIN
138,Fürst,Reinhard,SVP,NEIN
117,Gantner,Alex,FDP,NEIN
24,Geilinger,Martin,Grüne,--
147,Geistlich,Andreas,FDP,--
27,Gerber Rüegg,Julia,SP,NEIN
30,Göldi,Hanspeter,SP,JA
47,Golta,Raphael,SP,JA
17,Gschwind,Benedikt,SP,JA
54,Gutknecht,René,GLP,NEIN
86,Gutmann,Eva,GLP,NEIN
21,Guyer,Esther,Grüne,NEIN
109,Haab,Martin,SVP,NEIN
134,Habicher,Lorenz,SVP,NEIN
96,Hächler,Patrick,CVP,JA
169,Haderer,Willy,SVP,NEIN
50,Hans,Urs,Grüne,NEIN
100,Häring,Hans Peter,EDU,NEIN
25,Hasler,Andreas,GLP,NEIN
176,Haug,Hanspeter,SVP,NEIN
74,Hauri,Andreas,GLP,NEIN
127,Hauser,Matthias,SVP,NEIN
69,Häusler,Edith,Grüne,NEIN
18,Heuberger,Catherine,SP,JA
151,Heusser,Hans-Heinrich,SVP,NEIN
23,Hildebrand,Esther,Grüne,NEIN
72,Hodel,Daniel,GLP,NEIN
175,Hofer,Jacqueline,SVP,NEIN
131,Hofmann,Olivier,FDP,JA
104,Holenstein,Christoph,CVP,JA
67,Homberger,Max,Grüne,NEIN
155,Huber,Beat,SVP,NEIN
87,Huber,Stefanie,GLP,--
49,Hübscher,Lilith Claudia,Grüne,NEIN
76,Hunger,Stefan,BDP,NEIN
121,Isler,René,SVP,NEIN
167,Isliker,Walter,SVP,--
2,Johner,Brigitta,FDP,NEIN
16,Joss,Rosmarie,SP,JA
51,Kaeser,Regula,Grüne,NEIN
77,Keller,Cornelia,BDP,NEIN
128,Kläy,Dieter,FDP,NEIN
088,Kleiber-Schenkel,Ruth,EVP,NEIN
129,Kull-Benz,Katharina,FDP,NEIN
162,Kündig,Jörg,FDP,NEIN
101,Kutter,Philipp,CVP,JA
095,Kyburz,Heinz,EDU,--
063,Lais,Ruedi,SP,JA
007,Lalli,Emy,SP,JA
139,Langhard,Walter,SVP,NEIN
174,Langhart,Konrad,SVP,NEIN
065,Läubli,Hans,Grüne,NEIN
106,Lauffer,Urs,FDP,NEIN
080,Lenggenhager,Marcel,BDP,NEIN
045,Loss,Davide,SP,JA
137,Lucek,Christian,SVP,NEIN
026,Mäder,Jörg,GLP,--
015,Maeder-Zuberbühler,Karin,SP,JA
022,Margreiter,Ralf,Grüne,NEIN
181,Marthaler,Thomas,SP,JA
036,Marti,Res,Grüne,NEIN
201,Mauchle,Thea,SP,JA
170,Menzi,Ruedi,SVP,NEIN
153,Mettler,Christian,SVP,NEIN
029,Meyer,Mattea,SP,JA
168,Moor-Schwarz,Ursula,SVP,NEIN
031,Munz,Roland,SP,--
037,Petri,Gabi,Grüne,NEIN
093,Pinto,Jean-Philippe,CVP,JA
142,Portmann,Hans-Peter,FDP,NEIN
133,Preisig,Peter,SVP,--
157,Raths,Hans Heinrich,SVP,NEIN
019,Redzic,Alma,Grüne,NEIN
091,Reinhard,Peter,EVP,NEIN
156,Rinderknecht,Margreth,SVP,NEIN
090,Ritschard,Peter,EVP,NEIN
068,Rohweder-Lischer,Maria,Grüne,NEIN
014,Rusca Speck,Susanna,SP,JA
107,Sauter,Regine,FDP,NEIN
083,Schaaf,Markus,EVP,NEIN
053,Schaffner,Barbara,GLP,NEIN
173,Scheck,Roland,SVP,NEIN
085,Scherrer,Benno,GLP,NEIN
115,Scherrer,Werner,FDP,NEIN
120,Schmid,Claudio,SVP,--
105,Schmid,Lorenz,CVP,JA
3a,Schmid,Roman,SVP,NEIN
112,Schneebeli,Jakob,SVP,NEIN
089,Schoch,Walter,EVP,NEIN
146,Schwab,Daniel,FDP,NEIN
052,Schwarzenbach,Benjamin,GLP,NEIN
009,Seiler Graf,Priska,SP,JA
061,Seiz-Gut,Silvia,SP,JA
180,Senn,Yves,SVP,NEIN
057,Serra,Jorge,SP,JA
059,Sieber,Sabine,SP,JA
183,Späth,Markus,SP,JA
060,Spillmann,Moritz,SP,JA
032,Spring,Monika,SP,JA
136,Steinemann,Barbara,SVP,NEIN
028,Steiner,Rolf,SP,JA
092,Steiner,Silvia,CVP,JA
172,Steinmann,Armin,SVP,NEIN
011,Stofer,Judith,AL,NEIN
148,Stucker,Rolf,SVP,NEIN
008,Stutz,Peter,SP,JA
166,Sulser,Jürg,SVP,NEIN
114,Suter,Arnold,SVP,NEIN
102,Thomet-Bürki,Corinne,CVP,JA
108,Trachsel,Jürg,SVP,NEIN
150,Uhlmann,Peter,SVP,NEIN
158,Vogel,Thomas,FDP,NEIN
118,Vogt,Hans-Ueli,SVP,NEIN
070,von Planta,Cyrill,GLP,NEIN
094,Vontobel,Erich,EDU,NEIN
056,Wahlen,Denise,GLP,NEIN
160,Walker Späh,Carmen,FDP,NEIN
001,Walliser,Bruno,SVP,--
159,Walti,Beat,FDP,NEIN
055,Walti,Rahel,GLP,NEIN
003,Weber-Gachnang,Theresia,SVP,NEIN
143,Weibel,Katharina,FDP,NEIN
098,Welz,Michael,EDU,NEIN
163,Wettstein,Sabine,FDP,NEIN
046,Widmer,Céline,SP,JA
097,Wiederkehr,Josef,CVP,JA
038,Wiesner,Hans,GLP,NEIN
144,Winkler,Gabriela,FDP,NEIN
073,Wirth,Thomas,GLP,NEIN
035,Wolf,Andreas,Grüne,NEIN
119,Wuhrmann,Heinrich,SVP,NEIN
141,Wyss,Orlando,SVP,NEIN
135,Zanetti,Claudio,SVP,NEIN
040,Zeugin,Michael,GLP,--
039,Ziegler,Christoph,GLP,NEIN
033,Ziegler,Sabine,SP,JA
041,Ziltener,Erika,SP,JA
122,Zimmermann,Rolf Robert,SVP,NEIN
084,Zollinger,Johannes,EVP,NEIN
132,Zuber,Martin,SVP,NEIN
113,Züllig,Hansueli,SVP,NEIN
