platz,nachname,vorname,partei,stimme
30,Ackermann,Pia,SP,JA
82,Ackermann,Ruth,CVP,JA
42,Agosti Monn,Theres,SP,JA
89,Albanese,Franco,CVP,--
114,Amacker,Bruno,SVP,--
126,Amrein,Hans-Peter,SVP,--
110,Arnold,Martin,SVP,--
140,Bachmann,Ernst,SVP,--
163,Balmer,Bettina,FDP,JA
171,Bär,Hansruedi,SVP,--
57,Bartal,Isabel,SP,JA
86,Bellaiche,Judith,GLP,--
165,Bender,André,SVP,--
161,Berger,Antoine,FDP,JA
129,Biber,Michael,FDP,JA
20,Bischoff,Markus,AL,--
49,Bloch,Beat,CSP,JA
147,Boesch,Hans-Jakob,FDP,JA
135,Bollinger,Erich,SVP,--
173,Bonato,Diego,SVP,--
111,Borer,Anita,SVP,--
130,Bourgeois,Marc,FDP,--
80,Brazerol,Rico,BDP,--
146,Brunner,Hans-Peter,FDP,JA
34,Brunner,Robert,Grüne,JA
58,Büchi,Renate,SP,JA
83,Bürgin,Yvonne,CVP,JA
154,Burtscher,Rochus,SVP,--
7,Bussmann,Barbara,SP,JA
13,Bütikofer,Kaspar,AL,--
115,Camenisch,Linda,FDP,JA
180,Dalcher,Pierre,SVP,--
43,Daurù,Andreas,SP,JA
29,Dünki,Michèle,SP,JA
95,Egli,Hans,EDU,JA
3,Egli,Karin,SVP,--
71,Erdin,Andreas,GLP,--
181,Erni,Jonas,SP,JA
101,Farner,Martin,FDP,--
118,Fehr Düsel,Nina,SVP,--
68,Fehr Thoma,Karin,Grüne,JA
62,Feldmann,Stefan,SP,JA
87,Fenner,Bruno,BDP,--
149,Fischer,Benjamin,SVP,--
39,Fischer,Gerhard,EVP,JA
103,Franzen,Barbara,FDP,JA
41,Frei,Daniel,SP,JA
151,Frei,Ruth,SVP,--
160,Frey,Beatrix,FDP,JA
142,Furrer,Astrid,FDP,--
112,Fürst,Reinhard,SVP,--
162,Galliker,Nadja,FDP,JA
106,Gantner,Alex,FDP,JA
70,Gehrig,Sonja,GLP,JA
105,Geistlich,Andreas,FDP,JA
14,Göldi,Hanspeter,SP,JA
33,Gschwind,Benedikt,SP,JA
24,Gugger,Nik,EVP,--
88,Gut,Astrid,BDP,JA
21,Guyer,Esther,Grüne,--
109,Haab,Martin,SVP,--
102,Habegger,Beat,FDP,JA
93,Häni,Peter,EDU,JA
143,Hänni,Cäcilia,FDP,JA
96,Häring,Hans Peter,EDU,JA
53,Häuptli,Daniel,GLP,JA
74,Hauri,Andreas,GLP,JA
127,Hauser,Matthias,SVP,--
36,Häusler,Edith,Grüne,JA
65,Heierli,Daniel,Grüne,JA
72,Hodel,Daniel,GLP,JA
15,Hoesch,Felix,SP,JA
176,Hofer,Jacqueline,SVP,--
138,Hoffmann,Benedikt,SVP,--
144,Hofmann,Olivier,FDP,JA
67,Homberger,Max Robert,Grüne,JA
155,Huber,Beat,SVP,--
167,Hübscher,Martin,SVP,--
38,Hugentobler,Hanspeter,EVP,JA
12,Huonker,Laura,AL,--
124,Hurter,Christian,SVP,--
121,Isler,René,SVP,--
099,Jäger,Alexander,FDP,JA
046,Joss,Rosmarie,SP,JA
048,Kaeser,Regula,Grüne,JA
032,Katumba,Andrew,SP,JA
081,Keller,Cornelia,BDP,--
123,Keller,Rolando,SVP,--
3a,Kläy,Dieter,FDP,JA
097,Koller,Prisca,FDP,JA
128,Kull,Katharina,FDP,--
159,Kündig,Jörg,FDP,JA
091,Kutter,Philipp,CVP,JA
063,Lais,Ruedi,SP,JA
010,Langenegger,Tobias,SP,JA
139,Langhard,Walter,SVP,--
178,Langhart,Konrad,SVP,--
076,Lenggenhager,Marcel,BDP,--
119,Leuenberger,Susanne,SVP,--
152,Liebi,Roger,SVP,--
027,Loss,Davide,SP,JA
136,Lucek,Christian,SVP,--
075,Mäder,Jörg,GLP,JA
022,Margreiter,Ralf,Grüne,JA
064,Marthaler,Thomas,SP,JA
017,Marti,Sibylle,SP,JA
008,Matter,Sylvie,SP,JA
061,Meier,Esther,SP,JA
023,Meier,Walter,EVP,JA
153,Mettler,Christian,SVP,--
122,Mischol,Tumasch,SVP,--
168,Moor,Ursula,SVP,--
098,Müller,André,FDP,JA
104,Müller,Christian,FDP,JA
