platz,nachname,vorname,partei,stimme
30,Ackermann,Pia,SP,JA
103,Ackermann,Ruth,CVP,--
42,Agosti,Theres,SP,JA
31,Akanji,Sarah,SP,--
177,Albanese,Franco,SVP,--
54,Alder,Ronald,GLP,--
126,Amrein,Hans-Peter,SVP,--
162,Balmer,Bettina,FDP,--
140,Bamert,Ueli,SVP,--
81,Barmettler,Franziska,GLP,--
57,Barthal,Isabel,SP,JA
9,Bärtschiger,Markus,SP,JA
86,Bellaiche,Judith,GLP,--
168,Bender,André,SVP,--
11,Berner,Melanie,AL,--
128,Biber,Michael,FDP,--
20,Bischoff,Markus,AL,JA
22,Bloch,Beat,Grüne,JA
173,Bonato,Diego,SVP,--
124,Bossert,Sandra,SVP,--
129,Bourgeois,Marc,FDP,--
17,Brandenberger,Harry,SP,JA
159,Brunner,Hans-Peter,FDP,--
34,Brunner,Robert,Grüne,JA
101,Bürgin,Yvonne,CVP,--
155,Burtscher,Rochus,SVP,--
49,Büsser,Jeanette,Grüne,JA
13,Bütikofer,Kaspar,AL,JA
115,Camenisch,Linda,FDP,--
44,Columberg,Leandra,SP,JA
083,Cometta-Müller,Katrin,GLP,--
4,Dalcher,Pierre,SVP,--
41,Daurù,Andreas,SP,JA
51,Dietschi,Urs,Grüne,JA
29,Dünki,Michèle,SP,JA
70,Dürr,Renate,Grüne,JA
134,Egli,Hans,EDU,--
181,Erni,Jonas,SP,JA
147,Etter-Gick,Carola,FDP,--
100,Farner,Martin,FDP,--
110,Fehr Düsel,Nina,SVP,--
37,Fehr,Karin,Grüne,JA
148,Fehr,Raffaela,FDP,--
62,Feldmann,Stefan,SP,JA
150,Fischer,Benjamin,SVP,--
65,Forrer,Thomas,Grüne,--
130,Franzen,Barbara,FDP,--
158,Frey-Eigenmann,Beatrix,FDP,--
143,Furrer,Astrid,FDP,--
67,Galeuchet,David,Grüne,--
105,Gantner,Alex,FDP,--
26,Gehrig,Sonja,GLP,--
160,Geistlich,Andreas,FDP,--
75,Gisler,Andrea,GLP,--
14,Göldi,Hanspeter,SP,JA
71,Gredig,Corina,GLP,--
136,Grüter,Barbara,SVP,--
93,Günthard,Barbara,EVP,--
21,Guyer,Esther,Grüne,--
111,Haab,Martin,SVP,--
161,Habegger,Beat,FDP,--
152,Habicher,Lorenz,SVP,--
69,Hans,Urs,Grüne,JA
55,Hasler,Andreas,GLP,--
91,Häuptli,Daniel,GLP,--
127,Hauser,Matthias,SVP,--
36,Häusler,Edith,Grüne,JA
52,Heierli,Daniel,Grüne,JA
72,Hodel,Daniel,GLP,--
15,Hoesch,Felix,SP,JA
176,Hofer,Jacqueline,SVP,--
180,Hoffmann,Benedikt,SVP,--
39,Hollenstein,Claudia,GLP,--
123,Honegger,Walter,SVP,--
89,Huber,Stefanie,GLP,--
156,Huber,Beat,SVP,--
165,Huber,Martin,FDP,--
151,Hübscher,Martin,SVP,--
78,Hugentobler,Hanspeter,EVP,--
12,Huonker,Laura,AL,JA
121,Isler,René,SVP,--
145,Jäger,Alexander,FDP,--
46,Joss,Rosmarie,SP,JA
38,Kampus,Manuel,Grüne,JA
32,Katumba,Andrew,SP,JA
1,Kläy,Dieter,FDP,--
142,Kündig,Jörg,FDP,--
63,Lais,Ruedi,SP,JA
119,Lamprecht,Thomas,EDU,--
112,Landmann,Valentin,SVP,--
33,Langenegger,Tobias,SP,JA
178,Langhart,Konrad,SVP,--
167,Ledergerber,Domenik,SVP,--
27,Loss,Davide,SP,JA
135,Lucek,Christian,SVP,--
40,Mäder,Jörg,GLP,--
76,Mani,Tobias,EVP,--
183,Marthaler,Thomas,SP,JA
7,Marti,Sybille,SP,JA
184,Marty Fässler,Carmen,SP,JA
133,Marty,Maria Rita,SVP,--
185,Matter,Sylvie,SP,JA
174,Mayer,Paul,SVP,--
132,Meier,Doris,FDP,--
59,Meier,Esther,SP,JA
66,Meier,Florian,Grüne,JA
95,Meier,Walter,EVP,--
153,Mettler,Christian,SVP,--
94,Monhart,Beat,EVP,--
163,Moser-Schäfer,Arianne,FDP,--
146,Müller,André,FDP,--
117,Müller,Christian,FDP,--
131,Müller,Fabian,FDP,--
53,Petri,Gabi,Grüne,JA
64,Pfalzgraf,Hannah,SP,JA
24,Pfändler,Stefanie,Grüne,JA
179,Pfister,Ulrich,SVP,--
169,Pflugshaupt,Elisabeth,SVP,--
96,Pinto,Jean-Philippe,CVP,--
23,Pokerschnig,Jasmine,Grüne,JA
50,Rigoni,Silvia,Grüne,JA
137,Rinderknecht,Daniela,SVP,--
172,Rogenmoser,Romaine,SVP,--
118,Romero,Angie,FDP,--
61,Röösli,Brigitte,SP,JA
116,Rueff,Sonja,FDP,--
10,Sadriu,Qëndresa,SP,JA
18,Sahli,Manuel,AL,JA
82,Sanesi-Muri,Monica,GLP,--
79,Schaaf,Markus,EVP,--
80,Schaffner,Barbara,GLP,--
157,Scheck,Roland,SVP,--
003,Scherrer,Benno,GLP,--
154,Schick,Peter,SVP,--
035,Schlatter,Marionna,Grüne,JA
088,Schlauri,Simon,GLP,--
108,Schmid,Claudio,SVP,--
099,Schmid,Lorenz,CVP,--
002,Schmid,Roman,SVP,--
109,Schmid,Stefan,SVP,--
025,Schneider,Meret,Grüne,--
144,Schucan,Christian,FDP,--
068,Schweizer,Thomas,Grüne,JA
008,Siegrist,Nicola,SP,JA
092,Sommer,Daniel,EVP,--
047,Späth,Markus,SP,JA
048,Steiner,Kathy,Grüne,JA
028,Steiner,Rafael,SP,JA
019,Stofer,Judith,AL,JA
058,Straub,Esther,SP,JA
090,Stünzi,Christa,GLP,--
