platz,nachname,vorname,partei,stimme
30,Ackermann,Pia,SP,NEIN
31,Akanji,Sarah,SP,NEIN
177,Albanese,Franco,SVP,JA
103,Ackermann,Ruth,CVP,JA
42,Agosti,Theres,SP,NEIN
54,Alder,Ronald,GLP,NEIN
126,Amrein,Hans-Peter,SVP,JA
162,Balmer,Bettina,FDP,ENTHALTEN
140,Bamert,Ueli,SVP,JA
81,Barmettler,Franziska,GLP,NEIN
57,Bartal,Isabel,SP,NEIN
9,Bärtschiger,Markus,SP,NEIN
86,Bellaiche,Judith,GLP,NEIN
168,Bender,André,SVP,JA
11,Berner,Melanie,AL,NEIN
128,Biber,Michael,FDP,ENTHALTEN
20,Bischoff,Markus,AL,NEIN
22,Bloch,Beat,Grüne,NEIN
173,Bonato,Diego,SVP,JA
124,Bossert,Sandra,SVP,JA
129,Bourgeois,Marc,FDP,ENTHALTEN
17,Brandenberger,Harry,SP,NEIN
159,Brunner,Hans-Peter,FDP,ENTHALTEN
34,Brunner,Robert,Grüne,NEIN
101,Bürgin,Yvonne,CVP,JA
155,Burtscher,Rochus,SVP,JA
49,Büsser,Jeanette,Grüne,NEIN
13,Bütikofer,Kaspar,AL,NEIN
115,Camenisch,Linda,FDP,JA
44,Columberg,Leandra,SP,NEIN
083,Cometta-Müller,Katrin,GLP,NEIN
4,Dalcher,Pierre,SVP,JA
41,Daurù,Andreas,SP,NEIN
51,Dietschi,Urs,Grüne,NEIN
29,Dünki,Michèle,SP,NEIN
70,Dürr,Renate,Grüne,NEIN
134,Egli,Hans,EDU,JA
181,Erni,Jonas,SP,NEIN
147,Etter-Gick,Carola,FDP,ENTHALTEN
100,Farner,Martin,FDP,ENTHALTEN
110,Fehr Düsel,Nina,SVP,JA
37,Fehr,Karin,Grüne,NEIN
148,Fehr,Raffaela,FDP,ENTHALTEN
62,Feldmann,Stefan,SP,NEIN
111,Finsler,Hans,SVP,JA
150,Fischer,Benjamin,SVP,JA
65,Forrer,Thomas,Grüne,NEIN
130,Franzen,Barbara,FDP,ENTHALTEN
158,Frey-Eigenmann,Beatrix,FDP,ENTHALTEN
143,Furrer,Astrid,FDP,ENTHALTEN
67,Galeuchet,David,Grüne,NEIN
105,Gantner,Alex,FDP,ENTHALTEN
26,Gehrig,Sonja,GLP,NEIN
160,Geistlich,Andreas,FDP,JA
75,Gisler,Andrea,GLP,NEIN
14,Göldi,Hanspeter,SP,NEIN
71,Gredig,Corina,GLP,NEIN
136,Grüter,Barbara,SVP,--
93,Günthard,Barbara,EVP,NEIN
21,Guyer,Esther,Grüne,NEIN
161,Habegger,Beat,FDP,JA
152,Habicher,Lorenz,SVP,JA
69,Hans,Urs,Grüne,NEIN
55,Hasler,Andreas,GLP,NEIN
91,Häuptli,Daniel,GLP,NEIN
127,Hauser,Matthias,SVP,JA
36,Häusler,Edith,Grüne,NEIN
52,Heierli,Daniel,Grüne,NEIN
72,Hodel,Daniel,GLP,NEIN
15,Hoesch,Felix,SP,NEIN
176,Hofer,Jacqueline,SVP,JA
180,Hoffmann,Benedikt,SVP,JA
39,Hollenstein,Claudia,GLP,NEIN
123,Honegger,Walter,SVP,JA
89,Huber,Stefanie,GLP,NEIN
156,Huber,Beat,SVP,JA
165,Huber,Martin,FDP,ENTHALTEN
151,Hübscher,Martin,SVP,JA
78,Hugentobler,Hanspeter,EVP,NEIN
12,Huonker,Laura,AL,NEIN
121,Isler,René,SVP,JA
145,Jäger,Alexander,FDP,ENTHALTEN
46,Joss,Rosmarie,SP,NEIN
38,Kampus,Manuel,Grüne,NEIN
32,Katumba,Andrew,SP,NEIN
1,Kläy,Dieter,FDP,--
142,Kündig,Jörg,FDP,ENTHALTEN
24,L'Orange Seigo,Selma,Grüne,NEIN
63,Lais,Ruedi,SP,NEIN
119,Lamprecht,Thomas,EDU,JA
112,Landmann,Valentin,SVP,JA
33,Langenegger,Tobias,SP,NEIN
178,Langhart,Konrad,SVP,JA
167,Ledergerber,Domenik,SVP,JA
27,Loss,Davide,SP,NEIN
135,Lucek,Christian,SVP,JA
40,Mäder,Jörg,GLP,NEIN
76,Mani,Tobias,EVP,NEIN
183,Marthaler,Thomas,SP,NEIN
7,Marti,Sibylle,SP,NEIN
184,Marty Fässler,Carmen,SP,NEIN
133,Marty,Maria Rita,SVP,JA
185,Matter,Sylvie,SP,NEIN
174,Mayer,Paul,SVP,JA
132,Meier,Doris,FDP,ENTHALTEN
59,Meier,Esther,SP,NEIN
66,Meier,Florian,Grüne,NEIN
95,Meier,Walter,EVP,NEIN
153,Mettler,Christian,SVP,JA
94,Monhart,Beat,EVP,NEIN
163,Moser-Schäfer,Arianne,FDP,ENTHALTEN
146,Müller,André,FDP,ENTHALTEN
117,Müller,Christian,FDP,ENTHALTEN
131,Müller,Fabian,FDP,ENTHALTEN
53,Petri,Gabi,Grüne,NEIN
64,Pfalzgraf,Hannah,SP,NEIN
179,Pfister,Ulrich,SVP,JA
169,Pflugshaupt,Elisabeth,SVP,JA
96,Pinto,Jean-Philippe,CVP,JA
23,Pokerschnig,Jasmine,Grüne,NEIN
50,Rigoni,Silvia,Grüne,NEIN
137,Rinderknecht,Daniela,SVP,JA
172,Rogenmoser,Romaine,SVP,JA
118,Romero,Angie,FDP,ENTHALTEN
61,Röösli,Brigitte,SP,NEIN
116,Rueff,Sonja,FDP,JA
10,Sadriu,Qëndresa,SP,NEIN
18,Sahli,Manuel,AL,NEIN
82,Sanesi-Muri,Monica,GLP,NEIN
79,Schaaf,Markus,EVP,NEIN
80,Schaffner,Barbara,GLP,NEIN
157,Scheck,Roland,SVP,JA
003,Scherrer,Benno,GLP,NEIN
154,Schick,Peter,SVP,JA
035,Schlatter,Marionna,Grüne,NEIN
088,Schlauri,Simon,GLP,NEIN
108,Schmid,Claudio,SVP,JA
099,Schmid,Lorenz,CVP,JA
002,Schmid,Roman,SVP,JA
109,Schmid,Stefan,SVP,JA
025,Schneider,Meret,Grüne,NEIN
144,Schucan,Christian,FDP,ENTHALTEN
068,Schweizer,Thomas,Grüne,NEIN
008,Siegrist,Nicola,SP,NEIN
092,Sommer,Daniel,EVP,NEIN
047,Späth,Markus,SP,NEIN
048,Steiner,Kathy,Grüne,NEIN
028,Steiner,Rafael,SP,NEIN
019,Stofer,Judith,AL,NEIN
058,Straub,Esther,SP,NEIN
090,Stünzi,Christa,GLP,NEIN
043,Stüssi,Beatrix,SP,NEIN
170,Sulser,Jürg,SVP,JA
122,Suter,Marcel,SVP,JA
016,Tognella,Birgit,SP,NEIN
114,Truninger,René,SVP,JA
107,Vogel,Thomas,FDP,ENTHALTEN
106,Vollenweider,Peter,FDP,--
125,von Euw,Paul,SVP,JA
074,Von Planta,Cyrill,GLP,NEIN
120,Vontobel,Erich,EDU,JA
175,Wäfler,Daniel,SVP,JA
149,Waser,Urs,SVP,--
164,Weber,Stephan,FDP,ENTHALTEN
139,Weidmann,Tobias,SVP,JA
182,Wicki,Monika,SP,NEIN
097,Widler,Josef,CVP,JA
045,Widmer,Céline,SP,NEIN
102,Wiederkehr,Josef,CVP,JA
073,Wirth,Thomas,GLP,NEIN
077,Wisskirchen,Mark,EVP,NEIN
098,Wydler,Kathrin,CVP,JA
087,Wyss,Cristina,GLP,NEIN
141,Wyss,Orlando,SVP,JA
056,Wyssen,Claudia,GLP,NEIN
113,Zahler,Erika,SVP,JA
104,Zeroual,Farid,CVP,JA
085,Zeugin,Michael,GLP,NEIN
084,Ziegler,Christoph,GLP,NEIN
171,Zurfluh,Christina,SVP,JA
