platz,nachname,vorname,partei,stimme
30.0,Ackermann,Pia,SP,--
103.0,Ackermann,Ruth,CVP,--
42.0,Agosti,Theres,SP,NEIN
31.0,Akanji,Sarah,SP,--
177.0,Albanese,Franco,SVP,--
54.0,Alder,Ronald,GLP,JA
126.0,Amrein,Hans-Peter,SVP,--
162.0,Balmer,Bettina,FDP,--
140.0,Bamert,Ueli,SVP,--
81.0,Barmettler,Franziska,GLP,JA
57.0,Barthal,Isabel,SP,NEIN
9.0,Bärtschiger,Markus,SP,--
86.0,Bellaiche,Judith,GLP,--
168.0,Bender,André,SVP,--
11.0,Berner,Melanie,AL,--
128.0,Biber,Michael,FDP,--
20.0,Bischoff,Markus,AL,JA
22.0,Bloch,Beat,Grüne,JA
173.0,Bonato,Diego,SVP,--
124.0,Bossert,Sandra,SVP,NEIN
129.0,Bourgeois,Marc,FDP,--
17.0,Brandenberger,Harry,SP,ENTHALTEN
159.0,Brunner,Hans-Peter,FDP,--
34.0,Brunner,Robert,Grüne,JA
101.0,Bürgin,Yvonne,CVP,--
155.0,Burtscher,Rochus,SVP,--
49.0,Büsser,Jeanette,Grüne,JA
13.0,Bütikofer,Kaspar,AL,JA
115.0,Camenisch,Linda,FDP,--
44.0,Columberg,Leandra,SP,--
083,Cometta-Müller,Katrin,GLP,--
4,Dalcher,Pierre,SVP,--
41,Daurù,Andreas,SP,--
51,Dietschi,Urs,Grüne,JA
29,Dünki,Michèle,SP,--
70,Dürr,Renate,Grüne,JA
134,Egli,Hans,EDU,JA
181,Erni,Jonas,SP,--
147,Etter-Gick,Carola,FDP,--
100,Farner,Martin,FDP,--
110,Fehr Düsel,Nina,SVP,--
37,Fehr,Karin,Grüne,--
148,Fehr,Raffaela,FDP,--
62,Feldmann,Stefan,SP,--
150,Fischer,Benjamin,SVP,--
65,Forrer,Thomas,Grüne,JA
130,Franzen,Barbara,FDP,--
158,Frey-Eigenmann,Beatrix,FDP,--
143,Furrer,Astrid,FDP,--
67,Galeuchet,David,Grüne,--
105,Gantner,Alex,FDP,--
26,Gehrig,Sonja,GLP,JA
160,Geistlich,Andreas,FDP,--
75,Gisler,Andrea,GLP,JA
14,Göldi,Hanspeter,SP,ENTHALTEN
71,Gredig,Corina,GLP,JA
136,Grüter,Barbara,SVP,--
93,Günthard,Barbara,EVP,--
21,Guyer,Esther,Grüne,JA
111,Haab,Martin,SVP,--
161,Habegger,Beat,FDP,--
152,Habicher,Lorenz,SVP,--
69,Hans,Urs,Grüne,JA
55,Hasler,Andreas,GLP,JA
91,Häuptli,Daniel,GLP,--
127,Hauser,Matthias,SVP,--
36,Häusler,Edith,Grüne,JA
52,Heierli,Daniel,Grüne,JA
72,Hodel,Daniel,GLP,--
15,Hoesch,Felix,SP,--
176,Hofer,Jacqueline,SVP,--
180,Hoffmann,Benedikt,SVP,--
39,Hollenstein,Claudia,GLP,JA
123,Honegger,Walter,SVP,--
89,Huber,Stefanie,GLP,JA
156,Huber,Beat,SVP,--
165,Huber,Martin,FDP,--
151,Hübscher,Martin,SVP,--
78,Hugentobler,Hanspeter,EVP,--
12,Huonker,Laura,AL,JA
121,Isler,René,SVP,--
145,Jäger,Alexander,FDP,--
46,Joss,Rosmarie,SP,--
38,Kampus,Manuel,Grüne,JA
32,Katumba,Andrew,SP,NEIN
1,Kläy,Dieter,FDP,--
142,Kündig,Jörg,FDP,--
63,Lais,Ruedi,SP,--
119,Lamprecht,Thomas,EDU,JA
112,Landmann,Valentin,SVP,--
33,Langenegger,Tobias,SP,ENTHALTEN
178,Langhart,Konrad,SVP,--
167,Ledergerber,Domenik,SVP,--
27,Loss,Davide,SP,ENTHALTEN
135,Lucek,Christian,SVP,--
40,Mäder,Jörg,GLP,JA
76,Mani,Tobias,EVP,--
183,Marthaler,Thomas,SP,--
7,Marti,Sybille,SP,--
184,Marty Fässler,Carmen,SP,NEIN
133,Marty,Maria Rita,SVP,--
185,Matter,Sylvie,SP,--
174,Mayer,Paul,SVP,--
132,Meier,Doris,FDP,--
59,Meier,Esther,SP,--
66,Meier,Florian,Grüne,JA
95,Meier,Walter,EVP,--
153,Mettler,Christian,SVP,--
94,Monhart,Beat,EVP,--
163,Moser-Schäfer,Arianne,FDP,--
146,Müller,André,FDP,--
117,Müller,Christian,FDP,--
131,Müller,Fabian,FDP,--
53,Petri,Gabi,Grüne,JA
64,Pfalzgraf,Hannah,SP,--
24,Pfändler,Stefanie,Grüne,JA
179,Pfister,Ulrich,SVP,--
169,Pflugshaupt,Elisabeth,SVP,--
96,Pinto,Jean-Philippe,CVP,--
23,Pokerschnig,Jasmine,Grüne,JA
50,Rigoni,Silvia,Grüne,JA
137,Rinderknecht,Daniela,SVP,--
172,Rogenmoser,Romaine,SVP,--
118,Romero,Angie,FDP,--
61,Röösli,Brigitte,SP,--
116,Rueff,Sonja,FDP,--
10,Sadriu,Qëndresa,SP,NEIN
18,Sahli,Manuel,AL,JA
82,Sanesi-Muri,Monica,GLP,JA
79,Schaaf,Markus,EVP,--
80,Schaffner,Barbara,GLP,JA
157,Scheck,Roland,SVP,--
003,Scherrer,Benno,GLP,JA
154,Schick,Peter,SVP,--
035,Schlatter,Marionna,Grüne,JA
088,Schlauri,Simon,GLP,JA
108,Schmid,Claudio,SVP,--
099,Schmid,Lorenz,CVP,--
002,Schmid,Roman,SVP,--
109,Schmid,Stefan,SVP,--
025,Schneider,Meret,Grüne,JA
144,Schucan,Christian,FDP,--
068,Schweizer,Thomas,Grüne,JA
008,Siegrist,Nicola,SP,ENTHALTEN
092,Sommer,Daniel,EVP,--
047,Späth,Markus,SP,--
048,Steiner,Kathy,Grüne,JA
028,Steiner,Rafael,SP,--
019,Stofer,Judith,AL,JA
058,Straub,Esther,SP,ENTHALTEN
090,Stünzi,Christa,GLP,JA
043,Stüssi,Beatrix,SP,NEIN
170,Sulser,Jürg,SVP,--
122,Suter,Marcel,SVP,--
016,Tognella,Birgit,SP,--
114,Truninger,René,SVP,--
107,Vogel,Thomas,FDP,--
106,Vollenweider,Peter,FDP,--
125,von Euw,Paul,SVP,NEIN
074,Von Planta,Cyrill,GLP,--
120,Vontobel,Erich,EDU,JA
175,Wäfler,Daniel,SVP,--
149,Waser,Urs,SVP,--
164,Weber,Stephan,FDP,--
139,Weidmann,Tobias,SVP,--
182,Wicki,Monika,SP,NEIN
097,Widler,Josef,CVP,--
045,Widmer,Céline,SP,--
102,Wiederkehr,Josef,CVP,--
073,Wirth,Thomas,GLP,JA
077,Wisskirchen,Mark,EVP,--
098,Wydler,Kathrin,CVP,--
087,Wyss,Cristina,GLP,JA
141,Wyss,Orlando,SVP,--
056,Wyssen,Claudia,GLP,JA
113,Zahler,Erika,SVP,--
104,Zeroual,Farid,CVP,--
085,Zeugin,Michael,GLP,JA
084,Ziegler,Christoph,GLP,JA
171,Zurfluh,Christina,SVP,--
