platz,nachname,vorname,partei,stimme
030,Ackermann,Pia,SP,JA
082,Ackermann,Ruth,CVP,JA
042,Agosti Monn,Theres,SP,JA
089,Albanese,Franco,CVP,JA
114,Amacker,Bruno,SVP,JA
126,Amrein,Hans-Peter,SVP,JA
110,Arnold,Martin,SVP,JA
140,Bachmann,Ernst,SVP,JA
163,Balmer,Bettina,FDP,JA
171,Bär,Hansruedi,SVP,JA
057,Bartal,Isabel,SP,JA
086,Bellaiche,Judith,GLP,--
165,Bender,André,SVP,JA
161,Berger,Antoine,FDP,JA
129,Biber,Michael,FDP,JA
020,Bischoff,Markus,AL,JA
049,Bloch,Beat,CSP,JA
147,Boesch,Hans-Jakob,FDP,JA
135,Bollinger,Erich,SVP,JA
173,Bonato,Diego,SVP,JA
111,Borer,Anita,SVP,JA
130,Bourgeois,Marc,FDP,--
080,Brazerol,Rico,BDP,JA
146,Brunner,Hans-Peter,FDP,JA
034,Brunner,Robert,Grüne,JA
058,Büchi,Renate,SP,--
083,Bürgin,Yvonne,CVP,JA
154,Burtscher,Rochus,SVP,JA
007,Bussmann,Barbara,SP,JA
013,Bütikofer,Kaspar,AL,JA
115,Camenisch,Linda,FDP,JA
180,Dalcher,Pierre,SVP,JA
43,Daurù,Andreas,SP,JA
29,Dünki,Michèle,SP,JA
95,Egli,Hans,EDU,ENTHALTEN
3,Egli,Karin,SVP,JA
71,Erdin,Andreas,GLP,--
181,Erni,Jonas,SP,JA
101,Farner,Martin,FDP,--
118,Fehr Düsel,Nina,SVP,JA
68,Fehr Thoma,Karin,Grüne,--
62,Feldmann,Stefan,SP,JA
87,Fenner,Bruno,BDP,JA
149,Fischer,Benjamin,SVP,JA
39,Fischer,Gerhard,EVP,JA
103,Franzen,Barbara,FDP,JA
41,Frei,Daniel,SP,JA
151,Frei,Ruth,SVP,--
160,Frey,Beatrix,FDP,--
142,Furrer,Astrid,FDP,--
112,Fürst,Reinhard,SVP,--
162,Galliker,Nadja,FDP,JA
106,Gantner,Alex,FDP,JA
70,Gehrig,Sonja,GLP,--
105,Geistlich,Andreas,FDP,JA
14,Göldi,Hanspeter,SP,JA
33,Gschwind,Benedikt,SP,JA
24,Gugger,Nik,EVP,JA
88,Gut,Astrid,BDP,JA
21,Guyer,Esther,Grüne,JA
109,Haab,Martin,SVP,JA
102,Habegger,Beat,FDP,JA
93,Häni,Peter,EDU,ENTHALTEN
143,Hänni,Cäcilia,FDP,JA
96,Häring,Hans Peter,EDU,ENTHALTEN
53,Häuptli,Daniel,GLP,--
74,Hauri,Andreas,GLP,--
127,Hauser,Matthias,SVP,JA
36,Häusler,Edith,Grüne,JA
65,Heierli,Daniel,Grüne,JA
72,Hodel,Daniel,GLP,--
15,Hoesch,Felix,SP,JA
176,Hofer,Jacqueline,SVP,JA
138,Hoffmann,Benedikt,SVP,JA
144,Hofmann,Olivier,FDP,--
67,Homberger,Max Robert,Grüne,JA
155,Huber,Beat,SVP,JA
167,Hübscher,Martin,SVP,JA
38,Hugentobler,Hanspeter,EVP,JA
12,Huonker,Laura,AL,JA
124,Hurter,Christian,SVP,--
121,Isler,René,SVP,JA
099,Jäger,Alexander,FDP,JA
046,Joss,Rosmarie,SP,JA
048,Kaeser,Regula,Grüne,JA
032,Katumba,Andrew,SP,JA
081,Keller,Cornelia,BDP,JA
123,Keller,Rolando,SVP,JA
3a,Kläy,Dieter,FDP,JA
097,Koller,Prisca,FDP,JA
128,Kull,Katharina,FDP,JA
159,Kündig,Jörg,FDP,JA
091,Kutter,Philipp,CVP,JA
063,Lais,Ruedi,SP,--
010,Langenegger,Tobias,SP,JA
139,Langhard,Walter,SVP,JA
178,Langhart,Konrad,SVP,JA
076,Lenggenhager,Marcel,BDP,--
119,Leuenberger,Susanne,SVP,JA
152,Liebi,Roger,SVP,JA
066,Lischer,Maria,Grüne,JA
027,Loss,Davide,SP,JA
136,Lucek,Christian,SVP,JA
075,Mäder,Jörg,GLP,JA
022,Margreiter,Ralf,Grüne,JA
064,Marthaler,Thomas,SP,--
017,Marti,Sibylle,SP,JA
008,Matter,Sylvie,SP,JA
061,Meier,Esther,SP,JA
023,Meier,Walter,EVP,JA
153,Mettler,Christian,SVP,JA
122,Mischol,Tumasch,SVP,JA
168,Moor,Ursula,SVP,JA
098,Müller,André,FDP,JA
104,Müller,Christian,FDP,JA
031,Munz,Roland,SP,JA
035,Neukom,Martin,Grüne,JA
182,Peter,Jacqueline,SP,JA
051,Petri,Gabi,Grüne,JA
179,Pfister,Ulrich,SVP,JA
166,Pflugshaupt,Elisabeth,SVP,JA
084,Pinto,Jean-Philippe,CVP,JA
133,Preisig,Peter,SVP,JA
157,Raths,Hans Heinrich,SVP,--
