platz,nachname,vorname,partei,stimme
30,Ackermann,Pia,SP,JA
82,Ackermann,Ruth,CVP,JA
42,Agosti Monn,Theres,SP,JA
89,Albanese,Franco,CVP,JA
114,Amacker,Bruno,SVP,JA
126,Amrein,Hans-Peter,SVP,JA
110,Arnold,Martin,SVP,JA
140,Bachmann,Ernst,SVP,JA
163,Balmer,Bettina,FDP,JA
171,Bär,Hansruedi,SVP,JA
10,Barrile,Angelo,SP,JA
57,Bartal,Isabel,SP,JA
86,Bellaiche,Judith,GLP,--
165,Bender,André,SVP,JA
161,Berger,Antoine,FDP,JA
131,Biber,Michael,FDP,JA
20,Bischoff,Markus,AL,JA
49,Bloch,Beat,CSP,JA
147,Boesch,Hans-Jakob,FDP,JA
123,Bollinger,Erich,SVP,JA
173,Bonato,Diego,SVP,JA
111,Borer,Anita,SVP,JA
80,Brazerol,Rico,BDP,--
146,Brunner,Hans-Peter,FDP,JA
34,Brunner,Robert,Grüne,JA
58,Büchi,Renate,SP,JA
83,Bürgin,Yvonne,CVP,JA
154,Burtscher,Rochus,SVP,JA
7,Bussmann,Barbara,SP,JA
13,Bütikofer,Kaspar,AL,JA
115,Camenisch,Linda,FDP,--
180,Dalcher,Pierre,SVP,JA
43,Daurù,Andreas,SP,JA
95,Egli,Hans,EDU,JA
3,Egli,Karin,SVP,JA
71,Erdin,Andreas,GLP,NEIN
181,Erni,Jonas,SP,JA
130,Farner,Martin,FDP,JA
68,Fehr Thoma,Karin,Grüne,JA
62,Feldmann,Stefan,SP,JA
149,Fischer,Benjamin,SVP,JA
39,Fischer,Gerhard,EVP,JA
103,Franzen,Barbara,FDP,JA
41,Frei,Daniel,SP,JA
151,Frei,Ruth,SVP,JA
160,Frey,Beatrix,FDP,JA
142,Furrer,Astrid,FDP,JA
138,Fürst,Reinhard,SVP,JA
162,Galliker,Nadja,FDP,JA
106,Gantner,Alex,FDP,JA
70,Gehrig,Sonja,GLP,NEIN
105,Geistlich,Andreas,FDP,JA
14,Göldi,Hanspeter,SP,JA
33,Gschwind,Benedikt,SP,JA
24,Gugger,Nik,EVP,JA
88,Gut,Astrid,BDP,JA
53,Gutmann,Eva,GLP,NEIN
21,Guyer,Esther,Grüne,JA
109,Haab,Martin,SVP,JA
102,Habegger,Beat,FDP,JA
143,Hänni,Cäcilia,FDP,JA
96,Häring,Hans Peter,EDU,JA
74,Hauri,Andreas,GLP,NEIN
127,Hauser,Matthias,SVP,JA
36,Häusler,Edith,Grüne,JA
65,Heierli,Daniel,Grüne,JA
72,Hodel,Daniel,GLP,NEIN
15,Hoesch,Felix,SP,JA
176,Hofer,Jacqueline,SVP,JA
144,Hofmann,Olivier Moïse,FDP,JA
67,Homberger,Max Robert,Grüne,JA
155,Huber,Beat,SVP,JA
167,Hübscher,Martin,SVP,JA
38,Hugentobler,Hanspeter,EVP,JA
87,Hunger,Stefan,BDP,JA
12,Huonker,Laura,AL,--
121,Isler,René,SVP,JA
99,Jäger,Alexander,FDP,JA
46,Joss,Rosmarie,SP,JA
48,Kaeser,Regula,Grüne,JA
32,Katumba,Andrew,SP,JA
081,Keller,Cornelia,BDP,JA
124,Keller,Rolando,SVP,JA
3a,Kläy,Dieter,FDP,JA
097,Koller,Prisca,FDP,JA
128,Krebs,Beatrice,FDP,--
129,Kull,Katharina,FDP,JA
159,Kündig,Jörg,FDP,JA
091,Kutter,Philipp,CVP,JA
063,Lais,Ruedi,SP,JA
139,Langhard,Walter,SVP,JA
178,Langhart,Konrad,SVP,JA
076,Lenggenhager,Marcel,BDP,--
119,Leuenberger,Susanne,SVP,JA
152,Liebi,Roger,SVP,JA
027,Loss,Davide,SP,JA
137,Lucek,Christian,SVP,--
075,Mäder,Jörg,GLP,NEIN
022,Margreiter,Ralf,Grüne,JA
064,Marthaler,Thomas,SP,JA
017,Marti,Sibylle,SP,JA
008,Matter,Sylvie,SP,JA
061,Meier,Esther,SP,JA
093,Meier,Peter,EDU,JA
023,Meier,Walter,EVP,JA
153,Mettler,Christian,SVP,JA
029,Meyer,Mattea,SP,JA
168,Moor,Ursula,SVP,JA
098,Müller,André,FDP,JA
104,Müller,Christian,FDP,JA
031,Munz,Roland,SP,JA
035,Neukom,Martin,Grüne,JA
