platz,nachname,vorname,partei,stimme
30,Ackermann,Pia,SP,JA
83,Ackermann,Ruth,CVP,--
42,Agosti Monn,Theres,SP,JA
177,Albanese,Franco,SVP,NEIN
52,Alder,Ronald,GLP,--
114,Amacker,Bruno,SVP,NEIN
126,Amrein,Hans-Peter,SVP,NEIN
162,Balmer,Bettina,FDP,--
140,Bamert,Ueli,SVP,NEIN
171,Bär,Hansruedi,SVP,NEIN
57,Bartal,Isabel,SP,JA
17,Bärtschiger,Markus,SP,JA
86,Bellaiche,Judith,GLP,--
165,Bender,André,SVP,--
130,Biber,Michael,FDP,--
20,Bischoff,Markus,AL,--
22,Bloch,Beat,CSP,JA
159,Boesch,Hans-Jakob,FDP,--
135,Bollinger,Erich,SVP,--
173,Bonato,Diego,SVP,--
111,Borer,Anita,SVP,NEIN
131,Bourgeois,Marc,FDP,--
133,Brändli,Roland,SVP,--
80,Brazerol,Rico,BDP,--
146,Brunner,Hans-Peter,FDP,--
34,Brunner,Robert,Grüne,JA
1,Bürgin,Yvonne,CVP,JA
154,Burtscher,Rochus,SVP,NEIN
7,Bussmann,Barbara,SP,JA
13,Bütikofer,Kaspar,AL,JA
115,Camenisch,Linda,FDP,NEIN
3a,Dalcher,Pierre,SVP,--
041,Daurù,Andreas,SP,JA
029,Dünki,Michèle,SP,JA
095,Egli,Hans,EDU,NEIN
180,Egli,Karin,SVP,NEIN
071,Erdin,Andreas,GLP,--
181,Erni,Jonas,SP,JA
101,Farner,Martin,FDP,--
119,Fehr Düsel,Nina,SVP,--
066,Fehr Thoma,Karin,Grüne,JA
062,Feldmann,Stefan,SP,JA
118,Finsler,Hans,SVP,NEIN
149,Fischer,Benjamin,SVP,--
068,Forrer,Thomas,Grüne,JA
103,Franzen,Barbara,FDP,--
108,Frei,Ruth,SVP,--
160,Frey,Beatrix,FDP,--
143,Furrer,Astrid,FDP,NEIN
112,Fürst,Reinhard,SVP,--
050,Galeuchet,David,Grüne,JA
161,Galliker,Nadja,FDP,--
106,Gantner,Alex,FDP,--
070,Gehrig,Sonja,GLP,--
105,Geistlich,Andreas,FDP,--
014,Göldi,Hanspeter,SP,JA
137,Grüter,Barbara,SVP,NEIN
033,Gschwind,Benedikt,SP,JA
024,Günthard Fitze,Barbara,EVP,JA
088,Gut,Astrid,BDP,JA
021,Guyer,Esther,Grüne,JA
109,Haab,Martin,SVP,NEIN
102,Habegger,Beat,FDP,--
152,Habicher,Lorenz,SVP,--
096,Häni,Peter,EDU,NEIN
144,Hänni,Cäcilia,FDP,NEIN
054,Häuptli,Daniel,GLP,NEIN
127,Hauser,Matthias,SVP,NEIN
036,Häusler,Edith,Grüne,JA
065,Heierli,Daniel,Grüne,JA
072,Hodel,Daniel,GLP,--
015,Hoesch,Felix,SP,JA
176,Hofer,Jacqueline,SVP,NEIN
156,Hoffmann,Benedikt,SVP,NEIN
129,Hofmann,Olivier,FDP,--
067,Homberger,Max Robert,Grüne,JA
155,Huber,Beat,SVP,NEIN
151,Hübscher,Martin,SVP,NEIN
039,Hugentobler,Hanspeter,EVP,JA
012,Huonker,Laura,AL,JA
124,Hurter,Christian,SVP,--
121,Isler,René,SVP,NEIN
99,Jäger,Alexander,FDP,--
46,Joss,Rosmarie,SP,JA
32,Katumba,Andrew,SP,JA
81,Keller,Cornelia,BDP,JA
123,Keller,Rolando,SVP,--
2,Kläy,Dieter,FDP,--
87,Knöpfli,Hans-Rudolf,BDP,--
97,Koller,Prisca,FDP,NEIN
128,Kull,Katharina,FDP,--
142,Kündig,Jörg,FDP,NEIN
63,Lais,Ruedi,SP,JA
93,Lamprecht,Thomas,EDU,NEIN
10,Langenegger,Tobias,SP,JA
139,Langhard,Walter,SVP,NEIN
178,Langhart,Konrad,SVP,NEIN
166,Ledergerber,Domenik,SVP,NEIN
76,Lenggenhager,Marcel,BDP,JA
27,Loss,Davide,SP,JA
136,Lucek,Christian,SVP,--
75,Mäder,Jörg,GLP,--
26,Mani,Tobias,EVP,JA
183,Marthaler,Thomas,SP,JA
4,Marti,Sibylle,SP,JA
184,Marty Fässler,Carmen,SP,JA
94,Marty,Maria Rita,EDU,NEIN
8,Matter,Sylvie,SP,JA
59,Meier,Esther,SP,JA
23,Meier,Walter,EVP,JA
153,Mettler,Christian,SVP,NEIN
168,Mischol,Tumasch,SVP,NEIN
37,Monhart,Beat,EVP,JA
169,Moor,Ursula,SVP,--
98,Müller,André,FDP,--
104,Müller,Christian,FDP,NEIN
163,Müller,Fabian,FDP,NEIN
31,Munz,Roland,SP,JA
35,Neukom,Martin,Grüne,JA
182,Peter,Jacqueline,SP,JA
51,Petri,Gabi,Grüne,JA
64,Pfalzgraf,Hannah,SP,JA
179,Pfister,Ulrich,SVP,NEIN
167,Pflugshaupt,Elisabeth,SVP,--
84,Pinto,Jean-Philippe,CVP,JA
157,Raths,Hans Heinrich,SVP,NEIN
49,Rigoni,Silvia,Grüne,JA
82,Romer,Martin,BDP,JA
61,Röösli,Brigitte,SP,JA
116,Rueff,Sonja,FDP,NEIN
19,Sahli,Manuel,AL,JA
40,Schaaf,Markus,EVP,JA
055,Schaffner,Barbara,GLP,--
134,Scheck,Roland,SVP,NEIN
085,Scherrer,Benno,GLP,--
053,Schlauri,Simon,GLP,--
