platz,nachname,vorname,partei,stimme
82,Ackermann,Ruth,CVP,JA
30,Ackermann,Pia,SP,--
42,Agosti Monn,Theres,SP,--
177,Albanese,Franco,SVP,JA
114,Amacker,Bruno,SVP,JA
126,Amrein,Hans-Peter,SVP,JA
110,Arnold,Martin,SVP,--
140,Bachmann,Ernst,SVP,--
163,Balmer,Bettina,FDP,--
171,Bär,Hansruedi,SVP,JA
57,Bartal,Isabel,SP,--
86,Bellaiche,Judith,GLP,--
165,Bender,André,SVP,JA
161,Berger,Antoine,FDP,JA
130,Biber,Michael,FDP,JA
20,Bischoff,Markus,AL,--
22,Bloch,Beat,CSP,--
159,Boesch,Hans-Jakob,FDP,JA
135,Bollinger,Erich,SVP,JA
173,Bonato,Diego,SVP,JA
111,Borer,Anita,SVP,JA
131,Bourgeois,Marc,FDP,JA
80,Brazerol,Rico,BDP,--
146,Brunner,Hans-Peter,FDP,JA
34,Brunner,Robert,Grüne,--
58,Büchi,Renate,SP,--
3,Bürgin,Yvonne,CVP,JA
154,Burtscher,Rochus,SVP,JA
7,Bussmann,Barbara,SP,--
13,Bütikofer,Kaspar,AL,--
115,Camenisch,Linda,FDP,--
180,Dalcher,Pierre,SVP,JA
43,Daurù,Andreas,SP,--
29,Dünki,Michèle,SP,--
95,Egli,Hans,EDU,JA
2,Egli,Karin,SVP,JA
71,Erdin,Andreas,GLP,--
181,Erni,Jonas,SP,--
101,Farner,Martin,FDP,--
118,Fehr Düsel,Nina,SVP,--
66,Fehr Thoma,Karin,Grüne,NEIN
62,Feldmann,Stefan,SP,--
87,Fenner,Bruno,BDP,JA
149,Fischer,Benjamin,SVP,JA
68,Forrer,Thomas,Grüne,--
103,Franzen,Barbara,FDP,--
41,Frei,Daniel,SP,--
151,Frei,Ruth,SVP,JA
160,Frey,Beatrix,FDP,JA
143,Furrer,Astrid,FDP,--
112,Fürst,Reinhard,SVP,JA
162,Galliker,Nadja,FDP,--
106,Gantner,Alex,FDP,JA
70,Gehrig,Sonja,GLP,--
105,Geistlich,Andreas,FDP,JA
14,Göldi,Hanspeter,SP,--
33,Gschwind,Benedikt,SP,--
24,Gugger,Nik,EVP,JA
88,Gut,Astrid,BDP,--
21,Guyer,Esther,Grüne,--
109,Haab,Martin,SVP,JA
102,Habegger,Beat,FDP,JA
93,Häni,Peter,EDU,JA
144,Hänni,Cäcilia,FDP,--
96,Häring,Hans Peter,EDU,JA
53,Häuptli,Daniel,GLP,--
74,Hauri,Andreas,GLP,--
127,Hauser,Matthias,SVP,--
36,Häusler,Edith,Grüne,--
65,Heierli,Daniel,Grüne,--
72,Hodel,Daniel,GLP,--
15,Hoesch,Felix,SP,--
176,Hofer,Jacqueline,SVP,JA
138,Hoffmann,Benedikt,SVP,JA
129,Hofmann,Olivier,FDP,JA
67,Homberger,Max Robert,Grüne,--
155,Huber,Beat,SVP,JA
167,Hübscher,Martin,SVP,JA
39,Hugentobler,Hanspeter,EVP,JA
12,Huonker,Laura,AL,--
124,Hurter,Christian,SVP,JA
121,Isler,René,SVP,--
099,Jäger,Alexander,FDP,JA
046,Joss,Rosmarie,SP,--
048,Kaeser,Regula,Grüne,--
032,Katumba,Andrew,SP,--
081,Keller,Cornelia,BDP,JA
123,Keller,Rolando,SVP,JA
3a,Kläy,Dieter,FDP,JA
097,Koller,Prisca,FDP,JA
128,Kull,Katharina,FDP,--
142,Kündig,Jörg,FDP,JA
091,Kutter,Philipp,CVP,JA
063,Lais,Ruedi,SP,--
010,Langenegger,Tobias,SP,--
139,Langhard,Walter,SVP,JA
178,Langhart,Konrad,SVP,JA
076,Lenggenhager,Marcel,BDP,JA
119,Leuenberger,Susanne,SVP,JA
152,Liebi,Roger,SVP,JA
027,Loss,Davide,SP,--
136,Lucek,Christian,SVP,JA
075,Mäder,Jörg,GLP,--
026,Mani,Tobias,EVP,JA
064,Marthaler,Thomas,SP,--
017,Marti,Sibylle,SP,--
008,Matter,Sylvie,SP,--
061,Meier,Esther,SP,--
023,Meier,Walter,EVP,JA
153,Mettler,Christian,SVP,JA
122,Mischol,Tumasch,SVP,JA
037,Monhart,Beat,EVP,JA
168,Moor,Ursula,SVP,JA
098,Müller,André,FDP,--
104,Müller,Christian,FDP,--
031,Munz,Roland,SP,--
035,Neukom,Martin,Grüne,--
182,Peter,Jacqueline,SP,--
051,Petri,Gabi,Grüne,--
179,Pfister,Ulrich,SVP,--
166,Pflugshaupt,Elisabeth,SVP,JA
084,Pinto,Jean-Philippe,CVP,JA
133,Preisig,Peter,SVP,JA
157,Raths,Hans Heinrich,SVP,JA
050,Rigoni,Silvia,Grüne,--
156,Rinderknecht,Margreth,SVP,JA
147,Romer,Martin,FDP,JA
116,Rueff,Sonja,FDP,JA
019,Sahli,Manuel,AL,--
040,Schaaf,Markus,EVP,JA
055,Schaffner,Barbara,GLP,--
