platz,nachname,vorname,partei,stimme
30,Ackermann,Pia,SP,JA
82,Ackermann,Ruth,CVP,--
42,Agosti Monn,Theres,SP,--
89,Albanese,Franco,CVP,NEIN
114,Amacker,Bruno,SVP,NEIN
180,Amrein,Hans-Peter,SVP,NEIN
110,Arnold,Martin,SVP,--
140,Bachmann,Ernst,SVP,NEIN
163,Balmer,Bettina,FDP,NEIN
171,Bär,Hansruedi,SVP,NEIN
57,Bartal,Isabel,SP,JA
86,Bellaiche,Judith,GLP,JA
165,Bender,André,SVP,NEIN
161,Berger,Antoine,FDP,NEIN
129,Biber,Michael,FDP,NEIN
20,Bischoff,Markus,AL,JA
49,Bloch,Beat,CSP,JA
147,Boesch,Hans-Jakob,FDP,NEIN
135,Bollinger,Erich,SVP,NEIN
173,Bonato,Diego,SVP,NEIN
111,Borer,Anita,SVP,NEIN
130,Bourgeois,Marc,FDP,NEIN
80,Brazerol,Rico,BDP,NEIN
146,Brunner,Hans-Peter,FDP,NEIN
34,Brunner,Robert,Grüne,JA
58,Büchi,Renate,SP,NEIN
83,Bürgin,Yvonne,CVP,NEIN
154,Burtscher,Rochus,SVP,NEIN
7,Bussmann,Barbara,SP,NEIN
13,Bütikofer,Kaspar,AL,JA
115,Camenisch,Linda,FDP,NEIN
179,Dalcher,Pierre,SVP,NEIN
43,Daurù,Andreas,SP,JA
29,Dünki,Michèle,SP,JA
95,Egli,Hans,EDU,NEIN
3,Egli,Karin,SVP,NEIN
71,Erdin,Andreas,GLP,JA
181,Erni,Jonas,SP,NEIN
101,Farner,Martin,FDP,NEIN
118,Fehr Düsel,Nina,SVP,NEIN
68,Fehr Thoma,Karin,Grüne,JA
62,Feldmann,Stefan,SP,NEIN
149,Fischer,Benjamin,SVP,NEIN
39,Fischer,Gerhard,EVP,--
103,Franzen,Barbara,FDP,NEIN
41,Frei,Daniel,SP,NEIN
151,Frei,Ruth,SVP,NEIN
160,Frey,Beatrix,FDP,NEIN
142,Furrer,Astrid,FDP,NEIN
112,Fürst,Reinhard,SVP,NEIN
162,Galliker,Nadja,FDP,NEIN
106,Gantner,Alex,FDP,NEIN
70,Gehrig,Sonja,GLP,JA
105,Geistlich,Andreas,FDP,NEIN
14,Göldi,Hanspeter,SP,JA
33,Gschwind,Benedikt,SP,JA
24,Gugger,Nik,EVP,NEIN
88,Gut,Astrid,BDP,NEIN
21,Guyer,Esther,Grüne,JA
109,Haab,Martin,SVP,NEIN
102,Habegger,Beat,FDP,NEIN
93,Häni,Peter,EDU,NEIN
143,Hänni,Cäcilia,FDP,NEIN
96,Häring,Hans Peter,EDU,NEIN
53,Häuptli,Daniel,GLP,JA
74,Hauri,Andreas,GLP,JA
127,Hauser,Matthias,SVP,NEIN
36,Häusler,Edith,Grüne,ENTHALTEN
65,Heierli,Daniel,Grüne,JA
72,Hodel,Daniel,GLP,--
15,Hoesch,Felix,SP,JA
176,Hofer,Jacqueline,SVP,--
138,Hoffmann,Benedikt,SVP,NEIN
144,Hofmann,Olivier,FDP,NEIN
67,Homberger,Max Robert,Grüne,JA
155,Huber,Beat,SVP,NEIN
167,Hübscher,Martin,SVP,NEIN
38,Hugentobler,Hanspeter,EVP,NEIN
87,Hunger,Stefan,BDP,NEIN
