platz,nachname,vorname,partei,stimme
30,Ackermann,Pia,SP,NEIN
82,Ackermann,Ruth,CVP,JA
42,Agosti Monn,Theres,SP,NEIN
89,Albanese,Franco,CVP,JA
114,Amacker,Bruno,SVP,JA
126,Amrein,Hans-Peter,SVP,JA
110,Arnold,Martin,SVP,JA
140,Bachmann,Ernst,SVP,--
163,Balmer,Bettina,FDP,JA
171,Bär,Hansruedi,SVP,JA
10,Barrile,Angelo,SP,NEIN
57,Bartal,Isabel,SP,NEIN
86,Bellaiche,Judith,GLP,NEIN
165,Bender,André,SVP,JA
161,Berger,Antoine,FDP,--
131,Biber,Michael,FDP,JA
20,Bischoff,Markus,AL,NEIN
49,Bloch,Beat,CSP,NEIN
147,Boesch,Hans-Jakob,FDP,JA
123,Bollinger,Erich,SVP,JA
173,Bonato,Diego,SVP,JA
111,Borer,Anita,SVP,JA
80,Brazerol,Rico,BDP,NEIN
146,Brunner,Hans-Peter,FDP,JA
34,Brunner,Robert,Grüne,--
58,Büchi,Renate,SP,NEIN
83,Bürgin,Yvonne,CVP,JA
154,Burtscher,Rochus,SVP,JA
7,Bussmann,Barbara,SP,NEIN
13,Bütikofer,Kaspar,AL,NEIN
115,Camenisch,Linda,FDP,--
180,Dalcher,Pierre,SVP,JA
43,Daurù,Andreas,SP,NEIN
95,Egli,Hans,EDU,NEIN
3,Egli,Karin,SVP,JA
71,Erdin,Andreas,GLP,NEIN
181,Erni,Jonas,SP,NEIN
130,Farner,Martin,FDP,JA
68,Fehr Thoma,Karin,Grüne,NEIN
62,Feldmann,Stefan,SP,NEIN
149,Fischer,Benjamin,SVP,JA
39,Fischer,Gerhard,EVP,JA
103,Franzen,Barbara,FDP,JA
41,Frei,Daniel,SP,NEIN
151,Frei,Ruth,SVP,JA
160,Frey,Beatrix,FDP,JA
142,Furrer,Astrid,FDP,JA
138,Fürst,Reinhard,SVP,JA
162,Galliker,Nadja,FDP,JA
106,Gantner,Alex,FDP,JA
70,Gehrig,Sonja,GLP,NEIN
105,Geistlich,Andreas,FDP,--
14,Göldi,Hanspeter,SP,NEIN
33,Gschwind,Benedikt,SP,NEIN
24,Gugger,Nik,EVP,--
88,Gut,Astrid,BDP,NEIN
53,Gutmann,Eva,GLP,--
21,Guyer,Esther,Grüne,NEIN
109,Haab,Martin,SVP,JA
102,Habegger,Beat,FDP,JA
143,Hänni,Cäcilia,FDP,JA
96,Häring,Hans Peter,EDU,NEIN
