platz,nachname,vorname,partei,stimme
82,Ackermann,Ruth,CVP,--
30,Ackermann,Pia,SP,--
42,Agosti Monn,Theres,SP,--
177,Albanese,Franco,SVP,--
114,Amacker,Bruno,SVP,--
126,Amrein,Hans-Peter,SVP,--
110,Arnold,Martin,SVP,--
140,Bachmann,Ernst,SVP,--
163,Balmer,Bettina,FDP,JA
171,Bär,Hansruedi,SVP,--
57,Bartal,Isabel,SP,--
86,Bellaiche,Judith,GLP,--
165,Bender,André,SVP,--
161,Berger,Antoine,FDP,JA
130,Biber,Michael,FDP,JA
20,Bischoff,Markus,AL,--
22,Bloch,Beat,CSP,--
159,Boesch,Hans-Jakob,FDP,JA
135,Bollinger,Erich,SVP,--
173,Bonato,Diego,SVP,--
111,Borer,Anita,SVP,--
131,Bourgeois,Marc,FDP,JA
80,Brazerol,Rico,BDP,JA
146,Brunner,Hans-Peter,FDP,--
34,Brunner,Robert,Grüne,--
58,Büchi,Renate,SP,--
3,Bürgin,Yvonne,CVP,--
154,Burtscher,Rochus,SVP,--
7,Bussmann,Barbara,SP,--
13,Bütikofer,Kaspar,AL,--
115,Camenisch,Linda,FDP,JA
180,Dalcher,Pierre,SVP,--
43,Daurù,Andreas,SP,--
29,Dünki,Michèle,SP,--
95,Egli,Hans,EDU,--
2,Egli,Karin,SVP,--
71,Erdin,Andreas,GLP,--
181,Erni,Jonas,SP,--
101,Farner,Martin,FDP,JA
118,Fehr Düsel,Nina,SVP,--
66,Fehr Thoma,Karin,Grüne,--
62,Feldmann,Stefan,SP,--
87,Fenner,Bruno,BDP,JA
149,Fischer,Benjamin,SVP,--
68,Forrer,Thomas,Grüne,--
103,Franzen,Barbara,FDP,JA
41,Frei,Daniel,SP,--
151,Frei,Ruth,SVP,--
160,Frey,Beatrix,FDP,JA
143,Furrer,Astrid,FDP,JA
112,Fürst,Reinhard,SVP,JA
162,Galliker,Nadja,FDP,JA
106,Gantner,Alex,FDP,JA
70,Gehrig,Sonja,GLP,--
105,Geistlich,Andreas,FDP,JA
14,Göldi,Hanspeter,SP,--
33,Gschwind,Benedikt,SP,--
24,Gugger,Nik,EVP,--
88,Gut,Astrid,BDP,JA
21,Guyer,Esther,Grüne,--
109,Haab,Martin,SVP,--
102,Habegger,Beat,FDP,JA
93,Häni,Peter,EDU,--
144,Hänni,Cäcilia,FDP,JA
96,Häring,Hans Peter,EDU,--
53,Häuptli,Daniel,GLP,--
74,Hauri,Andreas,GLP,--
127,Hauser,Matthias,SVP,--
36,Häusler,Edith,Grüne,--
65,Heierli,Daniel,Grüne,--
72,Hodel,Daniel,GLP,--
15,Hoesch,Felix,SP,--
176,Hofer,Jacqueline,SVP,--
138,Hoffmann,Benedikt,SVP,--
129,Hofmann,Olivier,FDP,JA
67,Homberger,Max Robert,Grüne,--
155,Huber,Beat,SVP,--
167,Hübscher,Martin,SVP,--
39,Hugentobler,Hanspeter,EVP,--
12,Huonker,Laura,AL,--
124,Hurter,Christian,SVP,--
121,Isler,René,SVP,--
099,Jäger,Alexander,FDP,JA
046,Joss,Rosmarie,SP,--
048,Kaeser,Regula,Grüne,--
032,Katumba,Andrew,SP,--
081,Keller,Cornelia,BDP,JA
123,Keller,Rolando,SVP,--
3a,Kläy,Dieter,FDP,JA
097,Koller,Prisca,FDP,JA
128,Kull,Katharina,FDP,JA
142,Kündig,Jörg,FDP,JA
091,Kutter,Philipp,CVP,JA
063,Lais,Ruedi,SP,--
010,Langenegger,Tobias,SP,--
139,Langhard,Walter,SVP,--
178,Langhart,Konrad,SVP,--
076,Lenggenhager,Marcel,BDP,JA
119,Leuenberger,Susanne,SVP,--
152,Liebi,Roger,SVP,--
027,Loss,Davide,SP,--
136,Lucek,Christian,SVP,--
075,Mäder,Jörg,GLP,--
025,Mani,Tobias,EVP,--
064,Marthaler,Thomas,SP,--
017,Marti,Sibylle,SP,--
008,Matter,Sylvie,SP,--
061,Meier,Esther,SP,--
023,Meier,Walter,EVP,--
153,Mettler,Christian,SVP,--
122,Mischol,Tumasch,SVP,--
037,Monhart,Beat,EVP,--
168,Moor,Ursula,SVP,--
098,Müller,André,FDP,JA
104,Müller,Christian,FDP,JA
031,Munz,Roland,SP,--
035,Neukom,Martin,Grüne,--
182,Peter,Jacqueline,SP,--
051,Petri,Gabi,Grüne,--
179,Pfister,Ulrich,SVP,--
166,Pflugshaupt,Elisabeth,SVP,--
084,Pinto,Jean-Philippe,CVP,--
133,Preisig,Peter,SVP,--
157,Raths,Hans Heinrich,SVP,--
026,Reinhard,Peter,EVP,--
050,Rigoni,Silvia,Grüne,--
156,Rinderknecht,Margreth,SVP,--
147,Romer,Martin,FDP,JA
116,Rueff,Sonja,FDP,JA
019,Sahli,Manuel,AL,--
040,Schaaf,Markus,EVP,--
055,Schaffner,Barbara,GLP,--
134,Scheck,Roland,SVP,--
085,Scherrer Moser,Benno,GLP,--
120,Schmid,Claudio,SVP,--
078,Schmid,Lorenz,CVP,--
004,Schmid,Roman,SVP,--
137,Schmid,Stefan,SVP,--
145,Schucan,Christian,FDP,JA
100,Schwab,Daniel,FDP,JA
059,Sieber Hirschi,Sabine,SP,--
038,Sommer,Daniel,EVP,--
047,Späth,Markus,SP,--
183,Spillmann,Moritz,SP,--
049,Steiner,Kathy,Grüne,--
028,Steiner,Rafael,SP,--
001,Steiner,Rolf,SP,--
172,Steinmann,Armin,SVP,--
011,Stofer,Judith Anna,AL,--
184,Straub,Esther,SP,--
170,Sulser,Jürg,SVP,--
090,Thomet,Corinne,CVP,--
016,Tognella,Birgit,SP,--
108,Trachsel,Jürg,SVP,--
009,Trost Vetter,Susanne,SP,--
125,Truninger,René,SVP,--
150,Uhlmann,Peter,SVP,--
158,Vogel,Thomas,FDP,JA
107,Vollenweider,Peter,FDP,JA
069,von Planta,Cyrill,GLP,--
092,Vontobel,Erich,EDU,--
175,Wäfler,Daniel,SVP,--
148,Waser,Urs,SVP,--
169,Weber-Gachnang,Theresia,SVP,--
094,Welz,Michael,EDU,--
117,Wettstein,Sabine,FDP,JA
018,Wicki,Monika,SP,--
077,Widler,Josef,CVP,--
045,Widmer,Céline,SP,--
079,Wiederkehr,Josef,CVP,--
052,Wiesner,Hans W.,GLP,--
073,Wirth,Thomas,GLP,--
044,Würth,Eva-Maria,SP,--
141,Wyss,Orlando,SVP,--
060,Wyssen,Claudia,SP,--
174,Zahler,Erika,SVP,--
056,Zeugin,Michael,GLP,--
054,Ziegler,Christoph,GLP,--
132,Zuber,Martin,SVP,--
113,Züllig,Hansueli,SVP,--
