platz,nachname,vorname,partei,stimme
044,Agosti Monn,Theres,SP,NEIN
103,Albanese,Franco,CVP,NEIN
078,Albrecht,Verena,BDP,NEIN
125,Amacker,Bruno,SVP,JA
126,Amrein,Hans-Peter,SVP,JA
110,Arnold,Martin,SVP,JA
140,Bachmann,Ernst,SVP,--
171,Bär,Hansruedi,SVP,JA
010,Barrile,Angelo,SP,NEIN
124,Bartholdi,Roger,SVP,JA
075,Bellaiche,Judith,GLP,NEIN
013,Bischoff,Markus,AL,JA
020,Bloch,Beat,CSP,JA
123,Bollinger,Erich,SVP,JA
111,Borer,Anita,SVP,JA
079,Brazerol,Rico,BDP,NEIN
034,Brunner,Robert,Grüne,JA
058,Büchi-Wild,Renate,SP,NEIN
097,Bürgin,Yvonne,CVP,NEIN
184,Burlet,Marcel,SP,NEIN
154,Burtscher,Rochus,SVP,JA
005,Bussmann,Barbara,SP,NEIN
012,Bütikofer,Kaspar,AL,JA
116,Camenisch,Linda,FDP,JA
161,Clerici,Max F.,FDP,JA
179,Dalcher,Pierrre,SVP,JA
043,Daurù,Andreas,SP,NEIN
099,Egli,Hans,EDU,NEIN
149,Egli,Karin,SVP,JA
042,Egli,Ursina,SP,NEIN
71,Erdin,Andreas,GLP,NEIN
130,Farner,Martin,FDP,JA
145,Feit,Leila,FDP,JA
62,Feldmann,Stefan,SP,NEIN
81,Fenner,Bruno,BDP,--
66,Ferro,Ornella,Grüne,JA
82,Fischer,Gerhard,EVP,NEIN
152,Frei-Baumann,Ruth,SVP,JA
178,Frei,Hans,SVP,JA
164,Frey,Beatrix,FDP,JA
138,Fürst,Reinhard,SVP,JA
117,Gantner,Alex,FDP,JA
24,Geilinger,Martin,Grüne,--
147,Geistlich,Andreas,FDP,JA
27,Gerber Rüegg,Julia,SP,NEIN
30,Göldi,Hanspeter,SP,NEIN
47,Golta,Raphael,SP,NEIN
17,Gschwind,Benedikt,SP,NEIN
54,Gutknecht,René,GLP,--
86,Gutmann,Eva,GLP,NEIN
21,Guyer,Esther,Grüne,JA
109,Haab,Martin,SVP,JA
134,Habicher,Lorenz,SVP,JA
169,Haderer,Willy,SVP,JA
48,Hans,Urs,Grüne,JA
100,Häring,Hans Peter,EDU,NEIN
25,Hasler,Andreas,GLP,NEIN
176,Haug,Hanspeter,SVP,JA
74,Hauri,Andreas,GLP,NEIN
127,Hauser,Matthias,SVP,JA
69,Häusler,Edith,Grüne,JA
18,Heuberger,Catherine,SP,NEIN
151,Heusser,Hans-Heinrich,SVP,JA
23,Hildebrand,Esther,Grüne,JA
72,Hodel,Daniel,GLP,NEIN
175,Hofer,Jacqueline,SVP,JA
131,Hofmann,Olivier,FDP,JA
104,Holenstein,Christoph,CVP,NEIN
67,Homberger,Max,Grüne,JA
155,Huber,Beat,SVP,JA
87,Huber,Stefanie,GLP,NEIN
49,Hübscher,Lilith Claudia,Grüne,JA
76,Hunger,Stefan,BDP,NEIN
121,Isler,René,SVP,JA
167,Isliker,Walter,SVP,JA
2,Johner,Brigitta,FDP,JA
16,Joss,Rosmarie,SP,NEIN
50,Kaeser,Regula,Grüne,JA
77,Keller,Cornelia,BDP,--
128,Kläy,Dieter,FDP,JA
88,Kleiber-Schenkel,Ruth,EVP,NEIN
129,Kull-Benz,Katharina,FDP,JA
162,Kündig,Jörg,FDP,JA
101,Kutter,Philipp,CVP,NEIN
095,Kyburz,Heinz,EDU,NEIN
063,Lais,Ruedi,SP,NEIN
007,Lalli,Emy,SP,NEIN
139,Langhard,Walter,SVP,JA
174,Langhart,Konrad,SVP,JA
065,Läubli,Hans,Grüne,JA
106,Lauffer,Urs,FDP,JA
080,Lenggenhager,Marcel,BDP,NEIN
057,Loss,Davide,SP,NEIN
137,Lucek,Christian,SVP,JA
026,Mäder,Jörg,GLP,NEIN
015,Maeder-Zuberbühler,Karin,SP,NEIN
022,Margreiter,Ralf,Grüne,JA
181,Marthaler,Thomas,SP,NEIN
036,Marti,Res,Grüne,JA
201,Mauchle,Thea,SP,NEIN
170,Menzi,Ruedi,SVP,JA
153,Mettler,Christian,SVP,JA
029,Meyer,Mattea,SP,NEIN
168,Moor-Schwarz,Ursula,SVP,JA
031,Munz,Roland,SP,NEIN
037,Petri,Gabi,Grüne,JA
093,Pinto,Jean-Philippe,CVP,NEIN
142,Portmann,Hans-Peter,FDP,JA
133,Preisig,Peter,SVP,JA
157,Raths,Hans Heinrich,SVP,JA
019,Redzic,Alma,Grüne,JA
091,Reinhard,Peter,EVP,--
156,Rinderknecht,Margreth,SVP,JA
090,Ritschard,Peter,EVP,NEIN
068,Rohweder-Lischer,Maria,Grüne,JA
014,Rusca Speck,Susanna,SP,NEIN
107,Sauter,Regine,FDP,--
083,Schaaf,Markus,EVP,NEIN
053,Schaffner,Barbara,GLP,NEIN
173,Scheck,Roland,SVP,JA
085,Scherrer,Benno,GLP,NEIN
115,Scherrer,Werner,FDP,JA
120,Schmid,Claudio,SVP,JA
105,Schmid,Lorenz,CVP,--
3a,Schmid,Roman,SVP,JA
112,Schneebeli,Jakob,SVP,JA
089,Schoch,Walter,EVP,NEIN
146,Schwab,Daniel,FDP,JA
052,Schwarzenbach,Benjamin,GLP,NEIN
009,Seiler Graf,Priska,SP,NEIN
061,Seiz-Gut,Silvia,SP,NEIN
180,Senn,Yves,SVP,JA
059,Sieber,Sabine,SP,NEIN
183,Späth,Markus,SP,NEIN
060,Spillmann,Moritz,SP,NEIN
032,Spring,Monika,SP,NEIN
136,Steinemann,Barbara,SVP,JA
051,Steiner,Kathy,Grüne,JA
028,Steiner,Rafael,SP,NEIN
004,Steiner,Rolf,SP,NEIN
092,Steiner,Silvia,CVP,NEIN
172,Steinmann,Armin,SVP,JA
011,Stofer,Judith,AL,JA
148,Stucker,Rolf,SVP,--
008,Stutz,Peter,SP,NEIN
166,Sulser,Jürg,SVP,JA
114,Suter,Arnold,SVP,JA
102,Thomet-Bürki,Corinne,CVP,NEIN
108,Trachsel,Jürg,SVP,JA
150,Uhlmann,Peter,SVP,JA
158,Vogel,Thomas,FDP,JA
118,Vogt,Hans-Ueli,SVP,JA
070,von Planta,Cyrill,GLP,NEIN
094,Vontobel,Erich,EDU,NEIN
056,Wahlen,Denise,GLP,NEIN
160,Walker Späh,Carmen,FDP,JA
001,Walliser,Bruno,SVP,--
159,Walti,Beat,FDP,JA
055,Walti,Rahel,GLP,NEIN
003,Weber-Gachnang,Theresia,SVP,JA
143,Weibel,Katharina,FDP,JA
098,Welz,Michael,EDU,NEIN
163,Wettstein,Sabine,FDP,JA
046,Widmer,Céline,SP,--
096,Wiederkehr,Josef,CVP,NEIN
038,Wiesner,Hans,GLP,NEIN
144,Winkler,Gabriela,FDP,JA
073,Wirth,Thomas,GLP,NEIN
035,Wolf,Andreas,Grüne,JA
119,Wuhrmann,Heinrich,SVP,JA
141,Wyss,Orlando,SVP,JA
135,Zanetti,Claudio,SVP,JA
040,Zeugin,Michael,GLP,NEIN
039,Ziegler,Christoph,GLP,NEIN
033,Ziegler,Sabine,SP,NEIN
041,Ziltener,Erika,SP,NEIN
122,Zimmermann,Rolf Robert,SVP,JA
084,Zollinger,Johannes,EVP,NEIN
132,Zuber,Martin,SVP,JA
113,Züllig,Hansueli,SVP,--
