platz,nachname,vorname,partei,stimme
30,Ackermann,Pia,SP,--
103,Ackermann,Ruth,CVP,--
42,Agosti,Theres,SP,--
31,Akanji,Sarah,SP,--
177,Albanese,Franco,SVP,JA
54,Alder,Ronald,GLP,--
126,Amrein,Hans-Peter,SVP,JA
162,Balmer,Bettina,FDP,--
140,Bamert,Ueli,SVP,JA
81,Barmettler,Franziska,GLP,NEIN
57,Barthal,Isabel,SP,--
9,Bärtschiger,Markus,SP,--
86,Bellaiche,Judith,GLP,--
168,Bender,André,SVP,JA
11,Berner,Melanie,AL,--
128,Biber,Michael,FDP,--
20,Bischoff,Markus,AL,--
22,Bloch,Beat,Grüne,JA
173,Bonato,Diego,SVP,JA
124,Bossert,Sandra,SVP,JA
129,Bourgeois,Marc,FDP,--
17,Brandenberger,Harry,SP,--
159,Brunner,Hans-Peter,FDP,--
34,Brunner,Robert,Grüne,JA
101,Bürgin,Yvonne,CVP,--
155,Burtscher,Rochus,SVP,JA
49,Büsser,Jeanette,Grüne,JA
13,Bütikofer,Kaspar,AL,--
115,Camenisch,Linda,FDP,--
44,Columberg,Leandra,SP,--
083,Cometta-Müller,Katrin,GLP,--
4,Dalcher,Pierre,SVP,JA
41,Daurù,Andreas,SP,--
51,Dietschi,Urs,Grüne,JA
29,Dünki,Michèle,SP,--
70,Dürr,Renate,Grüne,JA
134,Egli,Hans,EDU,JA
181,Erni,Jonas,SP,--
147,Etter-Gick,Carola,FDP,--
100,Farner,Martin,FDP,--
110,Fehr Düsel,Nina,SVP,--
37,Fehr,Karin,Grüne,JA
148,Fehr,Raffaela,FDP,--
62,Feldmann,Stefan,SP,--
150,Fischer,Benjamin,SVP,JA
65,Forrer,Thomas,Grüne,JA
130,Franzen,Barbara,FDP,--
158,Frey-Eigenmann,Beatrix,FDP,--
143,Furrer,Astrid,FDP,--
67,Galeuchet,David,Grüne,--
105,Gantner,Alex,FDP,--
26,Gehrig,Sonja,GLP,JA
160,Geistlich,Andreas,FDP,--
75,Gisler,Andrea,GLP,JA
14,Göldi,Hanspeter,SP,--
71,Gredig,Corina,GLP,JA
136,Grüter,Barbara,SVP,JA
93,Günthard,Barbara,EVP,--
21,Guyer,Esther,Grüne,JA
111,Haab,Martin,SVP,JA
161,Habegger,Beat,FDP,--
152,Habicher,Lorenz,SVP,JA
69,Hans,Urs,Grüne,JA
55,Hasler,Andreas,GLP,JA
91,Häuptli,Daniel,GLP,--
127,Hauser,Matthias,SVP,JA
36,Häusler,Edith,Grüne,JA
52,Heierli,Daniel,Grüne,JA
72,Hodel,Daniel,GLP,--
15,Hoesch,Felix,SP,--
176,Hofer,Jacqueline,SVP,JA
180,Hoffmann,Benedikt,SVP,JA
39,Hollenstein,Claudia,GLP,JA
123,Honegger,Walter,SVP,JA
89,Huber,Stefanie,GLP,--
156,Huber,Beat,SVP,JA
165,Huber,Martin,FDP,--
151,Hübscher,Martin,SVP,JA
78,Hugentobler,Hanspeter,EVP,--
12,Huonker,Laura,AL,--
121,Isler,René,SVP,JA
145,Jäger,Alexander,FDP,--
46,Joss,Rosmarie,SP,--
38,Kampus,Manuel,Grüne,JA
32,Katumba,Andrew,SP,--
1,Kläy,Dieter,FDP,--
142,Kündig,Jörg,FDP,--
63,Lais,Ruedi,SP,JA
119,Lamprecht,Thomas,EDU,JA
112,Landmann,Valentin,SVP,JA
33,Langenegger,Tobias,SP,--
178,Langhart,Konrad,SVP,JA
167,Ledergerber,Domenik,SVP,JA
27,Loss,Davide,SP,--
