platz,nachname,vorname,partei,stimme
30,Ackermann,Pia,SP,NEIN
31,Akanji,Sarah,SP,NEIN
177,Albanese,Franco,SVP,JA
103,Ackermann,Ruth,CVP,JA
42,Agosti,Theres,SP,NEIN
54,Alder,Ronald,GLP,JA
126,Amrein,Hans-Peter,SVP,JA
162,Balmer,Bettina,FDP,JA
140,Bamert,Ueli,SVP,JA
81,Barmettler,Franziska,GLP,JA
57,Bartal,Isabel,SP,NEIN
9,Bärtschiger,Markus,SP,NEIN
86,Bellaiche,Judith,GLP,--
168,Bender,André,SVP,JA
11,Berner,Melanie,AL,NEIN
128,Biber,Michael,FDP,JA
20,Bischoff,Markus,AL,NEIN
22,Bloch,Beat,Grüne,NEIN
173,Bonato,Diego,SVP,JA
124,Bossert,Sandra,SVP,JA
129,Bourgeois,Marc,FDP,JA
17,Brandenberger,Harry,SP,NEIN
159,Brunner,Hans-Peter,FDP,JA
34,Brunner,Robert,Grüne,NEIN
101,Bürgin,Yvonne,CVP,JA
155,Burtscher,Rochus,SVP,JA
49,Büsser,Jeanette,Grüne,NEIN
13,Bütikofer,Kaspar,AL,NEIN
115,Camenisch,Linda,FDP,JA
44,Columberg,Leandra,SP,NEIN
083,Cometta-Müller,Katrin,GLP,JA
4,Dalcher,Pierre,SVP,--
41,Daurù,Andreas,SP,NEIN
51,Dietschi,Urs,Grüne,NEIN
29,Dünki,Michèle,SP,NEIN
70,Dürr,Renate,Grüne,NEIN
134,Egli,Hans,EDU,JA
181,Erni,Jonas,SP,NEIN
147,Etter-Gick,Carola,FDP,JA
100,Farner,Martin,FDP,JA
110,Fehr Düsel,Nina,SVP,JA
37,Fehr,Karin,Grüne,--
148,Fehr,Raffaela,FDP,JA
62,Feldmann,Stefan,SP,--
111,Finsler,Hans,SVP,JA
150,Fischer,Benjamin,SVP,JA
65,Forrer,Thomas,Grüne,NEIN
130,Franzen,Barbara,FDP,JA
158,Frey-Eigenmann,Beatrix,FDP,JA
143,Furrer,Astrid,FDP,JA
67,Galeuchet,David,Grüne,NEIN
105,Gantner,Alex,FDP,JA
26,Gehrig,Sonja,GLP,JA
160,Geistlich,Andreas,FDP,JA
75,Gisler,Andrea,GLP,JA
14,Göldi,Hanspeter,SP,NEIN
71,Gredig,Corina,GLP,JA
136,Grüter,Barbara,SVP,JA
93,Günthard,Barbara,EVP,NEIN
21,Guyer,Esther,Grüne,NEIN
161,Habegger,Beat,FDP,JA
152,Habicher,Lorenz,SVP,JA
69,Hans,Urs,Grüne,NEIN
55,Hasler,Andreas,GLP,JA
91,Häuptli,Daniel,GLP,JA
127,Hauser,Matthias,SVP,JA
36,Häusler,Edith,Grüne,--
52,Heierli,Daniel,Grüne,NEIN
72,Hodel,Daniel,GLP,--
15,Hoesch,Felix,SP,--
176,Hofer,Jacqueline,SVP,JA
180,Hoffmann,Benedikt,SVP,--
39,Hollenstein,Claudia,GLP,JA
123,Honegger,Walter,SVP,JA
89,Huber,Stefanie,GLP,JA
156,Huber,Beat,SVP,JA
165,Huber,Martin,FDP,JA
151,Hübscher,Martin,SVP,JA
78,Hugentobler,Hanspeter,EVP,NEIN
12,Huonker,Laura,AL,NEIN
121,Isler,René,SVP,JA
145,Jäger,Alexander,FDP,JA
46,Joss,Rosmarie,SP,--
38,Kampus,Manuel,Grüne,NEIN
32,Katumba,Andrew,SP,NEIN
1,Kläy,Dieter,FDP,--
142,Kündig,Jörg,FDP,JA
24,L'Orange Seigo,Selma,Grüne,NEIN
63,Lais,Ruedi,SP,NEIN
119,Lamprecht,Thomas,EDU,JA
112,Landmann,Valentin,SVP,--
33,Langenegger,Tobias,SP,NEIN
178,Langhart,Konrad,SVP,JA
167,Ledergerber,Domenik,SVP,JA
27,Loss,Davide,SP,NEIN
135,Lucek,Christian,SVP,JA
40,Mäder,Jörg,GLP,JA
76,Mani,Tobias,EVP,NEIN
183,Marthaler,Thomas,SP,NEIN
7,Marti,Sibylle,SP,NEIN
184,Marty Fässler,Carmen,SP,NEIN
133,Marty,Maria Rita,SVP,NEIN
185,Matter,Sylvie,SP,NEIN
174,Mayer,Paul,SVP,JA
132,Meier,Doris,FDP,JA
59,Meier,Esther,SP,NEIN
66,Meier,Florian,Grüne,--
95,Meier,Walter,EVP,NEIN
153,Mettler,Christian,SVP,JA
94,Monhart,Beat,EVP,NEIN
163,Moser-Schäfer,Arianne,FDP,JA
146,Müller,André,FDP,--
117,Müller,Christian,FDP,JA
131,Müller,Fabian,FDP,JA
53,Petri,Gabi,Grüne,NEIN
64,Pfalzgraf,Hannah,SP,NEIN
179,Pfister,Ulrich,SVP,JA
169,Pflugshaupt,Elisabeth,SVP,JA
96,Pinto,Jean-Philippe,CVP,JA
23,Pokerschnig,Jasmine,Grüne,NEIN
50,Rigoni,Silvia,Grüne,--
137,Rinderknecht,Daniela,SVP,JA
172,Rogenmoser,Romaine,SVP,JA
118,Romero,Angie,FDP,JA
61,Röösli,Brigitte,SP,NEIN
116,Rueff,Sonja,FDP,--
10,Sadriu,Qëndresa,SP,NEIN
18,Sahli,Manuel,AL,NEIN
82,Sanesi-Muri,Monica,GLP,--
79,Schaaf,Markus,EVP,NEIN
80,Schaffner,Barbara,GLP,JA
157,Scheck,Roland,SVP,JA
003,Scherrer,Benno,GLP,JA
154,Schick,Peter,SVP,JA
035,Schlatter,Marionna,Grüne,NEIN
088,Schlauri,Simon,GLP,JA
108,Schmid,Claudio,SVP,JA
099,Schmid,Lorenz,CVP,JA
002,Schmid,Roman,SVP,JA
109,Schmid,Stefan,SVP,JA
025,Schneider,Meret,Grüne,NEIN
144,Schucan,Christian,FDP,JA
068,Schweizer,Thomas,Grüne,NEIN
008,Siegrist,Nicola,SP,NEIN
092,Sommer,Daniel,EVP,NEIN
047,Späth,Markus,SP,NEIN
048,Steiner,Kathy,Grüne,NEIN
028,Steiner,Rafael,SP,NEIN
019,Stofer,Judith,AL,NEIN
058,Straub,Esther,SP,NEIN
090,Stünzi,Christa,GLP,JA
043,Stüssi,Beatrix,SP,NEIN
170,Sulser,Jürg,SVP,JA
122,Suter,Marcel,SVP,JA
016,Tognella,Birgit,SP,NEIN
114,Truninger,René,SVP,JA
107,Vogel,Thomas,FDP,JA
106,Vollenweider,Peter,FDP,JA
125,von Euw,Paul,SVP,JA
074,Von Planta,Cyrill,GLP,JA
120,Vontobel,Erich,EDU,JA
175,Wäfler,Daniel,SVP,JA
149,Waser,Urs,SVP,JA
164,Weber,Stephan,FDP,JA
139,Weidmann,Tobias,SVP,JA
182,Wicki,Monika,SP,NEIN
097,Widler,Josef,CVP,ENTHALTEN
045,Widmer,Céline,SP,NEIN
102,Wiederkehr,Josef,CVP,JA
073,Wirth,Thomas,GLP,JA
077,Wisskirchen,Mark,EVP,NEIN
098,Wydler,Kathrin,CVP,JA
087,Wyss,Cristina,GLP,JA
141,Wyss,Orlando,SVP,JA
056,Wyssen,Claudia,GLP,JA
113,Zahler,Erika,SVP,JA
104,Zeroual,Farid,CVP,JA
085,Zeugin,Michael,GLP,JA
084,Ziegler,Christoph,GLP,JA
171,Zurfluh,Christina,SVP,JA
