platz,nachname,vorname,partei,stimme
44,Agosti Monn,Theres,SP,NEIN
103,Albanese,Franco,CVP,JA
78,Albrecht,Verena,BDP,NEIN
125,Amacker,Bruno,SVP,NEIN
126,Amrein,Hans-Peter,SVP,NEIN
110,Arnold,Martin,SVP,NEIN
140,Bachmann,Ernst,SVP,NEIN
171,Bär,Hansruedi,SVP,NEIN
10,Barrile,Angelo,SP,NEIN
124,Bartholdi,Roger,SVP,NEIN
75,Bellaiche,Judith,GLP,NEIN
13,Bischoff,Markus,AL,JA
20,Bloch,Beat,CSP,JA
123,Bollinger,Erich,SVP,NEIN
111,Borer,Anita,SVP,NEIN
79,Brazerol,Rico,BDP,NEIN
34,Brunner,Robert,Grüne,JA
48,Bucher-Steinegger,Heidi,Grüne,JA
58,Büchi-Wild,Renate,SP,NEIN
97,Bürgin,Yvonne,CVP,JA
184,Burlet,Marcel,SP,--
154,Burtscher,Rochus,SVP,NEIN
5,Bussmann,Barbara,SP,NEIN
12,Bütikofer,Kaspar,AL,JA
116,Camenisch,Linda,FDP,JA
161,Clerici,Max F.,FDP,JA
179,Dalcher,Pierrre,SVP,NEIN
43,Daurù,Andreas,SP,NEIN
99,Egli,Hans,EDU,NEIN
149,Egli,Karin,SVP,NEIN
042,Egli,Ursina,SP,NEIN
71,Erdin,Andreas,GLP,NEIN
130,Farner,Martin,FDP,--
145,Feit,Leila,FDP,JA
62,Feldmann,Stefan,SP,NEIN
81,Fenner,Bruno,BDP,NEIN
66,Ferro,Ornella,Grüne,JA
82,Fischer,Gerhard,EVP,NEIN
152,Frei-Baumann,Ruth,SVP,NEIN
178,Frei,Hans,SVP,NEIN
164,Frey,Beatrix,FDP,JA
138,Fürst,Reinhard,SVP,NEIN
117,Gantner,Alex,FDP,JA
24,Geilinger,Martin,Grüne,JA
147,Geistlich,Andreas,FDP,JA
27,Gerber Rüegg,Julia,SP,NEIN
30,Göldi,Hanspeter,SP,NEIN
47,Golta,Raphael,SP,NEIN
17,Gschwind,Benedikt,SP,NEIN
54,Gutknecht,René,GLP,--
86,Gutmann,Eva,GLP,NEIN
21,Guyer,Esther,Grüne,JA
109,Haab,Martin,SVP,NEIN
134,Habicher,Lorenz,SVP,NEIN
169,Haderer,Willy,SVP,NEIN
50,Hans,Urs,Grüne,JA
100,Häring,Hans Peter,EDU,NEIN
25,Hasler,Andreas,GLP,NEIN
176,Haug,Hanspeter,SVP,NEIN
74,Hauri,Andreas,GLP,NEIN
127,Hauser,Matthias,SVP,NEIN
69,Häusler,Edith,Grüne,JA
18,Heuberger,Catherine,SP,NEIN
151,Heusser,Hans-Heinrich,SVP,NEIN
23,Hildebrand,Esther,Grüne,JA
