platz,nachname,vorname,partei,stimme
30.0,Ackermann,Pia,SP,NEIN
82.0,Ackermann,Ruth,CVP,NEIN
42.0,Agosti Monn,Theres,SP,NEIN
89.0,Albanese,Franco,CVP,NEIN
114.0,Amacker,Bruno,SVP,NEIN
180.0,Amrein,Hans-Peter,SVP,NEIN
110.0,Arnold,Martin,SVP,NEIN
140.0,Bachmann,Ernst,SVP,NEIN
163.0,Balmer,Bettina,FDP,NEIN
171.0,Bär,Hansruedi,SVP,NEIN
57.0,Bartal,Isabel,SP,NEIN
86.0,Bellaiche,Judith,GLP,--
165.0,Bender,André,SVP,NEIN
161.0,Berger,Antoine,FDP,NEIN
129.0,Biber,Michael,FDP,NEIN
20.0,Bischoff,Markus,AL,NEIN
49.0,Bloch,Beat,CSP,NEIN
147.0,Boesch,Hans-Jakob,FDP,NEIN
135.0,Bollinger,Erich,SVP,--
173.0,Bonato,Diego,SVP,NEIN
111.0,Borer,Anita,SVP,NEIN
130.0,Bourgeois,Marc,FDP,NEIN
80.0,Brazerol,Rico,BDP,NEIN
146.0,Brunner,Hans-Peter,FDP,--
34.0,Brunner,Robert,Grüne,NEIN
58.0,Büchi,Renate,SP,NEIN
83.0,Bürgin,Yvonne,CVP,NEIN
154.0,Burtscher,Rochus,SVP,NEIN
7.0,Bussmann,Barbara,SP,NEIN
13.0,Bütikofer,Kaspar,AL,NEIN
115,Camenisch,Linda,FDP,--
179,Dalcher,Pierre,SVP,NEIN
43,Daurù,Andreas,SP,NEIN
29,Dünki,Michèle,SP,NEIN
95,Egli,Hans,EDU,NEIN
3,Egli,Karin,SVP,NEIN
71,Erdin,Andreas,GLP,NEIN
181,Erni,Jonas,SP,NEIN
101,Farner,Martin,FDP,NEIN
118,Fehr Düsel,Nina,SVP,NEIN
68,Fehr Thoma,Karin,Grüne,NEIN
62,Feldmann,Stefan,SP,NEIN
149,Fischer,Benjamin,SVP,NEIN
39,Fischer,Gerhard,EVP,NEIN
103,Franzen,Barbara,FDP,NEIN
41,Frei,Daniel,SP,NEIN
151,Frei,Ruth,SVP,NEIN
160,Frey,Beatrix,FDP,NEIN
142,Furrer,Astrid,FDP,NEIN
138,Fürst,Reinhard,SVP,NEIN
162,Galliker,Nadja,FDP,NEIN
106,Gantner,Alex,FDP,NEIN
70,Gehrig,Sonja,GLP,NEIN
105,Geistlich,Andreas,FDP,NEIN
14,Göldi,Hanspeter,SP,NEIN
33,Gschwind,Benedikt,SP,NEIN
24,Gugger,Nik,EVP,--
88,Gut,Astrid,BDP,NEIN
21,Guyer,Esther,Grüne,NEIN
109,Haab,Martin,SVP,NEIN
102,Habegger,Beat,FDP,NEIN
93,Häni,Peter,EDU,NEIN
143,Hänni,Cäcilia,FDP,NEIN
96,Häring,Hans Peter,EDU,NEIN
