platz,nachname,vorname,partei,stimme
30,Ackermann,Pia,SP,NEIN
82,Ackermann,Ruth,CVP,--
42,Agosti Monn,Theres,SP,--
89,Albanese,Franco,CVP,JA
114,Amacker,Bruno,SVP,JA
180,Amrein,Hans-Peter,SVP,JA
110,Arnold,Martin,SVP,--
140,Bachmann,Ernst,SVP,JA
163,Balmer,Bettina,FDP,JA
171,Bär,Hansruedi,SVP,JA
57,Bartal,Isabel,SP,NEIN
86,Bellaiche,Judith,GLP,JA
165,Bender,André,SVP,JA
161,Berger,Antoine,FDP,JA
129,Biber,Michael,FDP,JA
20,Bischoff,Markus,AL,NEIN
49,Bloch,Beat,CSP,JA
147,Boesch,Hans-Jakob,FDP,JA
135,Bollinger,Erich,SVP,JA
173,Bonato,Diego,SVP,JA
111,Borer,Anita,SVP,JA
130,Bourgeois,Marc,FDP,JA
80,Brazerol,Rico,BDP,JA
146,Brunner,Hans-Peter,FDP,JA
34,Brunner,Robert,Grüne,JA
58,Büchi,Renate,SP,NEIN
83,Bürgin,Yvonne,CVP,JA
154,Burtscher,Rochus,SVP,JA
7,Bussmann,Barbara,SP,NEIN
13,Bütikofer,Kaspar,AL,NEIN
115,Camenisch,Linda,FDP,JA
179,Dalcher,Pierre,SVP,JA
43,Daurù,Andreas,SP,NEIN
29,Dünki,Michèle,SP,NEIN
95,Egli,Hans,EDU,JA
3,Egli,Karin,SVP,JA
71,Erdin,Andreas,GLP,JA
181,Erni,Jonas,SP,NEIN
101,Farner,Martin,FDP,JA
118,Fehr Düsel,Nina,SVP,JA
68,Fehr Thoma,Karin,Grüne,JA
62,Feldmann,Stefan,SP,NEIN
149,Fischer,Benjamin,SVP,JA
39,Fischer,Gerhard,EVP,--
103,Franzen,Barbara,FDP,JA
41,Frei,Daniel,SP,NEIN
151,Frei,Ruth,SVP,JA
160,Frey,Beatrix,FDP,JA
142,Furrer,Astrid,FDP,JA
112,Fürst,Reinhard,SVP,JA
162,Galliker,Nadja,FDP,JA
106,Gantner,Alex,FDP,JA
70,Gehrig,Sonja,GLP,JA
105,Geistlich,Andreas,FDP,JA
14,Göldi,Hanspeter,SP,NEIN
33,Gschwind,Benedikt,SP,NEIN
24,Gugger,Nik,EVP,JA
88,Gut,Astrid,BDP,JA
21,Guyer,Esther,Grüne,JA
109,Haab,Martin,SVP,JA
102,Habegger,Beat,FDP,JA
