platz,nachname,vorname,partei,stimme
30,Ackermann,Pia,SP,ENTHALTEN
82,Ackermann,Ruth,CVP,JA
42,Agosti Monn,Theres,SP,ENTHALTEN
89,Albanese,Franco,CVP,JA
114,Amacker,Bruno,SVP,NEIN
126,Amrein,Hans-Peter,SVP,NEIN
110,Arnold,Martin,SVP,NEIN
140,Bachmann,Ernst,SVP,NEIN
163,Balmer,Bettina,FDP,--
171,Bär,Hansruedi,SVP,NEIN
10,Barrile,Angelo,SP,JA
57,Bartal,Isabel,SP,JA
86,Bellaiche,Judith,GLP,NEIN
165,Bender,André,SVP,NEIN
161,Berger,Antoine,FDP,JA
131,Biber,Michael,FDP,--
20,Bischoff,Markus,AL,JA
49,Bloch,Beat,CSP,JA
147,Boesch,Hans-Jakob,FDP,JA
123,Bollinger,Erich,SVP,NEIN
173,Bonato,Diego,SVP,NEIN
111,Borer,Anita,SVP,NEIN
80,Brazerol,Rico,BDP,JA
146,Brunner,Hans-Peter,FDP,JA
34,Brunner,Robert,Grüne,JA
58,Büchi,Renate,SP,JA
83,Bürgin,Yvonne,CVP,JA
154,Burtscher,Rochus,SVP,NEIN
7,Bussmann,Barbara,SP,JA
13,Bütikofer,Kaspar,AL,JA
115,Camenisch,Linda,FDP,--
180,Dalcher,Pierre,SVP,NEIN
43,Daurù,Andreas,SP,JA
95,Egli,Hans,EDU,NEIN
3,Egli,Karin,SVP,NEIN
71,Erdin,Andreas,GLP,NEIN
181,Erni,Jonas,SP,JA
130,Farner,Martin,FDP,JA
68,Fehr Thoma,Karin,Grüne,JA
62,Feldmann,Stefan,SP,JA
149,Fischer,Benjamin,SVP,NEIN
39,Fischer,Gerhard,EVP,JA
103,Franzen,Barbara,FDP,JA
41,Frei,Daniel,SP,JA
151,Frei,Ruth,SVP,NEIN
160,Frey,Beatrix,FDP,JA
142,Furrer,Astrid,FDP,JA
138,Fürst,Reinhard,SVP,NEIN
162,Galliker,Nadja,FDP,JA
106,Gantner,Alex,FDP,JA
70,Gehrig,Sonja,GLP,NEIN
105,Geistlich,Andreas,FDP,--
14,Göldi,Hanspeter,SP,JA
33,Gschwind,Benedikt,SP,JA
24,Gugger,Nik,EVP,JA
88,Gut,Astrid,BDP,JA
53,Gutmann,Eva,GLP,NEIN
21,Guyer,Esther,Grüne,JA
109,Haab,Martin,SVP,NEIN
102,Habegger,Beat,FDP,JA
143,Hänni,Cäcilia,FDP,JA
96,Häring,Hans Peter,EDU,NEIN
74,Hauri,Andreas,GLP,NEIN
127,Hauser,Matthias,SVP,--
36,Häusler,Edith,Grüne,--
65,Heierli,Daniel,Grüne,JA
72,Hodel,Daniel,GLP,NEIN
15,Hoesch,Felix,SP,JA
176,Hofer,Jacqueline,SVP,NEIN
144,Hofmann,Olivier Moïse,FDP,JA
67,Homberger,Max Robert,Grüne,JA
155,Huber,Beat,SVP,NEIN
167,Hübscher,Martin,SVP,NEIN
38,Hugentobler,Hanspeter,EVP,JA
87,Hunger,Stefan,BDP,JA
12,Huonker,Laura,AL,JA
121,Isler,René,SVP,NEIN
99,Jäger,Alexander,FDP,JA
46,Joss,Rosmarie,SP,JA
48,Kaeser,Regula,Grüne,JA
32,Katumba,Andrew,SP,JA
081,Keller,Cornelia,BDP,JA
124,Keller,Rolando,SVP,NEIN
3a,Kläy,Dieter,FDP,JA
097,Koller,Prisca,FDP,JA
128,Krebs,Beatrice,FDP,--
129,Kull,Katharina,FDP,--
159,Kündig,Jörg,FDP,JA
091,Kutter,Philipp,CVP,JA
063,Lais,Ruedi,SP,JA
139,Langhard,Walter,SVP,NEIN
178,Langhart,Konrad,SVP,NEIN
076,Lenggenhager,Marcel,BDP,JA
119,Leuenberger,Susanne,SVP,NEIN
152,Liebi,Roger,SVP,NEIN
027,Loss,Davide,SP,JA
137,Lucek,Christian,SVP,NEIN
075,Mäder,Jörg,GLP,NEIN
022,Margreiter,Ralf,Grüne,JA
064,Marthaler,Thomas,SP,JA
017,Marti,Sibylle,SP,--
008,Matter,Sylvie,SP,JA
061,Meier,Esther,SP,JA
093,Meier,Peter,EDU,NEIN
023,Meier,Walter,EVP,JA
153,Mettler,Christian,SVP,NEIN
029,Meyer,Mattea,SP,ENTHALTEN
168,Moor,Ursula,SVP,NEIN
098,Müller,André,FDP,JA
104,Müller,Christian,FDP,JA
031,Munz,Roland,SP,JA
035,Neukom,Martin,Grüne,JA
182,Peter,Jacqueline,SP,JA
051,Petri,Gabi,Grüne,JA
166,Pflugshaupt,Elisabeth,SVP,NEIN
084,Pinto,Jean-Philippe,CVP,JA
133,Preisig,Peter,SVP,NEIN
157,Raths,Hans Heinrich,SVP,NEIN
026,Reinhard,Peter,EVP,JA
156,Rinderknecht,Margreth,SVP,NEIN
066,Rohweder,Maria,Grüne,--
116,Rueff,Sonja,FDP,JA
019,Sahli,Manuel,AL,JA
044,Sarbach,Martin,SP,JA
107,Sauter,Regine,FDP,JA
040,Schaaf,Markus,EVP,JA
055,Schaffner,Barbara,GLP,NEIN
134,Scheck,Roland,SVP,NEIN
085,Scherrer Moser,Benno,GLP,NEIN
120,Schmid,Claudio,SVP,NEIN
078,Schmid,Lorenz,CVP,JA
004,Schmid,Roman,SVP,NEIN
145,Schucan,Christian,FDP,JA
100,Schwab,Daniel,FDP,JA
009,Seiler Graf,Priska,SP,JA
059,Sieber Hirschi,Sabine,SP,JA
037,Sommer,Daniel,EVP,JA
047,Späth,Markus,SP,JA
183,Spillmann,Moritz,SP,JA
136,Steinemann,Barbara,SVP,NEIN
050,Steiner,Kathy,Grüne,JA
028,Steiner,Rafael,SP,JA
002,Steiner,Rolf,SP,JA
172,Steinmann,Armin,SVP,NEIN
011,Stofer,Judith Anna,AL,JA
184,Straub,Esther,SP,JA
170,Sulser,Jürg,SVP,NEIN
090,Thomet,Corinne,CVP,JA
016,Tognella,Birgit,SP,JA
108,Trachsel,Jürg,SVP,NEIN
125,Truninger,René,SVP,NEIN
112,Tuena,Mauro,SVP,NEIN
150,Uhlmann,Peter,SVP,NEIN
158,Vogel,Thomas,FDP,JA
118,Vogt,Hans-Ueli,SVP,NEIN
101,Vollenweider,Peter,FDP,JA
069,von Planta,Cyrill,GLP,NEIN
092,Vontobel,Erich,EDU,NEIN
175,Wäfler,Daniel,SVP,NEIN
179,Walliser,Bruno,SVP,NEIN
148,Waser,Urs,SVP,NEIN
001,Weber-Gachnang,Theresia,SVP,--
094,Welz,Michael,EDU,NEIN
117,Wettstein,Sabine,FDP,JA
018,Wicki,Monika,SP,JA
077,Widler,Josef,CVP,JA
045,Widmer,Céline,SP,JA
079,Wiederkehr,Josef,CVP,JA
052,Wiesner,Hans W.,GLP,NEIN
073,Wirth,Thomas,GLP,NEIN
060,Wyssen,Claudia,SP,JA
141,Wyss,Orlando,SVP,NEIN
174,Zahler,Erika,SVP,NEIN
135,Zanetti,Claudio,SVP,NEIN
056,Zeugin,Michael,GLP,NEIN
054,Ziegler,Christoph,GLP,NEIN
122,Zimmermann,Rolf Robert,SVP,NEIN
025,Zollinger,Johannes,EVP,--
132,Zuber,Martin,SVP,NEIN
113,Züllig,Hansueli,SVP,--
