platz,nachname,vorname,partei,stimme
114.0,Amacker,Bruno,SVP,JA
82.0,Ackermann,Ruth,CVP,JA
30.0,Ackermann,Pia,SP,JA
89.0,Albanese,Franco,CVP,JA
42.0,Agosti Monn,Theres,SP,JA
126.0,Amrein,Hans-Peter,SVP,JA
110.0,Arnold,Martin,SVP,JA
140.0,Bachmann,Ernst,SVP,JA
163.0,Balmer,Bettina,FDP,JA
171.0,Bär,Hansruedi,SVP,JA
57.0,Bartal,Isabel,SP,JA
86.0,Bellaiche,Judith,GLP,--
165.0,Bender,André,SVP,JA
161.0,Berger,Antoine,FDP,JA
130.0,Biber,Michael,FDP,JA
20.0,Bischoff,Markus,AL,JA
49.0,Bloch,Beat,CSP,JA
159.0,Boesch,Hans-Jakob,FDP,JA
135.0,Bollinger,Erich,SVP,JA
173.0,Bonato,Diego,SVP,JA
111.0,Borer,Anita,SVP,JA
131.0,Bourgeois,Marc,FDP,JA
80.0,Brazerol,Rico,BDP,JA
146.0,Brunner,Hans-Peter,FDP,JA
34.0,Brunner,Robert,Grüne,JA
58.0,Büchi,Renate,SP,JA
3.0,Bürgin,Yvonne,CVP,JA
154.0,Burtscher,Rochus,SVP,JA
7.0,Bussmann,Barbara,SP,JA
13.0,Bütikofer,Kaspar,AL,JA
115,Camenisch,Linda,FDP,JA
180,Dalcher,Pierre,SVP,JA
43,Daurù,Andreas,SP,JA
29,Dünki,Michèle,SP,JA
95,Egli,Hans,EDU,JA
2,Egli,Karin,SVP,JA
71,Erdin,Andreas,GLP,JA
181,Erni,Jonas,SP,JA
101,Farner,Martin,FDP,JA
118,Fehr Düsel,Nina,SVP,--
68,Fehr Thoma,Karin,Grüne,JA
62,Feldmann,Stefan,SP,JA
87,Fenner,Bruno,BDP,JA
149,Fischer,Benjamin,SVP,JA
39,Fischer,Gerhard,EVP,JA
103,Franzen,Barbara,FDP,JA
41,Frei,Daniel,SP,JA
151,Frei,Ruth,SVP,JA
160,Frey,Beatrix,FDP,JA
143,Furrer,Astrid,FDP,JA
112,Fürst,Reinhard,SVP,JA
162,Galliker,Nadja,FDP,JA
106,Gantner,Alex,FDP,JA
70,Gehrig,Sonja,GLP,JA
105,Geistlich,Andreas,FDP,JA
14,Göldi,Hanspeter,SP,JA
33,Gschwind,Benedikt,SP,JA
24,Gugger,Nik,EVP,JA
88,Gut,Astrid,BDP,JA
21,Guyer,Esther,Grüne,JA
109,Haab,Martin,SVP,JA
102,Habegger,Beat,FDP,JA
93,Häni,Peter,EDU,JA
144,Hänni,Cäcilia,FDP,JA
96,Häring,Hans Peter,EDU,JA
53,Häuptli,Daniel,GLP,JA
74,Hauri,Andreas,GLP,JA
127,Hauser,Matthias,SVP,JA
36,Häusler,Edith,Grüne,JA
65,Heierli,Daniel,Grüne,JA
72,Hodel,Daniel,GLP,--
15,Hoesch,Felix,SP,JA
176,Hofer,Jacqueline,SVP,JA
138,Hoffmann,Benedikt,SVP,JA
129,Hofmann,Olivier,FDP,JA
67,Homberger,Max Robert,Grüne,JA
155,Huber,Beat,SVP,JA
167,Hübscher,Martin,SVP,JA
38,Hugentobler,Hanspeter,EVP,JA
12,Huonker,Laura,AL,JA
124,Hurter,Christian,SVP,JA
121,Isler,René,SVP,JA
99,Jäger,Alexander,FDP,JA
46,Joss,Rosmarie,SP,--
48,Kaeser,Regula,Grüne,JA
32,Katumba,Andrew,SP,JA
81,Keller,Cornelia,BDP,JA
123,Keller,Rolando,SVP,--
3a,Kläy,Dieter,FDP,--
97,Koller,Prisca,FDP,JA
128,Kull,Katharina,FDP,--
142,Kündig,Jörg,FDP,JA
91,Kutter,Philipp,CVP,JA
63,Lais,Ruedi,SP,JA
10,Langenegger,Tobias,SP,JA
139,Langhard,Walter,SVP,JA
178,Langhart,Konrad,SVP,JA
76,Lenggenhager,Marcel,BDP,--
119,Leuenberger,Susanne,SVP,JA
152,Liebi,Roger,SVP,JA
66,Lischer,Maria,Grüne,JA
27,Loss,Davide,SP,JA
136,Lucek,Christian,SVP,JA
75,Mäder,Jörg,GLP,JA
