platz,nachname,vorname,partei,stimme
30.0,Ackermann,Pia,SP,JA
82.0,Ackermann,Ruth,CVP,--
42.0,Agosti Monn,Theres,SP,JA
89.0,Albanese,Franco,CVP,--
114.0,Amacker,Bruno,SVP,--
126.0,Amrein,Hans-Peter,SVP,--
110.0,Arnold,Martin,SVP,--
140.0,Bachmann,Ernst,SVP,--
163.0,Balmer,Bettina,FDP,--
171.0,Bär,Hansruedi,SVP,--
57.0,Bartal,Isabel,SP,JA
86.0,Bellaiche,Judith,GLP,--
165.0,Bender,André,SVP,--
161.0,Berger,Antoine,FDP,--
129.0,Biber,Michael,FDP,--
20.0,Bischoff,Markus,AL,--
49.0,Bloch,Beat,CSP,--
147.0,Boesch,Hans-Jakob,FDP,--
135.0,Bollinger,Erich,SVP,--
173.0,Bonato,Diego,SVP,--
111.0,Borer,Anita,SVP,--
130.0,Bourgeois,Marc,FDP,--
80.0,Brazerol,Rico,BDP,--
146.0,Brunner,Hans-Peter,FDP,--
34.0,Brunner,Robert,Grüne,--
58.0,Büchi,Renate,SP,JA
83.0,Bürgin,Yvonne,CVP,--
154.0,Burtscher,Rochus,SVP,--
7.0,Bussmann,Barbara,SP,JA
13.0,Bütikofer,Kaspar,AL,--
115,Camenisch,Linda,FDP,--
180,Dalcher,Pierre,SVP,--
43,Daurù,Andreas,SP,JA
29,Dünki,Michèle,SP,JA
95,Egli,Hans,EDU,JA
3,Egli,Karin,SVP,--
71,Erdin,Andreas,GLP,--
181,Erni,Jonas,SP,JA
101,Farner,Martin,FDP,--
118,Fehr Düsel,Nina,SVP,--
68,Fehr Thoma,Karin,Grüne,--
62,Feldmann,Stefan,SP,JA
87,Fenner,Bruno,BDP,--
149,Fischer,Benjamin,SVP,--
39,Fischer,Gerhard,EVP,--
103,Franzen,Barbara,FDP,--
41,Frei,Daniel,SP,JA
151,Frei,Ruth,SVP,--
160,Frey,Beatrix,FDP,--
142,Furrer,Astrid,FDP,--
112,Fürst,Reinhard,SVP,--
162,Galliker,Nadja,FDP,--
106,Gantner,Alex,FDP,--
70,Gehrig,Sonja,GLP,JA
105,Geistlich,Andreas,FDP,--
14,Göldi,Hanspeter,SP,JA
33,Gschwind,Benedikt,SP,JA
24,Gugger,Nik,EVP,--
88,Gut,Astrid,BDP,--
21,Guyer,Esther,Grüne,--
109,Haab,Martin,SVP,--
102,Habegger,Beat,FDP,--
93,Häni,Peter,EDU,--
143,Hänni,Cäcilia,FDP,--
96,Häring,Hans Peter,EDU,JA
53,Häuptli,Daniel,GLP,JA
74,Hauri,Andreas,GLP,JA
127,Hauser,Matthias,SVP,--
36,Häusler,Edith,Grüne,--
65,Heierli,Daniel,Grüne,--
72,Hodel,Daniel,GLP,--
15,Hoesch,Felix,SP,JA
176,Hofer,Jacqueline,SVP,--
138,Hoffmann,Benedikt,SVP,--
144,Hofmann,Olivier,FDP,--
67,Homberger,Max Robert,Grüne,--
155,Huber,Beat,SVP,--
167,Hübscher,Martin,SVP,--
38,Hugentobler,Hanspeter,EVP,--
12,Huonker,Laura,AL,--
124,Hurter,Christian,SVP,--
121,Isler,René,SVP,NEIN
099,Jäger,Alexander,FDP,--
046,Joss,Rosmarie,SP,JA
048,Kaeser,Regula,Grüne,--
032,Katumba,Andrew,SP,JA
081,Keller,Cornelia,BDP,--
123,Keller,Rolando,SVP,--
3a,Kläy,Dieter,FDP,--
097,Koller,Prisca,FDP,--
128,Kull,Katharina,FDP,--
159,Kündig,Jörg,FDP,--
091,Kutter,Philipp,CVP,--
063,Lais,Ruedi,SP,JA
010,Langenegger,Tobias,SP,JA
139,Langhard,Walter,SVP,--
178,Langhart,Konrad,SVP,--
076,Lenggenhager,Marcel,BDP,--
119,Leuenberger,Susanne,SVP,--
152,Liebi,Roger,SVP,NEIN
066,Lischer,Maria,Grüne,--
027,Loss,Davide,SP,JA
136,Lucek,Christian,SVP,--
075,Mäder,Jörg,GLP,JA
022,Margreiter,Ralf,Grüne,--
064,Marthaler,Thomas,SP,--
017,Marti,Sibylle,SP,JA
008,Matter,Sylvie,SP,JA
061,Meier,Esther,SP,JA
023,Meier,Walter,EVP,--
153,Mettler,Christian,SVP,--
122,Mischol,Tumasch,SVP,--
168,Moor,Ursula,SVP,--
098,Müller,André,FDP,--
