platz,nachname,vorname,partei,stimme
30,Ackermann,Pia,SP,NEIN
103,Ackermann,Ruth,CVP,JA
71,Aeschbacher,Nathalie,GLP,JA
42,Agosti,Theres,SP,--
31,Akanji,Sarah,SP,NEIN
177,Albanese,Franco,SVP,NEIN
54,Alder,Ronald,GLP,--
126,Amrein,Hans-Peter,SVP,NEIN
162,Balmer,Bettina,FDP,JA
140,Bamert,Ueli,SVP,NEIN
81,Barmettler,Franziska,GLP,JA
57,Bartal,Isabel,SP,--
9,Bärtschiger,Markus,SP,NEIN
168,Bender,André,SVP,NEIN
11,Berner,Melanie,AL,JA
128,Biber,Michael,FDP,JA
20,Bischoff,Markus,AL,JA
22,Bloch,Beat,CSP,NEIN
173,Bonato,Diego,SVP,NEIN
124,Bossert,Sandra,SVP,NEIN
129,Bourgeois,Marc,FDP,JA
17,Brandenberger,Harry,SP,--
159,Brunner,Hans-Peter,FDP,JA
34,Brunner,Robert,Grüne,NEIN
101,Bürgin,Yvonne,CVP,JA
155,Burtscher,Rochus,SVP,NEIN
49,Büsser,Jeanette,Grüne,NEIN
13,Bütikofer,Kaspar,AL,JA
115,Camenisch,Linda,FDP,JA
44,Columberg,Leandra,SP,NEIN
83,Cometta-Müller,Katrin,GLP,JA
4,Dalcher,Pierre,SVP,NEIN
41,Daurù,Andreas,SP,NEIN
51,Dietschi,Urs,Grüne,NEIN
29,Dünki,Michèle,SP,NEIN
70,Dürr,Renate,Grüne,--
134,Egli,Hans,EDU,NEIN
181,Erni,Jonas,SP,NEIN
147,Etter-Gick,Carola,FDP,--
100,Farner,Martin,FDP,JA
110,Fehr Düsel,Nina,SVP,NEIN
36,Fehr,Karin,Grüne,NEIN
148,Fehr,Raffaela,FDP,JA
62,Feldmann,Stefan,SP,NEIN
111,Finsler,Hans,SVP,NEIN
150,Fischer,Benjamin,SVP,NEIN
65,Forrer,Thomas,Grüne,NEIN
130,Franzen,Barbara,FDP,JA
158,Frey-Eigenmann,Beatrix,FDP,JA
143,Furrer,Astrid,FDP,JA
67,Galeuchet,David,Grüne,NEIN
105,Gantner,Alex,FDP,JA
26,Gehrig,Sonja,GLP,JA
160,Geistlich,Andreas,FDP,JA
75,Gisler,Andrea,GLP,JA
14,Göldi,Hanspeter,SP,NEIN
136,Grüter,Barbara,SVP,NEIN
93,Günthard,Barbara,EVP,JA
21,Guyer,Esther,Grüne,NEIN
161,Habegger,Beat,FDP,--
152,Habicher,Lorenz,SVP,NEIN
69,Hans,Urs,Grüne,NEIN
55,Hasler,Andreas,GLP,JA
91,Häuptli,Daniel,GLP,JA
127,Hauser,Matthias,SVP,NEIN
35,Häusler,Edith,Grüne,NEIN
52,Heierli,Daniel,Grüne,NEIN
72,Hodel,Daniel,GLP,JA
15,Hoesch,Felix,SP,NEIN
176,Hofer,Jacqueline,SVP,NEIN
178,Hoffmann,Benedikt,SVP,NEIN
86,Hollenstein,Claudia,GLP,JA
25,Honegger,Thomas,Grüne,NEIN
123,Honegger,Walter,SVP,NEIN
89,Huber,Stefanie,GLP,JA
156,Huber,Beat,SVP,NEIN
165,Huber,Martin,FDP,JA
151,Hübscher,Martin,SVP,NEIN
78,Hugentobler,Hanspeter,EVP,JA
12,Huonker,Laura,AL,--
121,Isler,René,SVP,NEIN
145,Jäger,Alexander,FDP,JA
39,Joss,Karin,GLP,JA
46,Joss,Rosmarie,SP,NEIN
37,Kampus,Manuel,Grüne,NEIN
32,Katumba,Andrew,SP,NEIN
1,Kläy,Dieter,FDP,--
142,Kündig,Jörg,FDP,JA
24,L'Orange Seigo,Selma,Grüne,NEIN
63,Lais,Ruedi,SP,--
119,Lamprecht,Thomas,EDU,NEIN
112,Landmann,Valentin,SVP,NEIN
33,Langenegger,Tobias,SP,NEIN
180,Langhart,Konrad,,JA
167,Ledergerber,Domenik,SVP,NEIN
27,Loss,Davide,SP,NEIN
135,Lucek,Christian,SVP,NEIN
40,Mäder,Gabriel,GLP,JA
76,Mani,Tobias,EVP,JA
183,Marthaler,Thomas,SP,NEIN
7,Marti,Sibylle,SP,NEIN
184,Marty Fässler,Carmen,SP,NEIN
133,Marty,Maria Rita,SVP,NEIN
185,Matter,Sylvie,SP,NEIN
174,Mayer,Paul,SVP,NEIN
132,Meier,Doris,FDP,JA
59,Meier,Esther,SP,NEIN
66,Meier,Florian,Grüne,NEIN
95,Meier,Walter,EVP,JA
153,Mettler,Christian,SVP,NEIN
94,Monhart,Beat,EVP,JA
163,Moser-Schäfer,Arianne,FDP,JA
146,Müller,André,FDP,--
117,Müller,Christian,FDP,JA
131,Müller,Fabian,FDP,JA
80,Näf,Melissa,GLP,--
53,Petri,Gabi,Grüne,NEIN
